louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,139,44,10.78510070503597,0.02609434421223021,0.9853388501876789,-0.0006,0.997,0.0152,0.922
1,3534,52,9.448471358630448,-0.272614537286661,1.1195218685796944,0.5629,0.0,0.5561,0.0
2,100,35,9.265200000999998,0.23397392917600002,0.9184337640034769,0.132,0.4496,0.1498,0.3905
3,1164,46,11.41120346984536,-0.09191519269553265,1.1757873353342265,0.2859,0.0541,0.2964,0.0455
4,986,48,10.132643928498986,-0.3144350789346126,1.107742768445233,0.4765,0.0006,0.4628,0.0009
5,2768,49,8.63486339718208,-0.18734344924406215,1.5233665933213516,0.7441,0.0,0.7472,0.0
6,2392,48,9.14562617123746,-0.15899647227809363,1.416195878456841,0.5485,0.0001,0.5422,0.0001
7,320,48,9.75617180375,-0.116260128525,0.9764200047870554,0.0507,0.7324,0.0509,0.7314
8,558,35,9.183662882616487,-0.28814888438530467,1.331165022519646,0.3546,0.0366,0.3631,0.032
9,663,52,10.429743544494722,0.11773048458936654,0.9408829433556052,-0.1492,0.2911,-0.1357,0.3373
10,1288,50,9.46114204697205,-0.45580329083691773,1.1695347000627503,0.6489,0.0,0.6582,0.0
11,872,46,10.950001146100918,0.15601899292040597,1.306652633135517,0.2473,0.0975,0.2118,0.1576
12,245,50,9.56379584489796,-0.08663483591208163,1.1061744311762542,0.1048,0.4688,0.1038,0.4731
13,5449,52,8.997318546559002,-0.35374135489359515,1.228819445248726,0.7489,0.0,0.7468,0.0
