louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,185,32,10.788902501621623,-0.1795900692162162,1.0637476753393138,0.0622,0.7352,0.07,0.7035
1,5527,52,10.38792137640673,-0.08418640715034556,1.1632101512223194,0.4273,0.0016,0.4302,0.0015
3,1260,49,11.882529362301588,0.06970121185039682,1.2005736668789433,0.3448,0.0153,0.3618,0.0106
4,752,44,12.66577385837766,0.2654923947681782,1.1312059133705359,0.2842,0.0616,0.2864,0.0594
5,3497,53,9.344307940177295,-0.1395159763814541,1.4366867310669724,0.7216,0.0,0.7249,0.0
6,2646,51,11.015808686318973,-0.15832164455680273,1.5518293210678131,0.5053,0.0002,0.5006,0.0002
8,161,30,8.289807447826087,-0.8258211193602483,2.026858293900637,0.3407,0.0654,0.3412,0.065
9,1272,48,10.586690055110063,0.14544971428820755,1.0301064228677563,-0.1554,0.2914,-0.1283,0.3849
10,1738,50,12.00906778803222,0.07006046439052933,1.2786311296953212,0.2935,0.0386,0.2907,0.0405
11,333,43,11.025561469069068,0.19490278726876878,1.1786196765322838,0.1608,0.303,0.1651,0.2901
12,358,37,10.688625569553071,0.22062500499441343,0.9981760359993993,0.3412,0.0387,0.3412,0.0388
13,19871,53,10.494373656051534,0.0022700494094776264,1.3245683978782372,0.8134,0.0,0.817,0.0
