louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,161,47,11.54676392546584,-0.017784355908695655,0.9627855732843056,0.1769,0.2342,0.1799,0.2263
1,1975,50,10.52663540886076,-0.3226074055957448,1.3414069901083518,0.6728,0.0,0.6764,0.0
3,1110,49,11.259227935765765,-0.2720069099633333,1.3364143217356061,0.5567,0.0,0.5469,0.0
4,2290,50,12.589695201746725,-0.06355741630301746,1.362189417980023,0.612,0.0,0.6003,0.0
5,978,50,8.861898750306748,0.03494005035480572,1.5551342762446618,0.534,0.0001,0.5282,0.0001
6,1797,50,9.499992781023929,-0.2873408412648192,1.2302414354440598,0.7011,0.0,0.7001,0.0
7,289,44,12.384269830795848,0.021650832202076115,1.0726196110296577,0.2435,0.1112,0.2439,0.1105
8,1978,48,10.86353387785642,-0.1697434871836704,1.4897310844776486,0.7075,0.0,0.723,0.0
9,464,50,10.519941738793104,-0.16337620662844826,1.0287727683966905,-0.049,0.7353,-0.0352,0.8085
10,1039,49,10.400975963137633,0.06781366379191531,1.2011617910243904,0.5634,0.0,0.5572,0.0
11,526,49,11.171024654182508,0.014877042539733843,1.0390297519227347,0.3047,0.0332,0.2812,0.0503
12,195,46,10.393615343589744,-0.16449371958205125,1.0208874880022845,0.2144,0.1524,0.233,0.1192
13,785,49,8.14492996178344,-0.6275670745108918,1.135001874033197,0.5953,0.0,0.5899,0.0
