louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,344,50,10.988651144476744,-0.31987581501395346,0.9668034117694507,0.1833,0.2025,0.1771,0.2185
1,1792,51,10.31227563577009,-0.36732826817377234,1.1445874914469156,0.6641,0.0,0.6466,0.0
3,1626,48,11.054425584870849,-0.16019997507521527,1.2422228399532131,0.5077,0.0002,0.4934,0.0004
4,6258,49,11.980332816506872,0.056333607929183446,1.292825742343958,0.8082,0.0,0.8041,0.0
5,731,46,9.88012036990424,-0.06194612418663474,1.2664571203280368,0.625,0.0,0.6291,0.0
6,2787,49,10.936421530821672,0.1781001037714137,1.2412992953838335,0.7284,0.0,0.7312,0.0
7,463,45,12.452768747300215,0.08754528374038878,1.0633113772489442,-0.0022,0.9887,-0.004,0.9794
8,2389,44,11.179986533235663,-0.015288424649753028,1.5272033534111293,0.514,0.0004,0.4988,0.0006
9,279,49,11.003075265232974,-0.1127572834455197,1.0695999744386686,-0.1801,0.2157,-0.1889,0.1937
10,4889,51,10.11694130822254,-0.13584426609014114,1.2460890158140987,0.7701,0.0,0.7682,0.0
11,1316,51,11.461236247340425,0.06022583718968845,1.1146813042760901,0.2666,0.0586,0.2703,0.0551
12,133,46,10.710481121804511,-0.11594951957894738,1.0246175351370415,-0.0076,0.9599,0.0004,0.9978
13,1148,51,8.985128889547038,-0.10810973261637631,1.0708919856963617,0.4219,0.002,0.4238,0.0019
