animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
4J6,7.15,11,M1,12.349001,0.57735574
8I6,9.9,11,M1,11.263,-0.22929879
46Z,13.97,11,M1,13.258,1.2474276
2F2,11.04,11,M1,12.910998,1.1346648
77V,16.15,11,M1,11.592,0.0593724
8B3,13.09,11,M1,12.211,0.6324209
4J6,7.15,11,M1,10.2630005,-0.9470664
46Z,13.97,11,M1,10.496,-0.54074365
0G3,9.1,11,M1,11.877001,0.37281752
8M0,8.12,11,M1,11.769,0.14408828
97R,17.93,11,M1,12.06,0.43261388
2F2,11.04,11,M1,11.561999,0.16187808
0B9,12.11,11,M1,14.394999,2.2694876
74K,20.81,11,M1,13.612999,1.7907277
82V,16.01,11,M1,9.809,-1.2986479
77V,16.15,11,M1,10.448999,-0.6047948
74K,20.81,11,M1,11.422999,0.100347765
2S2,6.31,11,M1,12.129999,0.4927842
6L4,8.2,11,M1,14.875,2.5016408
8B3,13.09,11,M1,14.7039995,2.7117705
46Z,13.97,11,M1,13.820999,1.734255
1P5,6.21,11,M1,9.773001,-1.3447692
8C9,12.12,11,M1,11.647,0.1902464
2Q0,3.21,11,M1,11.766,0.38555056
1T9,4.11,11,M1,10.901,-0.5310135
2T2,4.09,11,M1,10.698999,-0.61595833
8B3,13.09,11,M1,11.365999,0.032673437
8I6,9.9,11,M1,11.969,0.4450663
31S,17.0,11,M1,13.720999,1.8457422
8I6,9.9,11,M1,11.004,-0.17627752
98V,16.03,11,M1,11.615999,0.16097987
0B9,12.11,11,M1,10.703,-0.511833
2S2,6.31,11,M1,12.310999,0.59942234
1V8,4.31,11,M1,12.404001,0.62038594
8I6,9.9,11,M1,11.115,-0.28971428
43N,17.0,11,M1,9.749,-1.2004772
3E4,11.99,11,M1,13.24,1.455246
2Q0,3.21,11,M1,12.641001,1.0408392
37V,15.07,11,M1,10.7369995,-0.53559643
31S,17.0,11,M1,11.437,0.3037044
37V,15.07,11,M1,9.837,-1.2158043
46Z,13.97,11,M1,9.483,-1.4802699
1L1,8.17,11,M1,10.699999,-0.3819095
2S2,6.31,11,M1,10.65,-0.39319965
3R7,3.32,11,M1,12.231,0.8004433
2T2,4.09,11,M1,10.494,-0.5775002
8B3,13.09,11,M1,11.673,0.063714996
8I6,9.9,11,M1,14.728999,2.4959483
37V,15.07,11,M1,11.16,-0.115736745
8C9,12.12,11,M1,10.205999,-0.74990606
3D1,13.11,11,M1,11.056001,-0.29271522
46Z,13.97,11,M1,10.538,-0.58343065
5H6,11.03,11,M1,11.682,0.2412628
46Z,13.97,11,M1,11.059,-0.40239188
31S,17.0,11,M1,11.390001,-0.1941663
1L1,8.17,11,M1,12.287,0.6991273
1V8,4.31,11,M1,12.665999,0.7884724
5H6,11.03,11,M1,11.681,0.137597
0G3,9.1,11,M1,10.337999,-0.71758413
2F2,11.04,11,M1,11.471,0.1773646
31S,17.0,11,M1,11.360001,-0.14776316
91O,15.86,11,M1,11.172,-0.3642276
2T2,4.09,11,M1,11.345,-0.20128061
31S,17.0,11,M1,10.664,-0.4953092
0G3,9.1,11,M1,11.864,0.34602886
0B9,12.11,11,M1,12.924001,0.87534356
4J6,7.15,11,M1,10.038,-0.9485586
8B3,13.09,11,M1,10.726,-0.48988408
2S2,6.31,11,M1,12.952001,0.918639
3T5,5.12,11,M1,10.623,-0.48822188
46Z,13.97,11,M1,13.123999,1.1434386
74K,20.81,11,M1,14.616,2.4248636
2S2,6.31,11,M1,11.283,-0.22768234
0B9,12.11,11,M1,11.925,0.3694964
2S2,6.31,11,M1,13.437999,1.3744987
5H6,11.03,11,M1,12.112,0.4555986
3D1,13.11,11,M1,12.160001,0.34672827
1G8,7.88,11,M1,11.503,0.106920645
8M0,8.12,11,M1,12.827001,0.98851347
8I6,9.9,11,M1,10.548,-0.45711866
8B3,13.09,11,M1,11.992,0.3840205
1G8,7.88,11,M1,10.265,-0.8632893
8B3,13.09,11,M1,10.789999,-0.5322939
8B3,13.09,11,M1,10.587999,-0.65693307
8M0,8.12,11,M1,13.025999,1.120055
82V,16.01,11,M1,13.481999,1.5103148
8B3,13.09,11,M1,11.569,0.17401208
77V,16.15,11,M1,12.018,0.52805567
31S,17.0,11,M1,12.154,0.74396825
5R4,6.25,11,M1,10.14,-0.94073653
98V,16.03,11,M1,11.315001,-0.074207015
4J6,7.15,11,M1,11.154,-0.20341721
50P,15.59,11,M1,9.915,-1.0605973
8I6,9.9,11,M1,12.578,1.0183598
56R,14.95,11,M1,13.749001,1.9277414
3T5,5.12,11,M1,11.6449995,0.088411555
5H6,11.03,11,M1,12.227999,0.6714893
