animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
97R,17.93,12,ACC,9.971,-0.6836807
56K,19.93,12,ACC,8.38,-1.6766802
98V,16.03,12,ACC,9.493,-1.0149684
42T,15.96,12,ACC,9.512,-1.1459743
0G3,9.1,12,ACC,13.490999,1.5344489
37V,15.07,12,ACC,11.011999,-0.102979116
6D9,13.11,12,ACC,11.695,0.32590628
42T,15.96,12,ACC,12.533999,0.93306494
8I6,9.9,12,ACC,12.052,0.7116319
0B9,12.11,12,ACC,8.912001,-1.3475925
74K,20.81,12,ACC,10.937,-0.046609256
2Q0,3.21,12,ACC,10.603999,-0.18665548
4Q6,3.22,12,ACC,9.870001,-0.7438629
3D1,13.11,12,ACC,10.212,-0.52742064
6L4,8.2,12,ACC,11.226,0.047924448
3K1,9.01,12,ACC,10.636,-0.24481405
31S,17.0,12,ACC,10.401999,-0.42213657
1P5,6.21,12,ACC,12.112,0.5403697
5R4,6.25,12,ACC,11.098001,-0.14777811
6D9,13.11,12,ACC,10.484001,-0.45921573
7F0,11.2,12,ACC,11.142,0.04947682
43N,17.0,12,ACC,12.038,0.5388191
4Q6,3.22,12,ACC,11.777,0.56124514
8M0,8.12,12,ACC,10.183001,-0.6964343
56R,14.95,12,ACC,10.46,-0.36996278
2I1,10.27,12,ACC,8.535001,-1.7707378
74K,20.81,12,ACC,13.164999,1.079114
91O,15.86,12,ACC,11.49,0.11139904
7M4,8.15,12,ACC,15.097,2.6779163
56R,14.95,12,ACC,12.625,1.0217593
55R,14.97,12,ACC,11.127001,-0.2616484
91O,15.86,12,ACC,12.166,0.62977546
42T,15.96,12,ACC,9.985,-0.7973647
97R,17.93,12,ACC,10.983,-0.11488033
3D1,13.11,12,ACC,12.469999,0.9519406
91O,15.86,12,ACC,11.991,0.46536633
31S,17.0,12,ACC,11.797001,0.26968837
8M0,8.12,12,ACC,10.381,-0.5743784
4Q6,3.22,12,ACC,10.668,-0.217788
1L1,8.17,12,ACC,9.681,-1.0339271
46Z,13.97,12,ACC,12.137,0.60013765
2V1,4.3,12,ACC,10.899,-0.25265235
2V1,4.3,12,ACC,10.814001,-0.30155587
5R4,6.25,12,ACC,10.658999,-0.3845053
37V,15.07,12,ACC,10.804999,-0.18646398
42T,15.96,12,ACC,10.287001,-0.57716024
4Q6,3.22,12,ACC,9.209001,-1.3609381
42T,15.96,12,ACC,11.186,0.12721893
