animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2T6,5.18,13,IPP,10.203,-0.24578597
4Q6,3.22,13,IPP,10.6970005,0.12083115
4Q6,3.22,13,IPP,9.948999,-0.2668831
41N,16.74,13,IPP,7.9589996,-1.9348025
41N,16.74,13,IPP,10.631,0.13943693
41N,16.74,13,IPP,10.698,0.15110779
41N,16.74,13,IPP,10.805,0.29282293
41N,16.74,13,IPP,11.877,0.9898583
2I1,10.27,13,IPP,9.952,-0.34972775
2I1,10.27,13,IPP,15.595999,3.553414
77V,16.15,13,IPP,10.306,-0.1568743
77V,16.15,13,IPP,11.497999,0.7615055
7F0,11.2,13,IPP,12.948999,1.487024
0G3,9.1,13,IPP,13.511,2.1968424
0G3,9.1,13,IPP,8.936,-1.0091016
56K,19.93,13,IPP,10.693999,-0.056670327
8C9,12.12,13,IPP,12.222,1.0063287
3E4,11.99,13,IPP,11.426999,0.6022398
3E4,11.99,13,IPP,12.542,1.2104223
3E4,11.99,13,IPP,13.393,1.9615906
1P5,6.21,13,IPP,9.783,-0.5482951
1P5,6.21,13,IPP,7.503,-2.2155025
8I6,9.9,13,IPP,12.627001,1.5038896
8I6,9.9,13,IPP,11.122999,0.5664893
8I6,9.9,13,IPP,10.944,0.30391443
2Q0,3.21,13,IPP,15.174001,3.120261
8H2,10.13,13,IPP,11.556,0.77743024
42T,15.96,13,IPP,10.698001,0.12988248
2T6,5.18,13,IPP,11.469,0.546504
4Q6,3.22,13,IPP,10.775,0.24869256
4Q6,3.22,13,IPP,6.697,-2.3162806
4Q6,3.22,13,IPP,10.761999,0.18205684
6L4,8.2,13,IPP,11.177,0.6045582
2I1,10.27,13,IPP,11.337,0.6680866
4S3,3.18,13,IPP,12.754999,1.502248
77V,16.15,13,IPP,12.638,1.5570846
77V,16.15,13,IPP,12.423999,1.4637555
2C0,11.0,13,IPP,8.483999,-1.3523629
7F0,11.2,13,IPP,12.731,1.6267295
7F0,11.2,13,IPP,12.482,1.4275873
7F0,11.2,13,IPP,9.719,-0.34460995
74K,20.81,13,IPP,11.469999,0.7424839
82V,16.01,13,IPP,13.6050005,2.2927303
82V,16.01,13,IPP,13.024,1.6901128
43N,17.0,13,IPP,12.738,1.4320213
43N,17.0,13,IPP,10.966,0.35794613
8C9,12.12,13,IPP,11.962,1.0989345
6O7,6.03,13,IPP,12.256,1.0100855
6O7,6.03,13,IPP,11.953,0.9799903
2Q0,3.21,13,IPP,9.650999,-0.70255655
2S6,3.17,13,IPP,10.073999,-0.24561664
3K1,9.01,13,IPP,9.363999,-0.7823799
7M4,8.15,13,IPP,8.987999,-0.99966323
8B3,13.09,13,IPP,13.256,1.6740496
46Z,13.97,13,IPP,11.643,0.86187285
4Q6,3.22,13,IPP,9.183,-0.8591459
4Q6,3.22,13,IPP,10.844,0.26654267
5H6,11.03,13,IPP,13.311,1.9040418
41N,16.74,13,IPP,11.108001,0.3742613
41N,16.74,13,IPP,8.089,-1.6071916
2I1,10.27,13,IPP,9.626001,-0.5752122
4S3,3.18,13,IPP,5.8450003,-3.2128944
77V,16.15,13,IPP,10.776,0.2008602
2C0,11.0,13,IPP,12.785,1.6896659
2C0,11.0,13,IPP,11.110999,0.62514424
7F0,11.2,13,IPP,10.573,0.13512866
7F0,11.2,13,IPP,12.515,1.3711944
0G3,9.1,13,IPP,10.766001,0.04772401
1T9,4.11,13,IPP,9.386,-0.73250616
1T9,4.11,13,IPP,10.507,-0.08200223
3E4,11.99,13,IPP,12.386,1.1407984
3E4,11.99,13,IPP,8.802,-1.0431558
1P5,6.21,13,IPP,11.147,0.36017138
8I6,9.9,13,IPP,10.004999,-0.34229976
8I6,9.9,13,IPP,6.0579996,-3.0970392
8I6,9.9,13,IPP,8.588,-1.2628881
2S6,3.17,13,IPP,7.2489996,-1.9573219
3D1,13.11,13,IPP,8.174,-1.5382028
2F2,11.04,13,IPP,9.658999,-0.41664368
2T6,5.18,13,IPP,12.239,1.2903987
91O,15.86,13,IPP,12.021999,0.95840096
6L4,8.2,13,IPP,11.128,0.3304032
6L4,8.2,13,IPP,11.066,0.28339598
41N,16.74,13,IPP,11.765001,0.93542475
41N,16.74,13,IPP,7.4380007,-1.8157977
2V1,4.3,13,IPP,11.243,0.5434437
77V,16.15,13,IPP,12.063,0.7879095
77V,16.15,13,IPP,14.7,2.7672558
77V,16.15,13,IPP,11.332999,0.5969201
7F0,11.2,13,IPP,10.528999,0.07861956
7F0,11.2,13,IPP,8.336,-1.7303464
7F0,11.2,13,IPP,9.427,-0.8029583
7F0,11.2,13,IPP,12.15,0.9455402
74K,20.81,13,IPP,12.883,1.6413832
8C9,12.12,13,IPP,7.3369994,-2.1298556
1T9,4.11,13,IPP,15.07,2.6687589
6O7,6.03,13,IPP,11.035999,0.38343933
2C6,14.03,13,IPP,10.386999,-0.19728681
2C6,14.03,13,IPP,12.24,1.5488842
3E4,11.99,13,IPP,9.501,-0.6119444
3E4,11.99,13,IPP,9.389,-0.80175513
3E4,11.99,13,IPP,10.473001,-0.012011037
1P5,6.21,13,IPP,8.022,-1.5291328
8I6,9.9,13,IPP,12.4089985,1.1666662
6D9,13.11,13,IPP,10.554,0.013830324
37V,15.07,13,IPP,12.696,1.4467163
50P,15.59,13,IPP,10.353999,-0.15030596
97R,17.93,13,IPP,10.268,-0.113539204
8B3,13.09,13,IPP,10.981,0.2739098
42T,15.96,13,IPP,11.543,0.77347285
42T,15.96,13,IPP,13.852,2.135729
31S,17.0,13,IPP,12.356999,1.1602366
91O,15.86,13,IPP,13.507998,1.8663105
46Z,13.97,13,IPP,12.196,1.1319095
5H6,11.03,13,IPP,8.297999,-1.5870347
6L4,8.2,13,IPP,11.698,0.796109
6L4,8.2,13,IPP,10.733,0.23794112
6L4,8.2,13,IPP,7.229,-2.0729012
41N,16.74,13,IPP,12.248,1.1662279
41N,16.74,13,IPP,10.500999,-0.0032116242
2I1,10.27,13,IPP,10.644,0.06077677
4S3,3.18,13,IPP,7.1729994,-2.2305496
4S3,3.18,13,IPP,10.527,0.18831055
2C0,11.0,13,IPP,11.032999,0.36517864
7F0,11.2,13,IPP,11.72,0.76026356
7F0,11.2,13,IPP,8.816,-1.0816051
56K,19.93,13,IPP,11.219,0.6784143
43N,17.0,13,IPP,10.195001,-0.24560145
6O7,6.03,13,IPP,9.101,-0.83821887
1P5,6.21,13,IPP,8.286,-1.5897027
8I6,9.9,13,IPP,10.027999,-0.19598556
8I6,9.9,13,IPP,9.406,-0.7187336
2Q0,3.21,13,IPP,7.012,-2.2759588
2S6,3.17,13,IPP,8.672,-1.1547872
2S6,3.17,13,IPP,9.592,-0.5603429
1L1,8.17,13,IPP,7.403,-1.7842788
2T6,5.18,13,IPP,6.405,-2.8303173
2T6,5.18,13,IPP,9.453,-0.5841274
31S,17.0,13,IPP,13.121,1.6618767
31S,17.0,13,IPP,10.35,-0.105176784
91O,15.86,13,IPP,12.213999,1.3241321
4Q6,3.22,13,IPP,11.209,0.5421407
5H6,11.03,13,IPP,11.636999,0.7660161
4J6,7.15,13,IPP,10.952,0.24127497
6L4,8.2,13,IPP,12.479,1.084142
6L4,8.2,13,IPP,9.708,-0.38730925
41N,16.74,13,IPP,13.899,2.1778154
41N,16.74,13,IPP,14.640999,2.8604348
41N,16.74,13,IPP,8.790999,-1.4335368
4S3,3.18,13,IPP,5.894,-3.0814164
2V1,4.3,13,IPP,12.67,1.3416272
77V,16.15,13,IPP,7.489,-2.2402885
2C0,11.0,13,IPP,6.8949995,-2.5170617
7F0,11.2,13,IPP,9.389001,-0.5946801
7F0,11.2,13,IPP,10.377,-0.2255467
0G3,9.1,13,IPP,10.167999,-0.21087195
0G3,9.1,13,IPP,10.824,0.12215521
74K,20.81,13,IPP,13.319,1.8677369
1T9,4.11,13,IPP,12.268,1.1512032
2C6,14.03,13,IPP,10.381,0.04178412
2C6,14.03,13,IPP,12.039,0.9970974
2C6,14.03,13,IPP,12.908999,1.6874591
8I6,9.9,13,IPP,11.462,0.64187455
1L1,8.17,13,IPP,10.325,-0.08841698
91O,15.86,13,IPP,8.432,-1.4365276
4Q6,3.22,13,IPP,6.4059997,-2.7128067
4Q6,3.22,13,IPP,7.218,-2.198479
4J6,7.15,13,IPP,8.540999,-1.1037235
4S3,3.18,13,IPP,8.039999,-1.6499183
4S3,3.18,13,IPP,9.663,-0.64901775
1V8,4.31,13,IPP,12.4869995,1.3866453
7F0,11.2,13,IPP,12.726,1.744368
7F0,11.2,13,IPP,10.056,-0.46442848
7F0,11.2,13,IPP,12.36,1.3524694
0G3,9.1,13,IPP,8.611,-1.0605806
0G3,9.1,13,IPP,12.144,0.9683289
0G3,9.1,13,IPP,8.792001,-1.1852981
43N,17.0,13,IPP,10.009,-0.5068594
6O7,6.03,13,IPP,8.905001,-1.0841125
6O7,6.03,13,IPP,9.386999,-0.6699582
2C6,14.03,13,IPP,12.066999,0.9764832
3E4,11.99,13,IPP,11.196,0.4240591
1P5,6.21,13,IPP,10.117,-0.27849692
1P5,6.21,13,IPP,10.190001,-0.074971184
1P5,6.21,13,IPP,9.808,-0.43747506
1P5,6.21,13,IPP,8.137,-1.6551216
8I6,9.9,13,IPP,10.671,0.11377503
8I6,9.9,13,IPP,10.483999,-0.04044482
1L1,8.17,13,IPP,10.389,-0.27276996
50P,15.59,13,IPP,9.9279995,-0.3497685
8B3,13.09,13,IPP,9.464999,-0.88861305
8B3,13.09,13,IPP,12.452,1.1226085
42T,15.96,13,IPP,8.524,-1.3209994
2T6,5.18,13,IPP,8.801001,-0.9941751
4Q6,3.22,13,IPP,8.712,-1.3020003
4Q6,3.22,13,IPP,8.094,-1.6380972
6L4,8.2,13,IPP,10.678999,0.1084023
41N,16.74,13,IPP,8.529,-1.2718838
41N,16.74,13,IPP,11.385,0.77199805
2I1,10.27,13,IPP,10.639999,0.045244608
77V,16.15,13,IPP,9.004,-0.90182406
74K,20.81,13,IPP,11.006,0.3189866
8C9,12.12,13,IPP,9.979,-0.39840418
1T9,4.11,13,IPP,7.9119997,-1.8517423
6O7,6.03,13,IPP,12.8029995,1.6632025
6O7,6.03,13,IPP,8.734,-1.291058
6O7,6.03,13,IPP,7.493,-2.5508633
2C6,14.03,13,IPP,9.516,-0.70514804
2C6,14.03,13,IPP,11.658999,0.8126418
8I6,9.9,13,IPP,10.135,-0.18356538
8I6,9.9,13,IPP,7.4900002,-1.747573
8I6,9.9,13,IPP,9.435,-0.763536
42T,15.96,13,IPP,12.157,1.3069351
91O,15.86,13,IPP,10.040999,-0.37194866
5H6,11.03,13,IPP,9.666,-0.44981965
6L4,8.2,13,IPP,9.063,-1.0023712
41N,16.74,13,IPP,12.332999,1.2713368
77V,16.15,13,IPP,8.179999,-1.5963387
