animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
5H6,11.03,1,lCb,12.596001,1.7011427
4J6,7.15,1,lCb,12.089,1.3928192
50P,15.59,1,lCb,9.673,-0.22881313
7F0,11.2,1,lCb,6.4480004,-2.335931
8B3,13.09,1,lCb,11.539999,0.93796307
50P,15.59,1,lCb,11.431999,0.91997844
7M4,8.15,1,lCb,8.006,-1.2030456
5R4,6.25,1,lCb,7.322,-1.7036381
56R,14.95,1,lCb,11.932,1.3977263
50P,15.59,1,lCb,10.198,0.2868506
8B3,13.09,1,lCb,11.881,1.2449638
41N,16.74,1,lCb,10.894,0.59313494
98V,16.03,1,lCb,8.054999,-1.2473898
82V,16.01,1,lCb,10.765,0.65219724
2I1,10.27,1,lCb,8.406,-1.0132122
2V1,4.3,1,lCb,9.999001,-0.112403095
2V1,4.3,1,lCb,9.86,-0.2641298
3R7,3.32,1,lCb,10.568,0.49457887
8I6,9.9,1,lCb,9.821001,0.088143416
0B9,12.11,1,lCb,9.247999,-0.36004895
8I6,9.9,1,lCb,6.141,-2.5355422
6D9,13.11,1,lCb,10.345999,0.526948
50P,15.59,1,lCb,10.6779995,0.4366123
98V,16.03,1,lCb,9.684999,-0.16094749
37V,15.07,1,lCb,12.995,1.9417017
4Q6,3.22,1,lCb,9.351999,-0.42645687
3R7,3.32,1,lCb,11.26,1.111196
41N,16.74,1,lCb,11.958,1.5579907
2V1,4.3,1,lCb,8.689001,-1.0176332
7F0,11.2,1,lCb,9.292,-0.4434525
3R7,3.32,1,lCb,12.708,1.8016058
50P,15.59,1,lCb,10.195001,0.11343241
2C6,14.03,1,lCb,11.0199995,0.75082606
37V,15.07,1,lCb,9.023001,-0.8532085
8B3,13.09,1,lCb,11.0789995,0.7797128
5H6,11.03,1,lCb,9.2439995,-0.25783148
4S3,3.18,1,lCb,8.918,-0.579878
5H6,11.03,1,lCb,13.066,2.315623
56K,19.93,1,lCb,10.934999,0.7215541
4S3,3.18,1,lCb,9.906,0.17703606
4Q6,3.22,1,lCb,7.061,-1.9249681
4Q6,3.22,1,lCb,9.929,0.019920783
0G3,9.1,1,lCb,11.558,1.2042488
4J6,7.15,1,lCb,10.167,0.214598
4S3,3.18,1,lCb,7.436,-1.4172236
4S3,3.18,1,lCb,10.924,0.69685954
98V,16.03,1,lCb,10.664999,0.50638336
2F2,11.04,1,lCb,8.92,-0.45076025
3R7,3.32,1,lCb,10.036,0.14977954
1G8,7.88,1,lCb,7.5519996,-1.7043674
8B3,13.09,1,lCb,8.657,-0.68067634
4S3,3.18,1,lCb,8.407,-0.8511956
5R4,6.25,1,lCb,8.458,-0.8921001
7F0,11.2,1,lCb,11.72,1.2354553
4Q6,3.22,1,lCb,9.76,-0.2203285
55R,14.97,1,lCb,7.4920006,-1.9357395
97R,17.93,1,lCb,13.754999,2.5943372
3D1,13.11,1,lCb,11.667,0.98384136
4Q6,3.22,1,lCb,9.93,0.07640289
8M0,8.12,1,lCb,9.459001,-0.19030422
55R,14.97,1,lCb,10.238001,0.21912369
42T,15.96,1,lCb,7.7790003,-1.4501967
3D1,13.11,1,lCb,7.7820005,-1.3608673
7M4,8.15,1,lCb,10.213,0.09457138
41N,16.74,1,lCb,8.247,-1.421617
2F2,11.04,1,lCb,11.156,0.8781106
97R,17.93,1,lCb,9.758,-0.13768001
97R,17.93,1,lCb,9.967,-0.03694266
50P,15.59,1,lCb,9.338,-0.3471611
97R,17.93,1,lCb,7.273,-1.6778022
6L4,8.2,1,lCb,8.742999,-0.601821
3R7,3.32,1,lCb,11.354,1.0537616
50P,15.59,1,lCb,10.633,0.5378375
4Q6,3.22,1,lCb,11.065001,0.57400984
56R,14.95,1,lCb,9.957001,0.09314566
82V,16.01,1,lCb,11.563,1.1670793
6D9,13.11,1,lCb,8.235,-0.98013926
50P,15.59,1,lCb,10.54,0.51665646
4J6,7.15,1,lCb,8.535,-0.92196447
4J6,7.15,1,lCb,12.629001,1.9980464
1G8,7.88,1,lCb,11.115,0.6736804
5H6,11.03,1,lCb,10.974001,0.87396586
6L4,8.2,1,lCb,10.258,0.23688665
3T5,5.12,1,lCb,8.835,-0.8011891
2I1,10.27,1,lCb,10.995,1.1711242
82V,16.01,1,lCb,9.404,-0.30918443
2V1,4.3,1,lCb,6.7949996,-1.7807451
31S,17.0,1,lCb,9.267,-0.3107495
43N,17.0,1,lCb,8.017,-1.0603659
2F2,11.04,1,lCb,7.275,-1.5823233
3R7,3.32,1,lCb,6.602,-2.1124034
7F0,11.2,1,lCb,9.407,-0.191177
74K,20.81,1,lCb,10.372,0.38803223
2F2,11.04,1,lCb,8.951,-0.50420964
4J6,7.15,1,lCb,9.34,-0.29771605
41N,16.74,1,lCb,10.984,0.72463584
4S3,3.18,1,lCb,6.186,-2.4121196
7M4,8.15,1,lCb,8.583001,-0.87142974
2V1,4.3,1,lCb,7.5620003,-1.6434125
2I1,10.27,1,lCb,10.59,0.45691463
74K,20.81,1,lCb,12.112001,1.4151276
2S6,3.17,1,lCb,8.052,-1.2752892
8B3,13.09,1,lCb,9.241001,-0.3925115
0B9,12.11,1,lCb,10.205999,0.24657291
3R7,3.32,1,lCb,5.3129997,-2.569393
1V8,4.31,1,lCb,7.6769996,-1.3352156
55R,14.97,1,lCb,11.759001,1.1767982
56R,14.95,1,lCb,12.6050005,1.678288
3R7,3.32,1,lCb,10.435,0.2944956
2I1,10.27,1,lCb,8.896,-0.60615623
1G8,7.88,1,lCb,9.745999,-0.040918414
50P,15.59,1,lCb,9.2,-0.47986493
3R7,3.32,1,lCb,8.221,-0.94547117
2C6,14.03,1,lCb,8.824,-0.75448227
3R7,3.32,1,lCb,6.6809998,-2.189015
55R,14.97,1,lCb,9.8880005,0.0874455
8B3,13.09,1,lCb,9.539,-0.11987765
3R7,3.32,1,lCb,8.265,-1.1213897
2I1,10.27,1,lCb,9.309,-0.36836472
2F2,11.04,1,lCb,13.037,2.2903078
2I1,10.27,1,lCb,10.485,0.3468842
4S3,3.18,1,lCb,9.868,0.09424734
4S3,3.18,1,lCb,7.2949996,-1.6702005
3T5,5.12,1,lCb,11.2960005,0.7352283
42T,15.96,1,lCb,11.702001,1.159017
4S3,3.18,1,lCb,7.838,-1.5592548
2V1,4.3,1,lCb,9.973,0.14621377
37V,15.07,1,lCb,10.716001,0.534017
3T5,5.12,1,lCb,11.768,1.1871942
4S3,3.18,1,lCb,4.45,-3.13032
50P,15.59,1,lCb,8.955,-0.55055964
7M4,8.15,1,lCb,8.984,-0.3479231
4S3,3.18,1,lCb,8.0720005,-1.305975
3E4,11.99,1,lCb,12.379999,1.4703432
8M0,8.12,1,lCb,11.848001,1.5094695
1L1,8.17,1,lCb,9.873,0.017705029
1G8,7.88,1,lCb,6.4709997,-2.3820322
2I1,10.27,1,lCb,11.281,0.88762355
7F0,11.2,1,lCb,9.642,-0.24661267
5H6,11.03,1,lCb,9.780001,0.03807402
3R7,3.32,1,lCb,11.741,1.0095875
3R7,3.32,1,lCb,9.443999,-0.2588858
3R7,3.32,1,lCb,9.108999,-0.576222
7M4,8.15,1,lCb,9.209,-0.3986992
6D9,13.11,1,lCb,9.276,-0.39473167
6D9,13.11,1,lCb,12.894,1.8468726
2F2,11.04,1,lCb,11.721,0.97978324
7F0,11.2,1,lCb,10.222,0.120687865
7F0,11.2,1,lCb,9.843,-0.034222476
37V,15.07,1,lCb,11.460001,1.2140499
6L4,8.2,1,lCb,8.746,-0.5293126
1L1,8.17,1,lCb,8.440001,-1.0638405
43N,17.0,1,lCb,8.067999,-1.1409144
2I1,10.27,1,lCb,8.996,-0.53852105
3T5,5.12,1,lCb,10.1779995,0.1693173
97R,17.93,1,lCb,15.119,3.5564392
41N,16.74,1,lCb,8.659,-0.7219367
4S3,3.18,1,lCb,8.633,-0.7800624
4S3,3.18,1,lCb,10.058001,0.15511264
37V,15.07,1,lCb,10.2039995,0.18449125
2F2,11.04,1,lCb,9.391001,-0.32660806
1V8,4.31,1,lCb,10.848001,0.4690233
3T5,5.12,1,lCb,10.997999,0.7039546
8B3,13.09,1,lCb,9.66,-0.12574603
56K,19.93,1,lCb,10.485,0.33876142
8B3,13.09,1,lCb,10.466001,0.35606837
4Q6,3.22,1,lCb,9.657,-0.12265975
7F0,11.2,1,lCb,8.266,-1.1803713
5H6,11.03,1,lCb,8.056001,-1.2778482
41N,16.74,1,lCb,9.940001,-0.08222243
3E4,11.99,1,lCb,9.715,0.0020878268
41N,16.74,1,lCb,12.406,1.6029114
7M4,8.15,1,lCb,8.598001,-0.8634936
0B9,12.11,1,lCb,10.018,-0.06632121
2F2,11.04,1,lCb,11.404,1.049698
2S6,3.17,1,lCb,7.708,-1.3244635
5R4,6.25,1,lCb,10.196,0.15975589
3R7,3.32,1,lCb,8.429999,-0.9678361
2V1,4.3,1,lCb,6.5850005,-2.1812112
4S3,3.18,1,lCb,10.099001,0.16532657
6D9,13.11,1,lCb,10.0529995,0.109240666
8M0,8.12,1,lCb,8.764,-0.57020414
50P,15.59,1,lCb,12.063001,1.355085
50P,15.59,1,lCb,11.09,0.9385633
4S3,3.18,1,lCb,9.856001,-0.11742185
3D1,13.11,1,lCb,6.0810003,-2.8782752
3T5,5.12,1,lCb,10.7,0.43797368
3T5,5.12,1,lCb,8.908999,-0.5381212
50P,15.59,1,lCb,12.054,1.5065717
8I6,9.9,1,lCb,9.122,-0.48686343
1G8,7.88,1,lCb,8.981001,-0.4970166
4Q6,3.22,1,lCb,10.155,0.12399116
7F0,11.2,1,lCb,11.226,0.9226583
55R,14.97,1,lCb,8.229,-1.310914
8M0,8.12,1,lCb,9.195001,-0.41174665
2V1,4.3,1,lCb,9.179001,-0.36069334
42T,15.96,1,lCb,7.818,-1.3207284
97R,17.93,1,lCb,10.656,0.589752
2V1,4.3,1,lCb,11.052,0.71823585
8M0,8.12,1,lCb,11.08,0.75889766
5R4,6.25,1,lCb,9.608,-0.17055407
42T,15.96,1,lCb,9.128,-0.39881527
7F0,11.2,1,lCb,10.582999,0.6205045
56R,14.95,1,lCb,8.935999,-0.59392476
3T5,5.12,1,lCb,9.198,-0.4965159
0B9,12.11,1,lCb,12.806,1.9694276
3R7,3.32,1,lCb,8.191,-1.0952419
7F0,11.2,1,lCb,9.79,0.11720842
0B9,12.11,1,lCb,12.183,1.5142485
42T,15.96,1,lCb,8.374,-1.1207584
1L1,8.17,1,lCb,11.922,1.2098699
4S3,3.18,1,lCb,9.726999,-0.06191407
