animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
4Q6,3.22,2,dlPFC,12.6449995,0.60706717
3R7,3.32,2,dlPFC,9.722,-1.3117931
31S,17.0,2,dlPFC,12.612,0.75064856
42T,15.96,2,dlPFC,6.005,-3.5247288
31S,17.0,2,dlPFC,12.845999,0.9307113
4Q6,3.22,2,dlPFC,13.816999,1.5975263
56R,14.95,2,dlPFC,12.629999,0.775647
5R4,6.25,2,dlPFC,10.788,-0.53008944
42T,15.96,2,dlPFC,7.324,-2.8714302
7M4,8.15,2,dlPFC,10.606,-0.7862679
2V1,4.3,2,dlPFC,12.462,0.51064914
8H2,10.13,2,dlPFC,11.079,-0.3594209
56K,19.93,2,dlPFC,13.044001,0.9522378
4Q6,3.22,2,dlPFC,10.767,-0.61470634
43N,17.0,2,dlPFC,10.419,-0.919634
56R,14.95,2,dlPFC,10.3029995,-0.76603717
43N,17.0,2,dlPFC,10.202001,-0.95404315
31S,17.0,2,dlPFC,10.604,-0.6185535
2T2,4.09,2,dlPFC,12.451,0.56602055
4Q6,3.22,2,dlPFC,10.5720005,-0.5910198
4Q6,3.22,2,dlPFC,7.6780005,-2.7670891
3R7,3.32,2,dlPFC,9.524,-1.2327094
0B9,12.11,2,dlPFC,10.224,-0.96352166
1G8,7.88,2,dlPFC,12.085,0.33491996
42T,15.96,2,dlPFC,12.136,0.4584433
4Q6,3.22,2,dlPFC,8.339999,-2.2679076
0B9,12.11,2,dlPFC,12.057,0.5088557
0B9,12.11,2,dlPFC,11.268,-0.35814393
8H2,10.13,2,dlPFC,11.016,-0.47264245
42T,15.96,2,dlPFC,9.6119995,-1.3019487
6O7,6.03,2,dlPFC,11.778,0.1639748
56R,14.95,2,dlPFC,11.629999,0.32302648
56R,14.95,2,dlPFC,10.684001,-0.6670842
4S3,3.18,2,dlPFC,10.606001,-0.8437753
97R,17.93,2,dlPFC,11.111,-0.40944007
8H2,10.13,2,dlPFC,8.710001,-1.807267
41N,16.74,2,dlPFC,12.741999,0.690616
1G8,7.88,2,dlPFC,11.294001,-0.4083587
8H2,10.13,2,dlPFC,11.869,0.17737627
46Z,13.97,2,dlPFC,11.577001,-0.0470444
56R,14.95,2,dlPFC,10.995001,-0.36709628
4J6,7.15,2,dlPFC,10.213,-0.88503957
1G8,7.88,2,dlPFC,10.103,-0.86346096
31S,17.0,2,dlPFC,14.032001,1.3685179
2T2,4.09,2,dlPFC,9.31,-1.4298184
31S,17.0,2,dlPFC,9.848001,-0.9873917
4Q6,3.22,2,dlPFC,7.0770006,-2.7395535
55R,14.97,2,dlPFC,10.752,-0.4350973
8H2,10.13,2,dlPFC,10.301001,-0.8635587
2C6,14.03,2,dlPFC,9.714,-1.2414231
5H6,11.03,2,dlPFC,8.559,-1.9896356
41N,16.74,2,dlPFC,9.693,-1.1114004
56R,14.95,2,dlPFC,11.668,0.09851045
8H2,10.13,2,dlPFC,9.634001,-1.4328946
31S,17.0,2,dlPFC,11.914999,0.45008034
43N,17.0,2,dlPFC,12.362,0.45529675
3R7,3.32,2,dlPFC,9.624,-1.3018425
4Q6,3.22,2,dlPFC,6.461,-3.3146877
2V1,4.3,2,dlPFC,10.207999,-0.9708734
8H2,10.13,2,dlPFC,16.365002,2.9314685
43N,17.0,2,dlPFC,10.719,-0.5103475
1G8,7.88,2,dlPFC,7.8600006,-2.792403
2T2,4.09,2,dlPFC,14.51,1.9575901
8C9,12.12,2,dlPFC,11.433,-0.13918266
42T,15.96,2,dlPFC,10.191,-1.0768073
56R,14.95,2,dlPFC,11.769,0.18951808
4Q6,3.22,2,dlPFC,9.431001,-1.513638
31S,17.0,2,dlPFC,14.485001,2.1149821
37V,15.07,2,dlPFC,11.342,-0.12774864
3K1,9.01,2,dlPFC,11.761,0.0016054885
8H2,10.13,2,dlPFC,9.938,-1.1432233
31S,17.0,2,dlPFC,12.11,0.32635942
55R,14.97,2,dlPFC,10.922,-0.3448348
2T2,4.09,2,dlPFC,13.31,1.412728
8H2,10.13,2,dlPFC,11.268,-0.12750708
6D9,13.11,2,dlPFC,6.871001,-2.8712041
56R,14.95,2,dlPFC,11.879999,-0.015022243
56K,19.93,2,dlPFC,11.564,0.034048706
55R,14.97,2,dlPFC,8.476,-2.6697993
8H2,10.13,2,dlPFC,9.992,-1.0270141
1P5,6.21,2,dlPFC,9.326,-1.6219666
31S,17.0,2,dlPFC,11.758,0.25664598
55R,14.97,2,dlPFC,11.756,0.1999115
0B9,12.11,2,dlPFC,10.046,-1.1318462
97R,17.93,2,dlPFC,11.216001,-0.37491506
55R,14.97,2,dlPFC,12.823,0.9690592
31S,17.0,2,dlPFC,12.023,0.35561347
2T2,4.09,2,dlPFC,12.037,0.49567443
8H2,10.13,2,dlPFC,10.358,-0.6775691
56R,14.95,2,dlPFC,13.011999,0.9382065
8H2,10.13,2,dlPFC,9.203,-1.292558
3E4,11.99,2,dlPFC,11.311,-0.2564001
4J6,7.15,2,dlPFC,10.973001,-0.614565
31S,17.0,2,dlPFC,12.521,0.6900467
5H6,11.03,2,dlPFC,14.2039995,1.8219391
91O,15.86,2,dlPFC,10.359,-0.83217955
0G3,9.1,2,dlPFC,12.333,0.55172133
2F2,11.04,2,dlPFC,12.448,0.47377875
56R,14.95,2,dlPFC,9.877,-1.3341048
8H2,10.13,2,dlPFC,10.563,-0.5854911
31S,17.0,2,dlPFC,13.003,1.1661919
1P5,6.21,2,dlPFC,13.137999,1.1246511
2C6,14.03,2,dlPFC,12.7369995,0.7156191
2F2,11.04,2,dlPFC,10.706,-0.530858
31S,17.0,2,dlPFC,13.511,1.3998653
56K,19.93,2,dlPFC,12.370001,0.32378942
