animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
56R,14.95,3,EC,10.401,-0.77376884
97R,17.93,3,EC,10.346,-0.95765215
2F2,11.04,3,EC,12.262,0.73942435
97R,17.93,3,EC,12.031,0.7216108
8I6,9.9,3,EC,11.55,0.14714003
2T2,4.09,3,EC,10.861,-0.55962926
3K1,9.01,3,EC,9.997,-1.0524029
2F2,11.04,3,EC,10.554,-0.67527837
46Z,13.97,3,EC,9.797999,-1.4498364
0G3,9.1,3,EC,10.031,-1.116055
0G3,9.1,3,EC,11.625,0.29378438
1G8,7.88,3,EC,14.135,2.157908
41N,16.74,3,EC,7.843,-3.3908908
8B3,13.09,3,EC,11.994999,0.6254412
43N,17.0,3,EC,11.807,0.31628183
77V,16.15,3,EC,9.537001,-1.4903527
2F2,11.04,3,EC,12.056001,0.6213464
98V,16.03,3,EC,11.799,0.3827976
97R,17.93,3,EC,9.982,-1.1165665
46Z,13.97,3,EC,11.448,0.13763633
43N,17.0,3,EC,10.466001,-0.89392436
3K1,9.01,3,EC,11.704,0.42867225
3K1,9.01,3,EC,12.452001,0.91518784
2F2,11.04,3,EC,10.514999,-0.8395176
0G3,9.1,3,EC,11.295,-0.061687037
56K,19.93,3,EC,11.897,0.6759703
5H6,11.03,3,EC,10.719999,-0.5410535
56R,14.95,3,EC,9.04,-1.79263
0G3,9.1,3,EC,11.45,0.013931016
43N,17.0,3,EC,14.209,2.7019777
1G8,7.88,3,EC,11.923,0.5324234
3K1,9.01,3,EC,10.357,-0.85576487
0G3,9.1,3,EC,9.886,-1.2864612
0G3,9.1,3,EC,10.462,-0.613231
3K1,9.01,3,EC,11.514999,0.22257125
0G3,9.1,3,EC,11.543,0.1685515
43N,17.0,3,EC,9.207999,-1.9116076
4S3,3.18,3,EC,11.508,0.16140966
6L4,8.2,3,EC,11.603,0.097773746
8I6,9.9,3,EC,10.247,-1.0103154
2F2,11.04,3,EC,10.571,-0.5785792
0G3,9.1,3,EC,9.078,-1.7373192
5H6,11.03,3,EC,10.956,-0.2835297
2I1,10.27,3,EC,9.879,-1.3836476
2F2,11.04,3,EC,10.7,-0.3954372
3E4,11.99,3,EC,9.245,-2.079325
8I6,9.9,3,EC,10.362,-0.71636695
2F2,11.04,3,EC,11.0529995,-0.42640418
