animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
56R,14.95,3,MB,14.764,2.5634658
3T5,5.12,3,MB,12.051,0.4634383
43N,17.0,3,MB,14.022,1.8779448
56R,14.95,3,MB,12.334999,0.63115704
97R,17.93,3,MB,9.588,-1.3452333
0B9,12.11,3,MB,10.786,-0.43090564
3E4,11.99,3,MB,13.236,1.3717023
0G3,9.1,3,MB,9.483999,-1.6304264
8I6,9.9,3,MB,12.526999,0.7359431
3R7,3.32,3,MB,10.129999,-0.92081076
4Q6,3.22,3,MB,12.235,0.6868941
1P5,6.21,3,MB,10.966,-0.40035626
91O,15.86,3,MB,10.045,-0.94357365
6L4,8.2,3,MB,13.506999,1.360655
56R,14.95,3,MB,12.4,0.66675067
43N,17.0,3,MB,11.117,-0.12850223
1L1,8.17,3,MB,13.412,1.3545051
43N,17.0,3,MB,9.892,-1.2256835
0B9,12.11,3,MB,10.847,-0.5704614
0B9,12.11,3,MB,11.705999,0.13637766
8I6,9.9,3,MB,13.994,1.8604589
43N,17.0,3,MB,11.078,-0.33417484
0B9,12.11,3,MB,12.082999,0.44410324
0B9,12.11,3,MB,11.535,0.11068049
0B9,12.11,3,MB,14.608,2.238267
8C9,12.12,3,MB,13.992,2.134459
3E4,11.99,3,MB,7.512,-2.727207
50P,15.59,3,MB,12.301001,0.6094134
91O,15.86,3,MB,13.242,1.5675955
91O,15.86,3,MB,11.649,0.33918628
5H6,11.03,3,MB,10.353999,-0.66650784
41N,16.74,3,MB,11.525,0.042746186
0B9,12.11,3,MB,14.108999,1.9332911
8I6,9.9,3,MB,11.236,-0.17865889
3R7,3.32,3,MB,15.286,2.6336093
0G3,9.1,3,MB,13.967,1.8092966
56R,14.95,3,MB,14.116,2.1758347
0G3,9.1,3,MB,12.425,0.8573955
43N,17.0,3,MB,11.084001,-0.34400606
1L1,8.17,3,MB,12.93,1.0039704
56R,14.95,3,MB,13.336,1.5640261
56R,14.95,3,MB,12.207,0.5369641
8M0,8.12,3,MB,10.289999,-0.8254555
43N,17.0,3,MB,12.751999,0.9740924
56R,14.95,3,MB,14.172,1.975249
43N,17.0,3,MB,12.055,0.40259674
0B9,12.11,3,MB,11.432,-0.03422868
37V,15.07,3,MB,13.839999,1.8128295
56R,14.95,3,MB,15.482,2.803159
2T6,5.18,3,MB,13.517,1.5066142
1P5,6.21,3,MB,8.374,-2.4109964
8I6,9.9,3,MB,12.643,0.9390876
3R7,3.32,3,MB,11.219,-0.19559574
8M0,8.12,3,MB,12.99,1.4820762
0B9,12.11,3,MB,12.606,0.69983363
5R4,6.25,3,MB,11.705999,0.2626042
41N,16.74,3,MB,11.893,0.34595245
8M0,8.12,3,MB,12.39,0.8500769
8M0,8.12,3,MB,11.532,0.10627998
0B9,12.11,3,MB,11.535001,0.05546624
4Q6,3.22,3,MB,8.98,-1.7159309
43N,17.0,3,MB,14.389,2.2637014
2C6,14.03,3,MB,12.826999,1.1469568
8M0,8.12,3,MB,12.531,0.70841897
8B3,13.09,3,MB,10.878,-0.4067785
0B9,12.11,3,MB,15.389,3.3058176
43N,17.0,3,MB,12.609999,0.6917757
56R,14.95,3,MB,13.307001,1.3733882
5H6,11.03,3,MB,13.214999,1.221253
2Q0,3.21,3,MB,12.747,1.0824099
8C9,12.12,3,MB,12.051001,0.47920698
3E4,11.99,3,MB,12.509,0.83552027
8I6,9.9,3,MB,13.907001,1.8802522
50P,15.59,3,MB,12.358,0.5089132
6O7,6.03,3,MB,8.999001,-1.8011166
56R,14.95,3,MB,14.233999,1.9248455
8M0,8.12,3,MB,11.247,-0.07424955
3T5,5.12,3,MB,13.406,1.4645039
2T6,5.18,3,MB,13.306,1.4451796
1G8,7.88,3,MB,8.795,-2.1096263
1G8,7.88,3,MB,7.3050003,-2.9027045
97R,17.93,3,MB,13.724001,1.8838905
2Q0,3.21,3,MB,10.149,-1.027133
4S3,3.18,3,MB,10.595999,-0.63469493
1G8,7.88,3,MB,8.471,-2.0175235
3T5,5.12,3,MB,12.351,0.6654365
7M4,8.15,3,MB,12.816999,1.1828903
1G8,7.88,3,MB,12.456,0.7004475
8M0,8.12,3,MB,10.49,-0.6393964
1L1,8.17,3,MB,12.452,0.8719698
8C9,12.12,3,MB,13.717,1.5808612
8I6,9.9,3,MB,13.990001,2.0024574
4S3,3.18,3,MB,12.712,1.0293753
8M0,8.12,3,MB,13.293001,1.4208428
56R,14.95,3,MB,13.327001,1.4055047
98V,16.03,3,MB,12.763,1.1211376
4Q6,3.22,3,MB,10.071,-0.9781082
6L4,8.2,3,MB,12.913,1.0677116
1L1,8.17,3,MB,9.554,-1.4324976
56R,14.95,3,MB,13.407999,1.4627963
1G8,7.88,3,MB,10.747999,-0.50631624
1L1,8.17,3,MB,11.815,0.3352259
3T5,5.12,3,MB,13.817999,1.7780646
5H6,11.03,3,MB,10.14,-0.8036609
8M0,8.12,3,MB,9.936001,-0.9622315
56R,14.95,3,MB,12.159,0.47606263
8C9,12.12,3,MB,11.361,-0.19159597
43N,17.0,3,MB,14.158999,1.6921489
6D9,13.11,3,MB,13.314,1.266395
97R,17.93,3,MB,13.982999,1.831535
5H6,11.03,3,MB,10.7369995,-0.45246527
37V,15.07,3,MB,11.139001,-0.32560748
56R,14.95,3,MB,14.368001,2.1945195
5H6,11.03,3,MB,8.17,-2.2706087
6L4,8.2,3,MB,12.599001,0.8493049
8C9,12.12,3,MB,11.948,0.2516833
3E4,11.99,3,MB,11.518,-0.0823627
8I6,9.9,3,MB,11.653,0.25249827
97R,17.93,3,MB,10.373,-0.81528175
0B9,12.11,3,MB,12.356999,0.74707156
56R,14.95,3,MB,11.197,-0.07679109
91O,15.86,3,MB,9.118001,-1.7150327
43N,17.0,3,MB,13.988001,1.6292846
43N,17.0,3,MB,8.422999,-2.2972765
8M0,8.12,3,MB,14.604999,2.4163644
4Q6,3.22,3,MB,10.985999,-0.41121104
0B9,12.11,3,MB,12.497,0.9776207
8C9,12.12,3,MB,11.974,0.43855184
56R,14.95,3,MB,10.788,-0.48515123
5H6,11.03,3,MB,12.1119995,0.51137966
