animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
56R,14.95,3,NAc,11.368,-0.24739493
56R,14.95,3,NAc,11.658999,-0.014226261
3D1,13.11,3,NAc,10.184,-1.3120434
3T5,5.12,3,NAc,14.653999,2.3438501
0B9,12.11,3,NAc,11.401,-0.103686094
2C6,14.03,3,NAc,15.108,2.3216548
3E4,11.99,3,NAc,6.318,-3.908831
37V,15.07,3,NAc,12.525001,0.4739462
56R,14.95,3,NAc,9.22,-1.9001628
56R,14.95,3,NAc,11.42,-0.11549777
97R,17.93,3,NAc,11.848,0.14694248
77V,16.15,3,NAc,11.337,-0.034498796
0G3,9.1,3,NAc,13.167999,1.0666097
1T9,4.11,3,NAc,10.846999,-0.36647353
2C6,14.03,3,NAc,14.847,2.6905386
0G3,9.1,3,NAc,11.913,0.10305776
0G3,9.1,3,NAc,9.938,-1.1017406
8M0,8.12,3,NAc,10.772,-0.41821137
8M0,8.12,3,NAc,8.128,-2.3649125
56R,14.95,3,NAc,10.971001,-0.48936987
7M4,8.15,3,NAc,10.195,-0.9882461
8B3,13.09,3,NAc,12.667,0.78081053
2I1,10.27,3,NAc,12.068,0.4497148
0G3,9.1,3,NAc,10.948999,-0.52399224
56K,19.93,3,NAc,12.580999,0.77481365
8M0,8.12,3,NAc,11.545,-0.026453063
3K1,9.01,3,NAc,12.183001,0.20316002
6O7,6.03,3,NAc,9.2699995,-1.9282223
2I1,10.27,3,NAc,11.155001,-0.32956642
77V,16.15,3,NAc,11.837,0.2625626
0G3,9.1,3,NAc,13.113001,1.0345014
56K,19.93,3,NAc,9.407,-1.5492271
3R7,3.32,3,NAc,10.966001,-0.56874514
3R7,3.32,3,NAc,9.773001,-1.3614923
8M0,8.12,3,NAc,11.5529995,-0.11865006
98V,16.03,3,NAc,13.65,1.4369129
0G3,9.1,3,NAc,10.0060005,-1.2047782
0G3,9.1,3,NAc,12.471,0.65299016
0G3,9.1,3,NAc,8.409,-2.4752698
56K,19.93,3,NAc,12.479001,0.48801553
0B9,12.11,3,NAc,13.966001,1.6650938
98V,16.03,3,NAc,13.568001,1.4500475
1T9,4.11,3,NAc,13.133,1.1001428
56R,14.95,3,NAc,13.511,1.5151048
3D1,13.11,3,NAc,11.182001,-0.1921791
43N,17.0,3,NAc,10.499,-0.8651034
91O,15.86,3,NAc,11.464,-0.121276416
8B3,13.09,3,NAc,10.451,-0.8088746
0G3,9.1,3,NAc,9.522,-1.4188497
8M0,8.12,3,NAc,9.521999,-1.5983704
2T2,4.09,3,NAc,8.425,-2.2818346
43N,17.0,3,NAc,12.152,0.33428407
8M0,8.12,3,NAc,8.518,-2.153702
50P,15.59,3,NAc,15.339999,2.6636775
77V,16.15,3,NAc,12.459,0.47244793
56R,14.95,3,NAc,11.561,-0.09129296
98V,16.03,3,NAc,12.648999,0.71518266
6L4,8.2,3,NAc,9.474001,-1.4670445
0G3,9.1,3,NAc,12.089999,0.27399877
0G3,9.1,3,NAc,9.009001,-1.934113
98V,16.03,3,NAc,12.233,0.335548
97R,17.93,3,NAc,11.173,-0.13013494
0G3,9.1,3,NAc,12.287001,0.6354446
43N,17.0,3,NAc,8.397,-2.1889167
43N,17.0,3,NAc,9.471,-1.5673373
56R,14.95,3,NAc,11.121,-0.40031207
56R,14.95,3,NAc,13.540998,1.4804833
0G3,9.1,3,NAc,13.393,1.3354357
7M4,8.15,3,NAc,12.481,0.648947
0B9,12.11,3,NAc,11.856,0.17776324
0B9,12.11,3,NAc,11.483,-0.15454091
98V,16.03,3,NAc,8.703001,-2.115342
77V,16.15,3,NAc,13.349001,1.3081161
8C9,12.12,3,NAc,12.486,0.71512437
56R,14.95,3,NAc,12.826999,0.74143654
3D1,13.11,3,NAc,12.636999,0.70837975
42T,15.96,3,NAc,12.978,0.93004674
46Z,13.97,3,NAc,12.33,0.5589865
8M0,8.12,3,NAc,10.690001,-0.78342664
8B3,13.09,3,NAc,10.042001,-1.0358114
1L1,8.17,3,NAc,10.582999,-0.72102374
56K,19.93,3,NAc,13.341001,1.234549
8M0,8.12,3,NAc,8.125001,-2.1364086
41N,16.74,3,NAc,12.565,0.8618899
8M0,8.12,3,NAc,8.4,-2.377897
91O,15.86,3,NAc,9.887001,-1.2563069
8I6,9.9,3,NAc,12.545,0.6719905
8I6,9.9,3,NAc,10.474001,-0.6440792
7M4,8.15,3,NAc,13.834002,1.4552323
8M0,8.12,3,NAc,11.213,-0.32902882
7F0,11.2,3,NAc,12.240999,0.57781595
8M0,8.12,3,NAc,12.653001,0.68041384
98V,16.03,3,NAc,13.742002,1.2926837
50P,15.59,3,NAc,10.198,-0.7786771
56K,19.93,3,NAc,9.282,-1.6165687
4S3,3.18,3,NAc,13.413,1.1972984
0G3,9.1,3,NAc,12.652,0.9606915
74K,20.81,3,NAc,8.4140005,-2.162305
8I6,9.9,3,NAc,11.0130005,-0.42032218
8M0,8.12,3,NAc,10.471,-0.95039046
56R,14.95,3,NAc,12.418001,0.75415534
98V,16.03,3,NAc,10.778001,-0.53453416
50P,15.59,3,NAc,11.283999,-0.17888992
46Z,13.97,3,NAc,7.3280005,-3.1012375
0B9,12.11,3,NAc,10.379,-1.155326
37V,15.07,3,NAc,11.566999,-0.18790759
56R,14.95,3,NAc,13.222,1.0369859
56R,14.95,3,NAc,11.924,0.13083972
8C9,12.12,3,NAc,13.643001,1.4269574
8B3,13.09,3,NAc,14.122999,1.8675004
3K1,9.01,3,NAc,12.960001,0.9575068
0B9,12.11,3,NAc,13.881,2.0172112
8C9,12.12,3,NAc,13.039999,1.1580962
8M0,8.12,3,NAc,9.968,-1.4070666
56R,14.95,3,NAc,14.217999,1.7772317
98V,16.03,3,NAc,10.472,-0.8475365
98V,16.03,3,NAc,14.191999,1.828562
0G3,9.1,3,NAc,11.156,-0.4262153
8M0,8.12,3,NAc,10.085001,-1.1659299
8M0,8.12,3,NAc,9.542,-1.6024425
8M0,8.12,3,NAc,10.295,-1.0561398
4Q6,3.22,3,NAc,9.028,-1.7270759
1T9,4.11,3,NAc,12.729,0.64521825
8M0,8.12,3,NAc,10.458,-0.968804
3T5,5.12,3,NAc,11.164,-0.39324966
98V,16.03,3,NAc,11.986,-0.054064717
77V,16.15,3,NAc,13.386999,1.1681879
43N,17.0,3,NAc,12.606,0.74172455
8C9,12.12,3,NAc,11.464,-0.19213215
3K1,9.01,3,NAc,11.805,0.16009559
98V,16.03,3,NAc,14.143001,1.4208746
6L4,8.2,3,NAc,12.565001,0.6335977
8M0,8.12,3,NAc,12.702999,0.59741503
0G3,9.1,3,NAc,12.962,1.0642276
8C9,12.12,3,NAc,14.728,2.2162843
8M0,8.12,3,NAc,8.193001,-2.5009065
98V,16.03,3,NAc,8.862001,-2.0980954
2T2,4.09,3,NAc,12.464,0.56869555
43N,17.0,3,NAc,7.5269995,-2.9532938
43N,17.0,3,NAc,12.4800005,0.5466941
1T9,4.11,3,NAc,11.004,-0.46568063
2C6,14.03,3,NAc,14.442999,1.7022166
3E4,11.99,3,NAc,13.037,0.9777953
37V,15.07,3,NAc,8.778001,-2.220051
98V,16.03,3,NAc,12.632001,0.74472356
8B3,13.09,3,NAc,10.83,-0.77688897
41N,16.74,3,NAc,12.650999,0.7798194
98V,16.03,3,NAc,12.17,0.38053375
98V,16.03,3,NAc,13.436,1.190821
8B3,13.09,3,NAc,8.461,-2.391606
2I1,10.27,3,NAc,10.900001,-0.5625599
0B9,12.11,3,NAc,11.536001,0.014265437
8M0,8.12,3,NAc,9.975,-1.2502096
2I1,10.27,3,NAc,11.646,-0.1865489
0B9,12.11,3,NAc,11.643,0.17570342
2S6,3.17,3,NAc,11.206,-0.28670344
98V,16.03,3,NAc,11.968,0.32129726
43N,17.0,3,NAc,12.566,0.5774972
3R7,3.32,3,NAc,8.7039995,-1.9413956
3K1,9.01,3,NAc,10.544001,-0.71224225
2I1,10.27,3,NAc,11.965,0.34309468
0G3,9.1,3,NAc,12.762,0.7940058
1T9,4.11,3,NAc,7.542,-2.6045578
43N,17.0,3,NAc,11.523,-0.25706512
43N,17.0,3,NAc,14.547,2.0721571
46Z,13.97,3,NAc,12.579,0.77426946
8M0,8.12,3,NAc,10.26,-0.86692023
8M0,8.12,3,NAc,10.1970005,-1.1114982
8M0,8.12,3,NAc,12.302,0.52922726
56R,14.95,3,NAc,12.153999,0.512798
3T5,5.12,3,NAc,9.361001,-1.5435808
98V,16.03,3,NAc,12.359,0.6519483
43N,17.0,3,NAc,11.575001,-0.004246439
8M0,8.12,3,NAc,10.177,-1.0254709
