animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
4J6,7.15,5,CN,11.732,0.8311319
8C9,12.12,5,CN,10.778,0.6601667
4J6,7.15,5,CN,11.856001,1.4137334
2T6,5.18,5,CN,11.546999,1.119546
74K,20.81,5,CN,12.712,1.9718486
5H6,11.03,5,CN,7.2860003,-1.3142276
74K,20.81,5,CN,13.221998,2.0910215
1T9,4.11,5,CN,7.424,-1.4103197
77V,16.15,5,CN,8.497,-0.74022704
82V,16.01,5,CN,8.535001,-0.84980303
2S2,6.31,5,CN,6.618,-1.8912027
3T5,5.12,5,CN,9.204,-0.37234116
98V,16.03,5,CN,13.0130005,2.1192186
2T6,5.18,5,CN,9.983999,0.27130863
1T9,4.11,5,CN,5.422,-2.7422948
77V,16.15,5,CN,6.578,-2.2185075
2C6,14.03,5,CN,12.794001,1.4680146
2T2,4.09,5,CN,9.072,-0.4586907
2T6,5.18,5,CN,8.91,-0.437191
7F0,11.2,5,CN,11.615,1.0437113
2S2,6.31,5,CN,6.3609996,-2.5504897
2T6,5.18,5,CN,8.943,-0.577204
1P5,6.21,5,CN,11.156,0.7376133
31S,17.0,5,CN,11.316999,0.73332626
4J6,7.15,5,CN,10.283,0.35459515
2T6,5.18,5,CN,9.448999,-0.24632359
46Z,13.97,5,CN,9.76,-0.10722232
2T6,5.18,5,CN,10.278,0.055469964
2T6,5.18,5,CN,12.448999,1.620748
1V8,4.31,5,CN,9.380999,-0.39303458
56K,19.93,5,CN,10.564,0.56587195
8I6,9.9,5,CN,9.220999,-0.34134698
1G8,7.88,5,CN,7.7350006,-1.2951922
42T,15.96,5,CN,10.959,0.5691271
2S6,3.17,5,CN,6.69,-2.1489599
98V,16.03,5,CN,9.119,-0.29334804
2C6,14.03,5,CN,10.6970005,0.53951854
6O7,6.03,5,CN,12.914999,1.8878108
3T5,5.12,5,CN,8.625001,-0.58254176
98V,16.03,5,CN,11.161,0.8466192
8B3,13.09,5,CN,10.136999,0.18883936
56K,19.93,5,CN,7.8580003,-1.0168939
7M4,8.15,5,CN,10.835001,0.5043098
46Z,13.97,5,CN,12.915001,1.8975838
1T9,4.11,5,CN,10.862,0.7249917
7F0,11.2,5,CN,9.889,-0.010562638
8I6,9.9,5,CN,12.826001,2.020725
2T6,5.18,5,CN,10.007999,0.052462954
2T6,5.18,5,CN,11.863001,1.049758
2Q0,3.21,5,CN,6.692,-2.188707
3D1,13.11,5,CN,13.108,2.0080683
7M4,8.15,5,CN,11.525999,1.1167163
74K,20.81,5,CN,12.296999,1.4235392
4Q6,3.22,5,CN,8.703,-0.83334786
46Z,13.97,5,CN,9.740999,-0.18268089
31S,17.0,5,CN,11.517,1.0003513
8C9,12.12,5,CN,10.467,0.30310196
8I6,9.9,5,CN,10.675,0.32375184
74K,20.81,5,CN,9.6970005,-0.23168874
2T2,4.09,5,CN,9.887,0.005513558
42T,15.96,5,CN,10.881,0.6758645
8B3,13.09,5,CN,10.789,0.61362725
46Z,13.97,5,CN,11.066,0.6505181
82V,16.01,5,CN,9.969999,0.07356838
2C6,14.03,5,CN,10.561,0.4905379
2T6,5.18,5,CN,14.021998,2.1346042
8I6,9.9,5,CN,12.817999,1.6375693
46Z,13.97,5,CN,7.692,-1.1726924
5H6,11.03,5,CN,7.4369993,-1.5359324
2T6,5.18,5,CN,14.206999,2.8591027
2T6,5.18,5,CN,10.835,0.9108139
77V,16.15,5,CN,12.225,1.5668347
8H2,10.13,5,CN,8.0199995,-1.0576509
2T2,4.09,5,CN,8.617001,-0.7793313
1L1,8.17,5,CN,10.459,0.34456196
2Q0,3.21,5,CN,9.273999,-0.24228017
2T6,5.18,5,CN,13.934,2.4730368
4Q6,3.22,5,CN,6.7419996,-1.8923137
3E4,11.99,5,CN,7.032,-1.7393695
3T5,5.12,5,CN,12.15,1.2390935
2T6,5.18,5,CN,11.662,1.1181141
2T6,5.18,5,CN,10.85,0.5647381
4Q6,3.22,5,CN,5.0230002,-3.2572343
1V8,4.31,5,CN,15.943001,3.9785376
8B3,13.09,5,CN,9.214999,-0.3190452
46Z,13.97,5,CN,11.323999,0.9448333
1L1,8.17,5,CN,11.92,1.0575277
3D1,13.11,5,CN,13.316999,1.9282225
2T6,5.18,5,CN,6.8450003,-1.524814
56K,19.93,5,CN,9.556,-0.18676475
2Q0,3.21,5,CN,9.146,-0.41595966
7M4,8.15,5,CN,12.497999,1.5463939
46Z,13.97,5,CN,13.824,2.3087711
46Z,13.97,5,CN,14.7300005,2.890505
82V,16.01,5,CN,10.561,0.4346473
56K,19.93,5,CN,12.337,1.5032853
8B3,13.09,5,CN,8.194,-0.91611594
6O7,6.03,5,CN,10.243,0.27683756
1T9,4.11,5,CN,7.648,-1.4300308
1T9,4.11,5,CN,8.824999,-0.6883387
8I6,9.9,5,CN,13.489,2.1034799
74K,20.81,5,CN,13.298999,2.2730525
74K,20.81,5,CN,12.252,1.361266
2S6,3.17,5,CN,7.431999,-1.4824892
3D1,13.11,5,CN,10.035001,0.06979678
46Z,13.97,5,CN,9.1310005,-0.5430565
1L1,8.17,5,CN,13.856,2.4159663
8C9,12.12,5,CN,11.093,0.9200885
55R,14.97,5,CN,7.331,-1.4395552
2V1,4.3,5,CN,11.849999,1.1115766
56K,19.93,5,CN,15.615,3.6318634
1T9,4.11,5,CN,11.355,0.99696076
55R,14.97,5,CN,8.976,-0.47095472
2T6,5.18,5,CN,11.245,0.85540503
1L1,8.17,5,CN,11.655,0.9001197
1T9,4.11,5,CN,6.776,-1.8349012
8C9,12.12,5,CN,13.403999,2.1144736
8C9,12.12,5,CN,11.192,1.0173565
2T6,5.18,5,CN,9.263,-0.32257825
46Z,13.97,5,CN,13.405001,2.0949357
1L1,8.17,5,CN,12.953,1.7775428
8C9,12.12,5,CN,9.111,-0.34200346
3T5,5.12,5,CN,6.4479995,-2.1199696
2T6,5.18,5,CN,8.583,-0.6147153
6L4,8.2,5,CN,8.752001,-0.59580344
1V8,4.31,5,CN,6.1109996,-2.1401136
74K,20.81,5,CN,8.003,-0.99299705
46Z,13.97,5,CN,11.076,0.80504626
1L1,8.17,5,CN,11.696,1.0355467
1T9,4.11,5,CN,11.361,1.0455518
2Q0,3.21,5,CN,12.373999,1.614384
1V8,4.31,5,CN,4.6990004,-2.9649498
