animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
7M4,8.15,5,mdTN,11.202001,0.84719956
3D1,13.11,5,mdTN,13.2699995,1.9615791
1G8,7.88,5,mdTN,7.71,-1.2830746
2T6,5.18,5,mdTN,7.1419997,-1.7095187
74K,20.81,5,mdTN,14.287999,2.4581416
43N,17.0,5,mdTN,12.530999,1.6017565
8M0,8.12,5,mdTN,12.462,1.1886185
56K,19.93,5,mdTN,14.533999,2.700511
1G8,7.88,5,mdTN,10.502,0.38699666
1P5,6.21,5,mdTN,9.215,-0.26665244
98V,16.03,5,mdTN,11.396999,0.92151827
5R4,6.25,5,mdTN,9.229,-0.46883208
37V,15.07,5,mdTN,11.421,0.70935875
2T6,5.18,5,mdTN,11.078001,0.6879154
3T5,5.12,5,mdTN,13.233,1.8582169
3T5,5.12,5,mdTN,14.108999,2.3456411
7M4,8.15,5,mdTN,10.968,0.54304844
7F0,11.2,5,mdTN,10.551001,0.38183454
2S2,6.31,5,mdTN,10.268,0.10198146
8B3,13.09,5,mdTN,10.056,-0.06606203
2T6,5.18,5,mdTN,6.362,-2.61066
37V,15.07,5,mdTN,8.679001,-0.5434476
1G8,7.88,5,mdTN,12.779,1.5630171
98V,16.03,5,mdTN,12.507,1.4967378
7M4,8.15,5,mdTN,9.445,-0.2813977
2T6,5.18,5,mdTN,6.9539995,-1.8371174
1G8,7.88,5,mdTN,7.4,-1.4590366
2T6,5.18,5,mdTN,11.623999,1.0128949
1V8,4.31,5,mdTN,7.6260004,-1.2961273
56K,19.93,5,mdTN,10.624,0.48359093
2T6,5.18,5,mdTN,11.046,0.81750697
4Q6,3.22,5,mdTN,6.077,-2.2034552
56K,19.93,5,mdTN,10.036,0.0985105
7M4,8.15,5,mdTN,7.4270005,-1.4793184
1V8,4.31,5,mdTN,7.8270006,-1.2579046
8M0,8.12,5,mdTN,10.156,0.029530704
2T6,5.18,5,mdTN,5.18,-2.655913
1P5,6.21,5,mdTN,9.831,-0.11004711
6D9,13.11,5,mdTN,10.062,-0.11082804
2T6,5.18,5,mdTN,10.455999,0.41556668
1P5,6.21,5,mdTN,8.017,-1.0866209
2S2,6.31,5,mdTN,9.587999,-0.23150441
1G8,7.88,5,mdTN,7.894,-1.1516135
42T,15.96,5,mdTN,8.627,-0.7443111
2T6,5.18,5,mdTN,6.6549997,-1.8150017
2T6,5.18,5,mdTN,11.455,0.6023162
2T2,4.09,5,mdTN,7.771001,-1.2329639
1G8,7.88,5,mdTN,9.448999,-0.34688708
3T5,5.12,5,mdTN,12.203001,1.3110192
7F0,11.2,5,mdTN,10.492,0.12318202
74K,20.81,5,mdTN,16.060999,3.7680724
74K,20.81,5,mdTN,10.748,0.60779953
8B3,13.09,5,mdTN,10.622,0.29232013
56K,19.93,5,mdTN,7.8020005,-1.3587888
8C9,12.12,5,mdTN,14.316,2.23953
1T9,4.11,5,mdTN,6.4390006,-1.984564
2T6,5.18,5,mdTN,7.792001,-1.0439501
2I1,10.27,5,mdTN,8.397,-0.90824217
74K,20.81,5,mdTN,8.726,-0.665518
6O7,6.03,5,mdTN,7.993,-1.0401353
3T5,5.12,5,mdTN,12.336,1.1272185
3T5,5.12,5,mdTN,11.262,0.844159
2T2,4.09,5,mdTN,10.667,0.28159133
8B3,13.09,5,mdTN,8.656,-0.7324437
31S,17.0,5,mdTN,11.674,1.1234912
31S,17.0,5,mdTN,6.5379996,-2.2098725
74K,20.81,5,mdTN,12.667,1.3737663
82V,16.01,5,mdTN,10.726,0.4116983
1T9,4.11,5,mdTN,11.529,0.7639927
2T6,5.18,5,mdTN,6.707,-1.854307
46Z,13.97,5,mdTN,11.0,0.66404825
2T6,5.18,5,mdTN,6.315,-2.261251
2T2,4.09,5,mdTN,8.781,-0.75013053
6L4,8.2,5,mdTN,8.3220005,-0.8238283
1T9,4.11,5,mdTN,8.571,-0.93636876
1T9,4.11,5,mdTN,10.514,0.417893
8H2,10.13,5,mdTN,10.771001,0.516844
1V8,4.31,5,mdTN,9.149,-0.59501445
8C9,12.12,5,mdTN,8.707,-0.7911134
3T5,5.12,5,mdTN,9.804,-0.061367273
1G8,7.88,5,mdTN,9.221999,-0.30843166
56K,19.93,5,mdTN,10.454,0.19306533
6O7,6.03,5,mdTN,7.718,-1.2442272
55R,14.97,5,mdTN,9.027999,-0.54433393
46Z,13.97,5,mdTN,10.962,0.65566134
41N,16.74,5,mdTN,10.3359995,0.18267079
6O7,6.03,5,mdTN,8.591,-0.93864447
4Q6,3.22,5,mdTN,9.772,-0.15439378
41N,16.74,5,mdTN,7.5,-1.6754674
5R4,6.25,5,mdTN,11.494,0.8711168
1P5,6.21,5,mdTN,7.225,-1.968566
6O7,6.03,5,mdTN,6.6150002,-2.0838888
1V8,4.31,5,mdTN,10.066,0.03962387
8C9,12.12,5,mdTN,7.075,-1.667395
2T2,4.09,5,mdTN,8.077001,-1.0677072
2T6,5.18,5,mdTN,6.9229994,-1.6490566
2T6,5.18,5,mdTN,7.025,-1.6070311
1G8,7.88,5,mdTN,6.55,-2.1234941
7M4,8.15,5,mdTN,10.13,0.059195127
2V1,4.3,5,mdTN,8.746,-0.7051681
2C6,14.03,5,mdTN,7.321,-1.7599732
2T6,5.18,5,mdTN,11.486,1.1766514
1V8,4.31,5,mdTN,8.226,-1.1992042
77V,16.15,5,mdTN,9.3550005,-0.4091531
8C9,12.12,5,mdTN,9.453,-0.35990116
6O7,6.03,5,mdTN,9.058,-0.6000443
3D1,13.11,5,mdTN,10.258,0.19066764
2V1,4.3,5,mdTN,10.4210005,0.21092321
2V1,4.3,5,mdTN,10.384001,0.2464575
74K,20.81,5,mdTN,10.884001,0.62713784
8C9,12.12,5,mdTN,12.466001,1.1971385
1G8,7.88,5,mdTN,7.63,-1.2971896
56K,19.93,5,mdTN,8.365999,-1.0850605
56K,19.93,5,mdTN,8.196001,-1.0802785
3K1,9.01,5,mdTN,8.237,-0.91452473
7M4,8.15,5,mdTN,9.61,-0.36299157
2I1,10.27,5,mdTN,10.404001,0.2680504
37V,15.07,5,mdTN,8.83,-0.7192212
8H2,10.13,5,mdTN,11.7839985,1.1243894
5R4,6.25,5,mdTN,10.754001,0.5084289
6O7,6.03,5,mdTN,8.58,-0.7772665
3T5,5.12,5,mdTN,9.709,-0.19878133
56K,19.93,5,mdTN,11.304,0.6915705
37V,15.07,5,mdTN,13.443001,2.0187602
2T2,4.09,5,mdTN,7.967,-1.2569349
8B3,13.09,5,mdTN,6.6660004,-1.9406707
3E4,11.99,5,mdTN,8.922,-0.42926627
37V,15.07,5,mdTN,15.898001,3.2339518
37V,15.07,5,mdTN,15.065,2.6867058
6D9,13.11,5,mdTN,6.496,-1.9330701
56K,19.93,5,mdTN,9.368001,-0.3052544
6L4,8.2,5,mdTN,9.989,0.1334866
43N,17.0,5,mdTN,12.436,1.3816341
8C9,12.12,5,mdTN,7.6520004,-1.313823
82V,16.01,5,mdTN,8.746,-0.7766228
37V,15.07,5,mdTN,8.789,-0.681063
31S,17.0,5,mdTN,11.944,1.0901963
6L4,8.2,5,mdTN,7.4900002,-1.2842872
2T6,5.18,5,mdTN,8.395,-0.82266724
3T5,5.12,5,mdTN,7.974,-1.1988716
77V,16.15,5,mdTN,10.74,0.39713565
7M4,8.15,5,mdTN,10.271,0.26613355
1G8,7.88,5,mdTN,8.795,-0.7132907
56K,19.93,5,mdTN,10.115,0.23051684
2T2,4.09,5,mdTN,6.505,-2.0212233
2T6,5.18,5,mdTN,6.7170005,-1.8066046
56K,19.93,5,mdTN,13.445,1.9638896
6O7,6.03,5,mdTN,10.870001,0.32366928
4S3,3.18,5,mdTN,9.654,-0.31485924
2T6,5.18,5,mdTN,9.669,-0.23849826
43N,17.0,5,mdTN,11.800001,0.98827547
2Q0,3.21,5,mdTN,7.204001,-1.4739807
1G8,7.88,5,mdTN,11.831999,1.0307755
8B3,13.09,5,mdTN,9.178,-0.26306722
7F0,11.2,5,mdTN,9.415999,-0.3273682
56K,19.93,5,mdTN,9.243,-0.2573339
56K,19.93,5,mdTN,9.713,-0.27545807
2T6,5.18,5,mdTN,8.7699995,-0.45497024
74K,20.81,5,mdTN,9.504,-0.3449686
42T,15.96,5,mdTN,10.092999,-0.015416894
4J6,7.15,5,mdTN,10.973001,0.5000178
4Q6,3.22,5,mdTN,11.4539995,0.6728558
3E4,11.99,5,mdTN,8.264999,-1.1290679
74K,20.81,5,mdTN,16.161999,3.1555517
1P5,6.21,5,mdTN,10.698,0.48255286
2T6,5.18,5,mdTN,6.564,-1.56261
2T6,5.18,5,mdTN,9.162,-0.6614569
2T2,4.09,5,mdTN,7.7939997,-1.1122994
3T5,5.12,5,mdTN,11.898,0.9106626
8C9,12.12,5,mdTN,11.063,0.61170095
41N,16.74,5,mdTN,9.2699995,-0.34406295
8B3,13.09,5,mdTN,10.335,0.20026948
2T6,5.18,5,mdTN,9.775999,0.07129138
37V,15.07,5,mdTN,12.549,1.6435387
5R4,6.25,5,mdTN,11.973001,1.106493
8B3,13.09,5,mdTN,9.962,0.028202463
2T6,5.18,5,mdTN,9.368,-0.44738907
5R4,6.25,5,mdTN,10.0199995,-0.026343668
3E4,11.99,5,mdTN,9.587999,-0.2367232
4S3,3.18,5,mdTN,6.503,-1.8948619
2F2,11.04,5,mdTN,11.176999,0.743665
2S2,6.31,5,mdTN,8.751,-0.69410783
7M4,8.15,5,mdTN,9.492,-0.22355966
8I6,9.9,5,mdTN,13.059999,1.9196949
6D9,13.11,5,mdTN,8.403,-1.0341758
