animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
0B9,12.11,9,HIP,11.667001,0.9852518
98V,16.03,9,HIP,10.321001,0.06378157
46Z,13.97,9,HIP,10.348001,0.11513683
3E4,11.99,9,HIP,13.4279995,1.9337797
3D1,13.11,9,HIP,9.566999,-0.2585344
8I6,9.9,9,HIP,10.103,-0.16110592
7M4,8.15,9,HIP,8.815001,-0.78788006
2T2,4.09,9,HIP,9.968,-0.27653366
4J6,7.15,9,HIP,10.1710005,-0.032176822
5R4,6.25,9,HIP,9.086,-0.78762764
4S3,3.18,9,HIP,14.423999,2.8097076
1L1,8.17,9,HIP,10.776999,0.3545833
3E4,11.99,9,HIP,14.069998,2.5709367
74K,20.81,9,HIP,10.119,-0.1207465
8C9,12.12,9,HIP,11.565001,0.95096797
3R7,3.32,9,HIP,9.235001,-0.99712574
1G8,7.88,9,HIP,14.289,2.6047628
56K,19.93,9,HIP,10.752,0.16395345
3R7,3.32,9,HIP,9.062999,-0.826863
77V,16.15,9,HIP,11.846,1.1596957
0G3,9.1,9,HIP,11.21,0.5855724
0B9,12.11,9,HIP,12.407001,1.2499793
42T,15.96,9,HIP,7.8760004,-1.5111104
4S3,3.18,9,HIP,11.427,0.97567385
8B3,13.09,9,HIP,10.493,0.31292036
3R7,3.32,9,HIP,8.639999,-1.0368084
37V,15.07,9,HIP,11.179,0.6039754
46Z,13.97,9,HIP,11.182,0.73512363
0B9,12.11,9,HIP,9.1,-0.6051811
8M0,8.12,9,HIP,9.967,-0.21693763
2S6,3.17,9,HIP,10.961,0.5446423
8M0,8.12,9,HIP,11.185,0.64794755
1L1,8.17,9,HIP,10.339,-0.034893516
8I6,9.9,9,HIP,10.481999,0.24117765
3K1,9.01,9,HIP,7.458,-1.7100556
1V8,4.31,9,HIP,11.648001,1.0749444
3D1,13.11,9,HIP,10.669,0.28013176
4J6,7.15,9,HIP,9.101,-0.5920532
77V,16.15,9,HIP,9.767,-0.3671579
2S6,3.17,9,HIP,10.051,-0.16227038
4Q6,3.22,9,HIP,10.032,-0.11125994
56K,19.93,9,HIP,12.815,1.6865381
2T2,4.09,9,HIP,11.976999,1.2623919
8I6,9.9,9,HIP,10.769,0.33274403
3T5,5.12,9,HIP,10.397,0.21123116
8I6,9.9,9,HIP,12.749001,1.536595
2S6,3.17,9,HIP,9.719999,-0.4947526
56K,19.93,9,HIP,10.493,0.07294142
55R,14.97,9,HIP,11.504001,0.7046042
4Q6,3.22,9,HIP,10.604001,0.3101746
5H6,11.03,9,HIP,11.773,0.94251215
2S6,3.17,9,HIP,10.398001,0.2311515
91O,15.86,9,HIP,7.9300003,-1.4517788
91O,15.86,9,HIP,10.83,0.4656324
56K,19.93,9,HIP,9.878,-0.2227042
3E4,11.99,9,HIP,11.869,1.1894469
3D1,13.11,9,HIP,11.328,0.5620774
8M0,8.12,9,HIP,8.309999,-1.3879193
5H6,11.03,9,HIP,13.018,2.0911121
43N,17.0,9,HIP,10.763999,0.259918
42T,15.96,9,HIP,10.044001,-0.28897935
46Z,13.97,9,HIP,8.886,-0.9297261
7F0,11.2,9,HIP,11.049,0.6148536
1P5,6.21,9,HIP,10.809999,0.20811951
6L4,8.2,9,HIP,11.464999,0.7736366
43N,17.0,9,HIP,8.236,-1.4192765
0G3,9.1,9,HIP,12.022,1.1620638
5H6,11.03,9,HIP,11.971,1.1846958
4J6,7.15,9,HIP,12.530001,1.3275146
