louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,1539,39,9.351090158219623,-0.041904206397335934,1.1469781961497976,0.3858,0.0153,0.376,0.0183
1,1702,46,8.868168036016451,0.03162558151117508,1.3160275417536078,0.3308,0.0247,0.3132,0.0341
2,491,33,10.799272812627292,0.04904106366995927,1.0961019589221317,0.1951,0.2765,0.1887,0.2931
3,959,42,10.721400334202295,0.13288289077422316,1.0224830275217178,0.3108,0.0451,0.2768,0.076
4,3501,39,13.28806792370751,0.18193883582986292,1.4300552636403472,0.1798,0.2734,0.1689,0.3041
5,1453,27,12.205812841431522,-0.015194948411328287,1.187156732662776,0.322,0.1014,0.2897,0.1427
6,7370,35,13.304635319877884,0.12961317055738467,1.8148796573465218,0.2442,0.1574,0.2565,0.137
7,4917,43,10.328429220418954,0.018120489109428508,1.1377071744045286,0.6139,0.0,0.6147,0.0
8,1055,43,10.13791933620853,-0.15279875999260664,1.2201814918474887,0.5723,0.0001,0.5838,0.0
10,1116,40,10.277457799462365,-0.07545413033763443,1.1350483542097585,0.3656,0.0203,0.3475,0.028
11,3765,38,9.518670104993358,-0.011642824721726432,1.1930097753339544,0.4854,0.002,0.4676,0.0031
12,746,22,11.036084375603219,0.035980019188297574,1.159479039679549,0.564,0.0063,0.5696,0.0057
13,5690,47,9.561607987135325,0.06697467032453075,1.1967476435540043,0.3356,0.0211,0.3024,0.0389
14,2756,38,12.119453782656024,0.07205617108134978,1.5015651577282647,0.6384,0.0,0.6483,0.0
15,704,42,8.727924646306818,0.11418472059985797,1.2934151334664388,0.4528,0.0026,0.4634,0.002
16,665,34,11.353771227518797,0.06483544205203008,1.575679600886649,0.0551,0.7571,0.0658,0.7116
17,892,40,10.877518938677131,0.05803858430235428,1.030457080329153,-0.1818,0.2615,-0.1545,0.3412
18,1592,32,10.081916435427136,0.09499103955527638,1.2253401454767803,0.1467,0.423,0.1017,0.5796
19,574,39,11.01815314651568,0.1931986483170732,1.7890470244738708,0.2099,0.1998,0.2105,0.1982
20,10922,47,9.93943966529024,0.062070203069565094,1.220317406462985,0.6492,0.0,0.6479,0.0
21,646,39,8.470420941021672,-0.2046278942950464,1.1229044056717392,0.2,0.2222,0.2376,0.1453
22,305,37,11.083390000000001,0.16016562216721308,1.2417208775639252,0.0052,0.9757,0.0123,0.9425
23,863,35,9.93161172143685,0.00895648861309386,1.2354496300017177,0.1351,0.439,0.1116,0.5233
24,3562,47,9.974846336327905,0.13610825508872826,1.1814589294375375,0.5291,0.0001,0.5247,0.0002
25,294,25,11.467792302721088,0.030406217191548644,1.2242898090071983,0.3594,0.0777,0.3348,0.1019
26,1111,34,7.74167322538254,-0.03355880199891989,1.054446772206668,0.0562,0.7521,0.0362,0.8388
27,2510,46,9.740454077370519,-0.06276551573166533,1.0641770341454164,0.3954,0.0065,0.3905,0.0073
28,2864,37,8.12957675726257,-0.027607379812297488,1.1499480943249314,0.2765,0.0976,0.2913,0.0803
29,973,27,10.738403816032887,-0.03914787972761563,1.3907854963601112,0.4052,0.036,0.3797,0.0508
30,1148,45,9.984452037543553,0.13022456651363243,1.228317086083115,0.5131,0.0003,0.5058,0.0004
31,714,19,10.502893500420168,-0.08954633282885154,1.4020957479660203,0.5252,0.0209,0.5228,0.0216
32,2627,47,8.697776034564141,-0.0754649508397735,1.7647381205115842,0.4133,0.0039,0.4116,0.0041
33,552,38,10.849999909782609,-0.04897257225670291,1.148256583250666,0.1988,0.2315,0.1851,0.2659
34,1350,42,10.174048821777777,-0.07316265747562964,1.0190666612111954,0.0986,0.5343,0.0571,0.7193
35,4765,46,10.371729193326338,0.036443780180165794,1.1418396311898427,0.6192,0.0,0.6113,0.0
36,3197,46,9.61704121207382,0.06349838964321865,1.2264858314634681,0.4745,0.0009,0.4734,0.0009
37,4498,47,10.476833101845266,0.2704149437821254,1.3922956246140803,0.5447,0.0001,0.5434,0.0001
38,403,31,13.724831219602976,0.27565064100198516,1.288783022581928,0.435,0.0145,0.4279,0.0163
39,4764,46,8.893232685201511,-0.030705012118570324,1.1694457163443308,0.4952,0.0005,0.5103,0.0003
