animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
97R,17.93,23,MB,9.711,-0.27926937
1L1,8.17,23,MB,10.988999,0.7189654
1V8,4.31,23,MB,11.660999,1.0020548
1P5,6.21,23,MB,9.782,-0.13724329
1V8,4.31,23,MB,10.573,0.5020561
8M0,8.12,23,MB,11.502001,0.95542276
2T6,5.18,23,MB,9.083,-0.49579376
1P5,6.21,23,MB,9.821,-0.00462465
8I6,9.9,23,MB,9.914,0.009754789
97R,17.93,23,MB,11.664999,1.3130573
91O,15.86,23,MB,11.461,1.0200444
97R,17.93,23,MB,5.5629997,-2.8999858
4J6,7.15,23,MB,9.167,-0.645666
1V8,4.31,23,MB,10.671,0.46270084
1T9,4.11,23,MB,10.473,0.45818022
1T9,4.11,23,MB,8.517,-0.87027854
1T9,4.11,23,MB,12.003,1.3345606
3E4,11.99,23,MB,9.24,-0.35529533
8I6,9.9,23,MB,11.627,1.0377741
91O,15.86,23,MB,14.086,2.7652094
1P5,6.21,23,MB,8.085,-1.3553816
50P,15.59,23,MB,12.469,1.5824403
97R,17.93,23,MB,9.417,-0.40139335
0B9,12.11,23,MB,11.828,1.2249554
8M0,8.12,23,MB,9.354,-0.510911
91O,15.86,23,MB,13.729001,2.787628
5H6,11.03,23,MB,11.054999,0.65489703
7F0,11.2,23,MB,6.981,-1.7877507
97R,17.93,23,MB,10.651999,0.57555634
4Q6,3.22,23,MB,10.580999,0.44008243
1P5,6.21,23,MB,10.561999,0.41137362
50P,15.59,23,MB,11.844,1.323551
5H6,11.03,23,MB,8.915,-0.6319299
1P5,6.21,23,MB,8.268,-1.1240796
1P5,6.21,23,MB,10.686,0.34243375
97R,17.93,23,MB,11.942,1.3993206
4J6,7.15,23,MB,9.775,-0.14714782
1P5,6.21,23,MB,9.221,-0.59464294
46Z,13.97,23,MB,12.503,1.6980104
1L1,8.17,23,MB,11.063,0.8238928
6O7,6.03,23,MB,8.990999,-0.40244323
8I6,9.9,23,MB,9.33,-0.46713012
8I6,9.9,23,MB,9.046,-0.5452242
8M0,8.12,23,MB,11.379999,1.0838062
50P,15.59,23,MB,7.777999,-1.5294837
4J6,7.15,23,MB,11.347,1.1313149
1P5,6.21,23,MB,10.493,0.4298985
1P5,6.21,23,MB,11.537001,1.2809496
5R4,6.25,23,MB,7.799,-1.2937771
6O7,6.03,23,MB,6.7599998,-2.2446642
97R,17.93,23,MB,10.731,0.63732463
97R,17.93,23,MB,8.08,-1.1702588
8C9,12.12,23,MB,8.933,-0.7163769
91O,15.86,23,MB,11.908999,1.607018
1P5,6.21,23,MB,8.4470005,-0.9256473
41N,16.74,23,MB,11.259999,1.0225664
1T9,4.11,23,MB,10.177,0.2570274
1P5,6.21,23,MB,9.560999,-0.13015229
4J6,7.15,23,MB,7.225,-1.8935026
43N,17.0,23,MB,8.351999,-1.2159355
1V8,4.31,23,MB,11.542001,1.115862
74K,20.81,23,MB,9.251,-0.31802294
1T9,4.11,23,MB,7.671,-1.4439213
4J6,7.15,23,MB,10.7039995,0.51631904
5R4,6.25,23,MB,7.331,-1.9979012
97R,17.93,23,MB,8.043,-1.2013578
6L4,8.2,23,MB,11.676001,1.1474764
7F0,11.2,23,MB,12.683001,1.7606903
6O7,6.03,23,MB,7.547,-1.5960919
4J6,7.15,23,MB,11.667001,1.194834
2T6,5.18,23,MB,6.4309998,-2.187073
1P5,6.21,23,MB,8.240999,-1.1473383
1P5,6.21,23,MB,9.86,0.041980736
74K,20.81,23,MB,12.171,1.4515979
50P,15.59,23,MB,12.016001,1.450129
50P,15.59,23,MB,9.876,0.09524953
97R,17.93,23,MB,8.2369995,-1.0232779
2T6,5.18,23,MB,11.391001,0.8307599
91O,15.86,23,MB,9.11,-0.50236046
0B9,12.11,23,MB,11.6380005,1.2632017
1P5,6.21,23,MB,10.886,0.5881336
74K,20.81,23,MB,8.198999,-1.0823
1T9,4.11,23,MB,8.396,-0.94976294
5R4,6.25,23,MB,8.500999,-1.2431382
4Q6,3.22,23,MB,9.343,-0.47005054
4J6,7.15,23,MB,11.301,1.0197883
2T6,5.18,23,MB,7.429,-1.5529155
82V,16.01,23,MB,9.212,-0.521852
1T9,4.11,23,MB,8.384,-1.0721614
6O7,6.03,23,MB,9.854001,-0.10581939
98V,16.03,23,MB,9.381,-0.14957155
2V1,4.3,23,MB,9.885,-0.117985204
0B9,12.11,23,MB,10.043,-0.1057595
4J6,7.15,23,MB,11.269,0.83852684
3T5,5.12,23,MB,7.8560004,-1.1963573
6L4,8.2,23,MB,10.607,0.51663685
1P5,6.21,23,MB,9.033999,-0.60015655
1T9,4.11,23,MB,8.847,-0.5376967
1P5,6.21,23,MB,10.834,0.48202464
1P5,6.21,23,MB,10.465,0.38839343
1P5,6.21,23,MB,11.541,1.1319221
6O7,6.03,23,MB,9.414,-0.4550528
3E4,11.99,23,MB,9.441,-0.22861372
1P5,6.21,23,MB,8.740999,-0.7648863
97R,17.93,23,MB,11.388999,0.9756004
1T9,4.11,23,MB,8.474,-1.029284
91O,15.86,23,MB,11.598,1.6372508
46Z,13.97,23,MB,12.94,1.8815843
1P5,6.21,23,MB,12.149,1.6035849
8M0,8.12,23,MB,8.274,-1.1910381
1P5,6.21,23,MB,12.872,1.8462136
1P5,6.21,23,MB,9.668,-0.21605717
1P5,6.21,23,MB,8.153999,-1.2232369
7M4,8.15,23,MB,10.546,0.62095076
50P,15.59,23,MB,9.452,-0.2881128
6L4,8.2,23,MB,11.826,1.2092202
1T9,4.11,23,MB,8.318999,-1.4183824
50P,15.59,23,MB,7.104,-1.7897496
1P5,6.21,23,MB,10.028,0.12915769
41N,16.74,23,MB,11.962999,1.4996386
41N,16.74,23,MB,8.868,-0.8627898
2I1,10.27,23,MB,10.254,0.17861623
