louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,27372,51,11.223583027637732,-0.18506888625274934,1.1729140384466354,0.7235,0.0,0.722,0.0
1,1242,50,11.119062792028986,-0.152487518228905,1.0939652876080603,0.4981,0.0002,0.4898,0.0003
2,4860,50,12.206565643127574,-0.06127482377104115,1.2641657228164302,0.4551,0.0009,0.4688,0.0006
3,40312,50,11.225323080777438,0.05198344254632651,1.1840864809965863,0.8266,0.0,0.8245,0.0
4,6270,50,11.335321049792663,0.027182830653496016,1.1406611619506608,0.7439,0.0,0.746,0.0
5,1892,45,12.449385870401692,0.2643344167127907,1.3975931423393244,0.293,0.0508,0.3067,0.0404
6,8977,50,10.491324022457391,-0.1538541858333541,1.7334487673317365,0.5889,0.0,0.594,0.0
7,10386,49,12.446032352108608,0.2577467508961088,1.0968997955267477,0.2318,0.109,0.2012,0.1657
8,1237,51,11.094035525545676,-0.20399238755990304,1.0518663954873817,-0.0433,0.7627,-0.0585,0.6834
9,7832,48,11.67299644230082,-0.0013573242922016093,1.2273817397248938,0.5238,0.0001,0.5442,0.0001
10,935,50,11.563225664385026,-0.24378836638117649,1.1405468305045936,0.4507,0.001,0.4641,0.0007
11,9389,51,12.32983214503142,-0.3030567350716946,1.32617509586805,0.5954,0.0,0.5921,0.0
