louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,7332,52,9.863293092362248,-0.00331660654933988,1.400152433636878,0.6447,0.0,0.6426,0.0
1,629,51,9.798295695866454,-0.22850701687949126,1.208378502317399,0.3912,0.0045,0.371,0.0074
2,4468,52,10.778367477573859,-0.17440477254084602,1.786230982452722,0.6923,0.0,0.6863,0.0
3,15538,52,11.394739841047754,-0.05209724289051217,1.399027781939302,0.6709,0.0,0.6769,0.0
4,8347,52,11.297090636456211,-0.18902864225053312,1.3045514672344858,0.8171,0.0,0.8071,0.0
5,5944,49,12.336983359522206,-0.1744393714630535,1.5543364519413052,0.7935,0.0,0.797,0.0
6,13604,51,10.371642343274036,0.007900274725492507,1.7708665886948678,0.7585,0.0,0.7554,0.0
7,5977,49,14.209869379203614,0.30909592032464445,1.3711784488274035,0.3325,0.0196,0.3376,0.0177
8,797,51,10.215725127728984,-0.22188232321417817,1.1615510623285061,0.535,0.0001,0.5314,0.0001
9,3585,50,10.99036123051604,-0.008646648789111581,1.3392229071362567,0.6623,0.0,0.6602,0.0
10,554,51,10.983415142960288,-0.06711113241841153,1.1778902665713078,0.5809,0.0,0.5987,0.0
11,3301,51,11.353535850015147,-0.03276099267274462,1.347031553156455,0.5639,0.0,0.5537,0.0
