louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,2672,45,10.826057600935629,0.05951195601994012,1.1999087009787266,0.7062,0.0,0.6999,0.0
1,138,36,10.663391342753624,-0.5013436218115943,1.3426995318140382,0.5325,0.0008,0.5399,0.0007
2,4180,46,10.383526500215313,-0.14265033438372487,1.453221969500427,0.6667,0.0,0.6716,0.0
3,4425,47,10.827543251683615,-0.12550365344616385,1.190371278029377,0.6097,0.0,0.5995,0.0
4,789,46,10.454048156653991,-0.09547062740278832,1.1003946384138177,0.4691,0.001,0.4816,0.0007
5,4463,43,9.539791320546716,-0.2392236955732243,1.3674478797423262,0.791,0.0,0.795,0.0
6,3189,43,8.734534290780811,-0.08452733232988399,1.6807421807827054,0.7341,0.0,0.7287,0.0
7,3947,44,12.12183403744616,-0.20185522896702812,1.277199763891943,0.6233,0.0,0.6177,0.0
8,314,47,11.311054104140128,0.0024488129681528746,1.000947985479946,-0.0319,0.8316,-0.0355,0.8129
9,1278,43,10.602689376604069,-0.22675838555242567,1.2075220002116305,0.7489,0.0,0.7607,0.0
10,181,39,10.099149179558012,-0.38854331880994475,1.0270670163693851,0.4941,0.0014,0.4862,0.0017
11,1324,40,11.76340174705438,-0.13176579345256798,1.3255850063817036,0.6436,0.0,0.661,0.0
