animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3K1,9.01,2,dlPFC,9.727,-2.1798189
5R4,6.25,2,dlPFC,11.585,-0.48124534
8H2,10.13,2,dlPFC,10.794001,-1.3050113
77V,16.15,2,dlPFC,9.841999,-1.7793554
77V,16.15,2,dlPFC,14.671,1.7947952
7F0,11.2,2,dlPFC,12.749,0.25627518
0G3,9.1,2,dlPFC,14.136999,1.2257489
82V,16.01,2,dlPFC,13.459999,0.6097784
82V,16.01,2,dlPFC,12.825999,0.42215383
0B9,12.11,2,dlPFC,13.059,0.5701908
3E4,11.99,2,dlPFC,15.436,2.2276065
2S6,3.17,2,dlPFC,10.291,-1.7389493
2V1,4.3,2,dlPFC,12.57,0.15426177
8B3,13.09,2,dlPFC,13.729999,0.9213521
91O,15.86,2,dlPFC,13.341001,0.9582209
4Q6,3.22,2,dlPFC,9.742,-1.992427
4J6,7.15,2,dlPFC,10.425,-1.4472431
77V,16.15,2,dlPFC,13.006999,0.34154096
6O7,6.03,2,dlPFC,9.763,-1.7492373
6D9,13.11,2,dlPFC,13.693001,1.0399364
3K1,9.01,2,dlPFC,11.566999,-0.50144917
5R4,6.25,2,dlPFC,13.342,0.5708101
31S,17.0,2,dlPFC,11.799,-0.28821614
31S,17.0,2,dlPFC,11.559,-0.36186066
4J6,7.15,2,dlPFC,12.319,-0.14282319
0B9,12.11,2,dlPFC,11.761999,-0.37521994
0B9,12.11,2,dlPFC,14.035998,1.168586
8C9,12.12,2,dlPFC,13.565001,0.73071337
82V,16.01,2,dlPFC,14.9539995,1.8564109
56R,14.95,2,dlPFC,16.166,2.9979799
3D1,13.11,2,dlPFC,14.825,1.6985569
3D1,13.11,2,dlPFC,14.163,1.4677507
3D1,13.11,2,dlPFC,9.958,-1.7900178
3T5,5.12,2,dlPFC,12.860001,0.49962834
5R4,6.25,2,dlPFC,12.885,0.4149885
41N,16.74,2,dlPFC,8.106,-3.8038843
82V,16.01,2,dlPFC,14.303999,1.3855169
56K,19.93,2,dlPFC,12.024,-0.27107608
0B9,12.11,2,dlPFC,10.999,-0.9138689
0B9,12.11,2,dlPFC,15.307001,2.0276015
0B9,12.11,2,dlPFC,12.283,0.038190216
82V,16.01,2,dlPFC,12.74,0.34009123
8B3,13.09,2,dlPFC,11.908,-0.2756204
91O,15.86,2,dlPFC,11.79,-0.63682896
41N,16.74,2,dlPFC,13.712,0.88422334
6O7,6.03,2,dlPFC,13.601001,0.70293903
2C6,14.03,2,dlPFC,12.084,-0.26847297
3E4,11.99,2,dlPFC,13.052,0.5765729
3E4,11.99,2,dlPFC,11.983,-0.37827307
1P5,6.21,2,dlPFC,10.171999,-1.509629
77V,16.15,2,dlPFC,14.226,1.3788457
3K1,9.01,2,dlPFC,10.17,-1.5789953
3K1,9.01,2,dlPFC,14.101001,1.2694609
8H2,10.13,2,dlPFC,11.774,-0.40790108
31S,17.0,2,dlPFC,15.235001,2.2630508
41N,16.74,2,dlPFC,14.551,1.680652
82V,16.01,2,dlPFC,14.622999,1.4466693
0B9,12.11,2,dlPFC,12.002,-0.117205314
3T5,5.12,2,dlPFC,13.181,0.7171758
98V,16.03,2,dlPFC,12.315001,0.1758353
7M4,8.15,2,dlPFC,11.809,-0.34725064
91O,15.86,2,dlPFC,8.120001,-3.2218702
46Z,13.97,2,dlPFC,11.215001,-0.7284152
41N,16.74,2,dlPFC,12.299,-0.12415789
0G3,9.1,2,dlPFC,11.426001,-0.622626
82V,16.01,2,dlPFC,13.978999,1.1535001
0B9,12.11,2,dlPFC,13.6,0.8250913
0B9,12.11,2,dlPFC,13.712,0.9474023
0B9,12.11,2,dlPFC,14.214,1.2862012
2C6,14.03,2,dlPFC,12.837,0.45846558
3D1,13.11,2,dlPFC,16.143,2.609108
46Z,13.97,2,dlPFC,11.601999,-0.6492802
41N,16.74,2,dlPFC,10.846,-0.9505446
2C6,14.03,2,dlPFC,12.643,0.11865929
3T5,5.12,2,dlPFC,10.556999,-1.1663868
1G8,7.88,2,dlPFC,11.186999,-1.1301849
5R4,6.25,2,dlPFC,10.643999,-1.0900601
2I1,10.27,2,dlPFC,13.021001,0.43552834
7F0,11.2,2,dlPFC,10.381,-1.4974974
82V,16.01,2,dlPFC,14.287,1.2637537
0B9,12.11,2,dlPFC,12.483,0.066060916
2C6,14.03,2,dlPFC,12.693,0.2734985
4S3,3.18,2,dlPFC,10.346999,-1.6245664
4J6,7.15,2,dlPFC,12.029,-0.36616257
0B9,12.11,2,dlPFC,10.504,-1.4329234
6D9,13.11,2,dlPFC,12.351999,-0.11228178
3R7,3.32,2,dlPFC,12.742999,0.36139128
5R4,6.25,2,dlPFC,15.879001,2.3470788
31S,17.0,2,dlPFC,12.688,0.2192124
31S,17.0,2,dlPFC,12.761,0.2724988
91O,15.86,2,dlPFC,12.252,-0.05384797
46Z,13.97,2,dlPFC,9.317,-1.9185771
46Z,13.97,2,dlPFC,6.9409995,-3.693764
6L4,8.2,2,dlPFC,11.443,-0.66313076
41N,16.74,2,dlPFC,14.494,1.5509897
77V,16.15,2,dlPFC,12.790999,0.32609567
77V,16.15,2,dlPFC,11.817,-0.3706733
7F0,11.2,2,dlPFC,13.475,0.79515326
0B9,12.11,2,dlPFC,13.493001,0.93453413
0B9,12.11,2,dlPFC,12.536,0.20959935
3E4,11.99,2,dlPFC,10.889,-1.0038631
82V,16.01,2,dlPFC,14.521998,1.3470823
0B9,12.11,2,dlPFC,9.811999,-1.6937206
3D1,13.11,2,dlPFC,15.812999,2.52401
8B3,13.09,2,dlPFC,12.562,0.042442136
91O,15.86,2,dlPFC,12.391001,-0.036368567
46Z,13.97,2,dlPFC,12.518,0.062494185
41N,16.74,2,dlPFC,8.803,-2.8177793
77V,16.15,2,dlPFC,11.643999,-0.5266689
82V,16.01,2,dlPFC,14.900999,2.1478722
0B9,12.11,2,dlPFC,11.101,-0.963374
0B9,12.11,2,dlPFC,12.141001,-0.12530518
6O7,6.03,2,dlPFC,10.041999,-1.3404295
2C6,14.03,2,dlPFC,12.386999,0.24916494
2C6,14.03,2,dlPFC,12.162001,-0.07772395
82V,16.01,2,dlPFC,13.036,0.6219481
3D1,13.11,2,dlPFC,15.473,2.5532465
4J6,7.15,2,dlPFC,9.712,-2.0669515
41N,16.74,2,dlPFC,13.589999,0.90293306
2V1,4.3,2,dlPFC,10.3880005,-1.3109524
0B9,12.11,2,dlPFC,12.7699995,0.12149932
2C6,14.03,2,dlPFC,12.045,-0.2895516
4S3,3.18,2,dlPFC,7.3760004,-3.6639657
77V,16.15,2,dlPFC,10.585001,-1.4254864
3D1,13.11,2,dlPFC,15.517,2.5038197
8H2,10.13,2,dlPFC,15.956999,2.7563314
2T2,4.09,2,dlPFC,10.809,-1.2927794
98V,16.03,2,dlPFC,14.305,1.4837322
82V,16.01,2,dlPFC,14.646998,1.4578335
0B9,12.11,2,dlPFC,11.986,-0.2860531
3K1,9.01,2,dlPFC,12.141,-0.22486283
2T6,5.18,2,dlPFC,13.610998,0.8785668
5H6,11.03,2,dlPFC,13.264,0.4988799
2V1,4.3,2,dlPFC,11.028,-0.87420213
82V,16.01,2,dlPFC,13.055,0.48723203
0B9,12.11,2,dlPFC,13.289,0.6832543
6O7,6.03,2,dlPFC,8.804999,-2.392653
3E4,11.99,2,dlPFC,12.6779995,0.2900384
4J6,7.15,2,dlPFC,9.934999,-1.7205501
6D9,13.11,2,dlPFC,10.996,-0.926863
8H2,10.13,2,dlPFC,9.667,-2.224409
98V,16.03,2,dlPFC,14.143,1.2819957
41N,16.74,2,dlPFC,10.452,-1.545364
41N,16.74,2,dlPFC,10.209,-1.4077739
77V,16.15,2,dlPFC,11.105,-0.8132494
0G3,9.1,2,dlPFC,15.136999,2.0194468
82V,16.01,2,dlPFC,11.992001,-0.21388526
0B9,12.11,2,dlPFC,10.612,-1.1087865
0B9,12.11,2,dlPFC,11.579,-0.5255198
2C6,14.03,2,dlPFC,14.296,1.5819575
2C6,14.03,2,dlPFC,12.3619995,0.025391165
3E4,11.99,2,dlPFC,12.4939995,0.0503429
2S6,3.17,2,dlPFC,15.844999,2.4601703
2V1,4.3,2,dlPFC,9.624999,-2.0184898
0B9,12.11,2,dlPFC,14.843,1.805355
56R,14.95,2,dlPFC,12.617,0.05933895
3T5,5.12,2,dlPFC,12.650999,0.06345584
8H2,10.13,2,dlPFC,11.388,-0.7736575
41N,16.74,2,dlPFC,15.205,1.9802897
41N,16.74,2,dlPFC,10.496,-1.2851039
77V,16.15,2,dlPFC,12.99,0.5280197
0G3,9.1,2,dlPFC,11.463,-0.7410167
0B9,12.11,2,dlPFC,13.243999,0.6254358
0B9,12.11,2,dlPFC,14.383,1.479586
3E4,11.99,2,dlPFC,13.0720005,0.78443664
2S6,3.17,2,dlPFC,9.973,-1.5445852
82V,16.01,2,dlPFC,13.432001,0.6767684
6D9,13.11,2,dlPFC,13.557999,0.98133427
6D9,13.11,2,dlPFC,13.591001,0.7292171
56R,14.95,2,dlPFC,12.250999,0.009884767
2T2,4.09,2,dlPFC,7.521,-3.2279816
2T2,4.09,2,dlPFC,10.001,-1.8217156
31S,17.0,2,dlPFC,16.286,3.2015142
91O,15.86,2,dlPFC,9.51,-2.017439
91O,15.86,2,dlPFC,11.914,-0.23213899
4J6,7.15,2,dlPFC,12.226,-0.1847238
41N,16.74,2,dlPFC,10.806,-0.8953621
74K,20.81,2,dlPFC,15.896998,2.7577019
0B9,12.11,2,dlPFC,12.921,0.5074664
0B9,12.11,2,dlPFC,13.566999,1.174788
0B9,12.11,2,dlPFC,13.106,0.5062363
5R4,6.25,2,dlPFC,11.983,-0.26311126
97R,17.93,2,dlPFC,13.133,0.52096534
31S,17.0,2,dlPFC,12.3029995,-0.14577301
0B9,12.11,2,dlPFC,11.398,-0.64695895
2C6,14.03,2,dlPFC,11.092001,-0.9174697
3R7,3.32,2,dlPFC,6.9709997,-4.2539682
3R7,3.32,2,dlPFC,6.9900002,-4.262559
8H2,10.13,2,dlPFC,11.987,-0.16927835
5R4,6.25,2,dlPFC,11.157999,-0.9765049
97R,17.93,2,dlPFC,12.076999,-0.3550878
41N,16.74,2,dlPFC,11.594,-0.40785632
82V,16.01,2,dlPFC,14.917,2.11906
0B9,12.11,2,dlPFC,14.084002,1.2636302
1T9,4.11,2,dlPFC,10.707,-1.0435208
6L4,8.2,2,dlPFC,11.936999,-0.3514197
0B9,12.11,2,dlPFC,13.849001,1.484574
3K1,9.01,2,dlPFC,13.768,1.2317595
5R4,6.25,2,dlPFC,12.735,0.22893132
98V,16.03,2,dlPFC,13.912,1.1521839
31S,17.0,2,dlPFC,13.524,0.7268658
41N,16.74,2,dlPFC,12.852,0.33030024
77V,16.15,2,dlPFC,13.405001,0.8604984
77V,16.15,2,dlPFC,12.332999,0.05924757
82V,16.01,2,dlPFC,15.162,1.9642001
0B9,12.11,2,dlPFC,11.157,-0.784831
2C6,14.03,2,dlPFC,11.6449995,-0.47182178
0B9,12.11,2,dlPFC,11.666,-0.43021202
8H2,10.13,2,dlPFC,14.428001,1.5690718
74K,20.81,2,dlPFC,12.106001,-0.19282249
4S3,3.18,2,dlPFC,11.838999,-0.48220116
41N,16.74,2,dlPFC,13.530001,0.8528149
2V1,4.3,2,dlPFC,10.862,-0.9478819
77V,16.15,2,dlPFC,13.891001,1.0958743
