animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,3,mdTN,9.393999,-1.125568
6D9,13.11,3,mdTN,8.138,-2.474001
37V,15.07,3,mdTN,13.751001,1.7417214
8M0,8.12,3,mdTN,10.561,-0.69188017
3K1,9.01,3,mdTN,8.191,-1.9278594
3K1,9.01,3,mdTN,12.191,0.8096847
3K1,9.01,3,mdTN,12.202,0.7043224
56R,14.95,3,mdTN,11.418,0.013136012
56R,14.95,3,mdTN,8.845999,-1.7868067
56R,14.95,3,mdTN,10.628,-0.6243334
56R,14.95,3,mdTN,13.791,1.5960639
56R,14.95,3,mdTN,7.3690004,-2.42141
55R,14.97,3,mdTN,12.757,1.0472426
3D1,13.11,3,mdTN,10.299,-0.7299007
3D1,13.11,3,mdTN,11.622,-0.072167166
3T5,5.12,3,mdTN,9.288,-1.3396754
3T5,5.12,3,mdTN,10.024,-0.8873675
3T5,5.12,3,mdTN,12.1640005,0.46091473
1G8,7.88,3,mdTN,10.604,-0.4893522
5R4,6.25,3,mdTN,11.198999,-0.08668772
5R4,6.25,3,mdTN,6.511,-3.163374
98V,16.03,3,mdTN,11.033,-0.37914822
2F2,11.04,3,mdTN,9.89,-1.0043802
7M4,8.15,3,mdTN,9.308001,-1.4783779
7M4,8.15,3,mdTN,12.948,1.004356
8B3,13.09,3,mdTN,11.443999,0.13260782
42T,15.96,3,mdTN,10.800001,-0.23044881
2T6,5.18,3,mdTN,7.6030006,-2.4432557
2T6,5.18,3,mdTN,8.885,-1.3633407
46Z,13.97,3,mdTN,8.192,-2.4742155
4J6,7.15,3,mdTN,11.8220005,0.50082624
41N,16.74,3,mdTN,12.64,0.8621137
41N,16.74,3,mdTN,10.924,-0.24138527
41N,16.74,3,mdTN,11.011001,-0.31421164
41N,16.74,3,mdTN,7.739001,-2.876208
2I1,10.27,3,mdTN,11.422999,-0.04249122
74K,20.81,3,mdTN,10.493,-0.35227793
74K,20.81,3,mdTN,11.083,-0.12815198
82V,16.01,3,mdTN,13.148001,1.1155802
56K,19.93,3,mdTN,11.992,0.36207393
56K,19.93,3,mdTN,11.184999,-0.041877635
56K,19.93,3,mdTN,11.128,-0.021361748
8C9,12.12,3,mdTN,7.6480002,-2.5582662
3R7,3.32,3,mdTN,11.564001,0.27633616
3R7,3.32,3,mdTN,9.19,-1.6651698
37V,15.07,3,mdTN,9.684,-1.1692765
37V,15.07,3,mdTN,14.717999,2.1511736
37V,15.07,3,mdTN,8.5859995,-1.5610073
37V,15.07,3,mdTN,13.153,1.1733369
37V,15.07,3,mdTN,14.182999,2.0839982
3K1,9.01,3,mdTN,14.654001,2.1337926
3K1,9.01,3,mdTN,12.837,0.88984823
