animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3R7,3.32,4,EC,7.614,-2.3131213
3R7,3.32,4,EC,11.611,0.2892748
2S2,6.31,4,EC,9.145999,-1.2525978
56R,14.95,4,EC,9.709001,-0.6504376
3D1,13.11,4,EC,8.685,-1.4089117
5R4,6.25,4,EC,10.588999,-0.52089894
50P,15.59,4,EC,16.054,3.1720452
50P,15.59,4,EC,8.459,-1.5668428
7M4,8.15,4,EC,13.648999,1.4435107
42T,15.96,4,EC,12.915001,1.0876685
2T6,5.18,4,EC,11.122001,-0.07945226
2V1,4.3,4,EC,9.870001,-0.87557197
77V,16.15,4,EC,7.8990006,-2.359852
74K,20.81,4,EC,6.1490006,-3.1729348
74K,20.81,4,EC,10.965,-0.09102039
74K,20.81,4,EC,15.0720005,2.3902445
74K,20.81,4,EC,9.001,-1.5026709
43N,17.0,4,EC,12.275,0.53325766
1P5,6.21,4,EC,12.271999,0.85190797
2T2,4.09,4,EC,12.345,0.6045384
2T2,4.09,4,EC,10.766,-0.26777455
2T6,5.18,4,EC,9.175,-1.3974133
3R7,3.32,4,EC,11.722,0.23355997
2S2,6.31,4,EC,12.17,0.5579635
3K1,9.01,4,EC,10.439001,-0.5328371
50P,15.59,4,EC,11.817999,0.19813761
50P,15.59,4,EC,13.336,1.2266767
7M4,8.15,4,EC,9.080999,-1.4796739
7M4,8.15,4,EC,11.721,0.61272895
97R,17.93,4,EC,12.296999,0.68662935
97R,17.93,4,EC,9.698999,-0.9954583
97R,17.93,4,EC,10.090999,-0.6729845
8B3,13.09,4,EC,10.74,-0.35400826
42T,15.96,4,EC,12.073,0.6107924
42T,15.96,4,EC,12.1449995,0.5271187
0G3,9.1,4,EC,10.13,-0.8163639
1V8,4.31,4,EC,11.469999,0.19550087
1V8,4.31,4,EC,12.634001,0.8902785
77V,16.15,4,EC,9.672,-0.9573118
7F0,11.2,4,EC,13.382998,1.4549097
74K,20.81,4,EC,12.496,0.79982793
43N,17.0,4,EC,9.843,-0.72841346
1T9,4.11,4,EC,7.7049994,-2.2454097
2Q0,3.21,4,EC,8.184999,-1.9198481
1G8,7.88,4,EC,12.9279995,1.2451005
1G8,7.88,4,EC,16.070002,3.8578455
6D9,13.11,4,EC,9.856,-0.92342925
3R7,3.32,4,EC,11.172999,-0.1150107
3R7,3.32,4,EC,10.442999,-0.38281277
8M0,8.12,4,EC,10.899,-0.19508956
2S2,6.31,4,EC,8.202,-1.8063061
3K1,9.01,4,EC,11.988,0.5586948
56R,14.95,4,EC,14.378,2.062984
3D1,13.11,4,EC,10.9869995,-0.046753243
3T5,5.12,4,EC,10.448999,-0.3031713
2F2,11.04,4,EC,12.653001,1.0773402
2F2,11.04,4,EC,9.781,-0.88093376
50P,15.59,4,EC,9.125,-1.4967809
7M4,8.15,4,EC,8.554999,-1.4948735
8B3,13.09,4,EC,16.22,2.92313
4J6,7.15,4,EC,7.7869997,-1.9623142
77V,16.15,4,EC,10.054,-0.5615944
7F0,11.2,4,EC,11.994,0.472877
0B9,12.11,4,EC,13.470999,1.409055
2C6,14.03,4,EC,11.581,0.26646945
2Q0,3.21,4,EC,9.4800005,-1.1004181
3R7,3.32,4,EC,12.943001,0.9281647
3T5,5.12,4,EC,11.945001,0.48676977
2F2,11.04,4,EC,11.051001,-0.21866955
50P,15.59,4,EC,13.066,1.3086332
50P,15.59,4,EC,12.336999,0.73024577
97R,17.93,4,EC,10.040999,-0.8487244
8B3,13.09,4,EC,11.33,0.037387654
42T,15.96,4,EC,14.497999,2.322792
4J6,7.15,4,EC,10.824001,-0.23647283
2I1,10.27,4,EC,12.548999,0.89685684
7F0,11.2,4,EC,12.148,0.5819138
0G3,9.1,4,EC,10.838,-0.31748745
74K,20.81,4,EC,11.559,0.29829323
56K,19.93,4,EC,10.869,-0.3286242
56K,19.93,4,EC,11.198,-0.020334596
1T9,4.11,4,EC,9.440001,-1.1030561
2C6,14.03,4,EC,11.312,-0.08543293
1P5,6.21,4,EC,10.311,-0.6329752
8I6,9.9,4,EC,7.896,-2.245383
6D9,13.11,4,EC,10.905,-0.12172638
2S2,6.31,4,EC,14.079,2.00025
3K1,9.01,4,EC,13.733,1.9075388
