animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
37V,15.07,4,HIP,7.873,-1.8718847
55R,14.97,4,HIP,11.289,0.37550503
3D1,13.11,4,HIP,11.68,0.7694666
3T5,5.12,4,HIP,9.714999,-0.5386385
5R4,6.25,4,HIP,10.063001,-0.31925812
5R4,6.25,4,HIP,10.808001,0.065551706
98V,16.03,4,HIP,8.097,-1.7801377
2F2,11.04,4,HIP,9.613,-0.5369369
2F2,11.04,4,HIP,11.912,1.0217729
2F2,11.04,4,HIP,10.199,-0.27279153
50P,15.59,4,HIP,11.088,0.20135418
50P,15.59,4,HIP,7.2530007,-2.09699
50P,15.59,4,HIP,11.467,0.6296437
46Z,13.97,4,HIP,12.878,1.4111681
46Z,13.97,4,HIP,8.725,-1.252444
4Q6,3.22,4,HIP,7.5099998,-2.1199834
8M0,8.12,4,HIP,12.414,1.1466182
5H6,11.03,4,HIP,11.872,0.88723534
5H6,11.03,4,HIP,11.214,0.56971383
4J6,7.15,4,HIP,9.888999,-0.54714155
6L4,8.2,4,HIP,10.094,-0.44077724
41N,16.74,4,HIP,12.963,1.6871893
2I1,10.27,4,HIP,9.983,-0.30310908
1L1,8.17,4,HIP,12.274,1.2402711
1V8,4.31,4,HIP,11.965,1.0047133
2V1,4.3,4,HIP,9.25,-1.0104194
74K,20.81,4,HIP,11.066999,0.25493464
82V,16.01,4,HIP,11.233,0.49505362
82V,16.01,4,HIP,10.036,-0.34444246
56K,19.93,4,HIP,11.078,0.24235949
43N,17.0,4,HIP,12.070001,1.2156936
0B9,12.11,4,HIP,7.5360003,-2.0220244
0B9,12.11,4,HIP,10.113001,-0.27630308
56R,14.95,4,HIP,9.297,-0.85270685
56R,14.95,4,HIP,11.924,0.85602087
56R,14.95,4,HIP,11.82,1.0469656
3D1,13.11,4,HIP,9.377,-0.9382018
3T5,5.12,4,HIP,10.339999,-0.14115754
3T5,5.12,4,HIP,12.608,1.4509217
1G8,7.88,4,HIP,8.975,-1.1369563
2T2,4.09,4,HIP,8.855,-1.015043
98V,16.03,4,HIP,8.274,-1.7028939
98V,16.03,4,HIP,10.982,0.17447546
98V,16.03,4,HIP,11.589,0.5543076
2F2,11.04,4,HIP,9.735001,-0.5899596
7M4,8.15,4,HIP,8.8810005,-1.2211106
2T6,5.18,4,HIP,12.091,1.0919689
46Z,13.97,4,HIP,8.443,-1.462441
8M0,8.12,4,HIP,12.285,1.1393194
2I1,10.27,4,HIP,9.917,-0.5001056
1L1,8.17,4,HIP,12.295,0.9980555
3E4,11.99,4,HIP,9.136,-1.0272082
1P5,6.21,4,HIP,9.661,-0.54958886
2Q0,3.21,4,HIP,9.522,-0.78398937
8M0,8.12,4,HIP,12.379,1.0838802
2S2,6.31,4,HIP,10.502,0.06311106
