animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3R7,3.32,4,NAc,8.072,-2.138309
3R7,3.32,4,NAc,9.244,-1.6661849
37V,15.07,4,NAc,10.961,-0.41944134
8M0,8.12,4,NAc,10.378,-0.9121878
2T2,4.09,4,NAc,13.686999,1.1293049
2T6,5.18,4,NAc,11.648001,0.041813143
2T6,5.18,4,NAc,11.763,0.091933005
4J6,7.15,4,NAc,13.9730015,1.5502801
77V,16.15,4,NAc,11.635,0.21454845
0B9,12.11,4,NAc,8.652,-1.8210665
0B9,12.11,4,NAc,10.766001,-0.44148082
2C6,14.03,4,NAc,11.956999,0.07110928
46Z,13.97,4,NAc,13.806,1.1974348
4Q6,3.22,4,NAc,10.276999,-0.9865238
4Q6,3.22,4,NAc,11.644,0.011350416
5H6,11.03,4,NAc,13.594999,1.313572
2I1,10.27,4,NAc,11.108999,-0.12144459
1L1,8.17,4,NAc,12.894,0.7187559
2V1,4.3,4,NAc,12.314,0.6851645
7F0,11.2,4,NAc,14.252001,1.561971
0G3,9.1,4,NAc,11.936,0.2050326
74K,20.81,4,NAc,9.192999,-1.7615794
2C6,14.03,4,NAc,12.318999,0.43997663
1P5,6.21,4,NAc,12.016001,0.0965157
1P5,6.21,4,NAc,7.965,-2.1620097
8I6,9.9,4,NAc,13.1970005,0.90225875
2Q0,3.21,4,NAc,6.079,-3.2324502
2Q0,3.21,4,NAc,9.602999,-1.4783491
2S6,3.17,4,NAc,9.015,-1.5119195
3K1,9.01,4,NAc,8.244,-2.0359156
3K1,9.01,4,NAc,7.6869993,-2.1002722
3K1,9.01,4,NAc,16.470999,2.976622
1G8,7.88,4,NAc,13.119,1.061321
1G8,7.88,4,NAc,6.9300003,-2.8648062
5R4,6.25,4,NAc,7.338,-2.8544438
98V,16.03,4,NAc,11.218,-0.17449446
42T,15.96,4,NAc,10.932,-0.33519945
2T6,5.18,4,NAc,10.746,-0.47782263
31S,17.0,4,NAc,12.621,0.67668253
0B9,12.11,4,NAc,15.450999,2.400719
46Z,13.97,4,NAc,8.141,-2.5724986
4Q6,3.22,4,NAc,8.664,-1.7846862
5H6,11.03,4,NAc,10.363,-0.91248685
6L4,8.2,4,NAc,11.148001,-0.25991386
41N,16.74,4,NAc,11.628,0.045093745
1V8,4.31,4,NAc,12.563001,0.5676769
74K,20.81,4,NAc,17.987999,4.132607
74K,20.81,4,NAc,16.461002,2.7006884
74K,20.81,4,NAc,11.500999,-0.08667562
74K,20.81,4,NAc,9.85,-0.86078805
82V,16.01,4,NAc,12.636,0.57503325
43N,17.0,4,NAc,11.147,-0.11310526
