animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
1G8,7.88,4,lCb,11.08,0.40741578
97R,17.93,4,lCb,14.201999,2.6749105
31S,17.0,4,lCb,8.37,-1.3215052
1V8,4.31,4,lCb,10.506,-0.0832627
55R,14.97,4,lCb,13.938001,2.0276442
42T,15.96,4,lCb,7.5030007,-2.1914408
2F2,11.04,4,lCb,11.537001,0.53490293
4J6,7.15,4,lCb,11.560999,0.70724577
3K1,9.01,4,lCb,12.775,1.4364376
55R,14.97,4,lCb,10.851,0.018039042
46Z,13.97,4,lCb,11.476,0.61554027
6D9,13.11,4,lCb,11.861,0.7289192
4S3,3.18,4,lCb,8.851,-0.99759567
50P,15.59,4,lCb,10.378,-0.15340926
4Q6,3.22,4,lCb,7.172,-2.1561534
43N,17.0,4,lCb,8.341,-1.1886702
6L4,8.2,4,lCb,11.837,0.94319946
5H6,11.03,4,lCb,9.304,-0.7040168
6D9,13.11,4,lCb,11.848999,0.92884034
8M0,8.12,4,lCb,13.969999,2.2307198
3T5,5.12,4,lCb,11.286,0.38159755
4J6,7.15,4,lCb,10.436,-0.23189174
82V,16.01,4,lCb,11.243,0.489552
3R7,3.32,4,lCb,7.6629996,-2.0242748
98V,16.03,4,lCb,11.528001,0.5717412
2I1,10.27,4,lCb,9.427,-0.79774266
8I6,9.9,4,lCb,11.667999,0.75058067
46Z,13.97,4,lCb,13.839999,2.1858532
97R,17.93,4,lCb,9.836,-0.5927014
6L4,8.2,4,lCb,8.498,-1.4120579
0B9,12.11,4,lCb,11.148001,0.32131788
82V,16.01,4,lCb,13.165998,1.5509313
8C9,12.12,4,lCb,7.292,-2.2197256
6D9,13.11,4,lCb,7.6540003,-1.9333979
4S3,3.18,4,lCb,9.339,-0.90551704
1G8,7.88,4,lCb,9.398,-0.8442646
50P,15.59,4,lCb,8.553999,-1.4579622
43N,17.0,4,lCb,7.9660006,-1.6871377
8B3,13.09,4,lCb,8.651999,-1.4768802
46Z,13.97,4,lCb,8.964,-1.1829163
2S6,3.17,4,lCb,10.865,0.1988305
55R,14.97,4,lCb,11.599001,0.6858663
8B3,13.09,4,lCb,9.613001,-0.67632663
6L4,8.2,4,lCb,9.392,-0.63110745
6D9,13.11,4,lCb,9.240999,-0.7179934
4J6,7.15,4,lCb,10.139,-0.3337948
2C6,14.03,4,lCb,12.107,0.97744125
3D1,13.11,4,lCb,10.694,0.30464524
55R,14.97,4,lCb,10.075,-0.4370521
2V1,4.3,4,lCb,12.1050005,1.1398553
3K1,9.01,4,lCb,8.781,-1.4032764
4J6,7.15,4,lCb,7.849,-2.0761092
4J6,7.15,4,lCb,9.952999,-0.44076192
2V1,4.3,4,lCb,9.073,-0.8845876
82V,16.01,4,lCb,11.087,0.4710086
50P,15.59,4,lCb,9.782,-0.23833366
42T,15.96,4,lCb,12.76,1.2259716
5H6,11.03,4,lCb,12.002001,0.98635405
82V,16.01,4,lCb,11.219999,0.24897292
3R7,3.32,4,lCb,11.974,0.92032266
56R,14.95,4,lCb,9.861,-0.40265197
6L4,8.2,4,lCb,10.08,-0.4332154
0B9,12.11,4,lCb,12.997999,1.4945767
3K1,9.01,4,lCb,11.936,1.015512
1V8,4.31,4,lCb,10.767,0.08328004
82V,16.01,4,lCb,11.684999,0.7832499
3D1,13.11,4,lCb,11.679,0.9285634
0B9,12.11,4,lCb,10.466,0.092890754
3R7,3.32,4,lCb,8.673,-1.3844094
3T5,5.12,4,lCb,11.614,0.5979014
37V,15.07,4,lCb,11.515,0.64917135
42T,15.96,4,lCb,9.332,-0.71695626
97R,17.93,4,lCb,9.722,-0.5344175
6L4,8.2,4,lCb,10.734001,0.05612153
4S3,3.18,4,lCb,8.893999,-1.0985674
3T5,5.12,4,lCb,8.910999,-1.0633713
2V1,4.3,4,lCb,7.804,-1.6270497
7F0,11.2,4,lCb,12.927,1.7856243
2C6,14.03,4,lCb,12.553999,1.3421234
97R,17.93,4,lCb,12.153,0.9614372
74K,20.81,4,lCb,9.225,-0.8620799
2I1,10.27,4,lCb,8.046999,-1.7138368
2F2,11.04,4,lCb,12.049999,0.6956017
2I1,10.27,4,lCb,9.603,-0.6646271
3R7,3.32,4,lCb,8.884,-1.0191828
8B3,13.09,4,lCb,10.421999,-0.030950567
74K,20.81,4,lCb,11.936001,0.86795837
37V,15.07,4,lCb,8.086,-1.7388114
0G3,9.1,4,lCb,10.943,0.28227
74K,20.81,4,lCb,11.677,0.6452331
2V1,4.3,4,lCb,10.056999,-0.35412776
3R7,3.32,4,lCb,8.864,-1.4046752
37V,15.07,4,lCb,9.484,-0.6504335
2T6,5.18,4,lCb,10.187,-0.35867578
4J6,7.15,4,lCb,10.789,0.2709972
97R,17.93,4,lCb,9.159,-0.9960733
1L1,8.17,4,lCb,8.714001,-1.1147451
1V8,4.31,4,lCb,9.0910015,-0.7803563
0G3,9.1,4,lCb,8.575001,-1.3382277
5H6,11.03,4,lCb,9.298999,-0.8566537
55R,14.97,4,lCb,7.732,-1.921466
3R7,3.32,4,lCb,9.196,-0.88249904
50P,15.59,4,lCb,12.383,1.3043584
1L1,8.17,4,lCb,9.444,-0.633551
2V1,4.3,4,lCb,8.224,-1.652598
82V,16.01,4,lCb,11.849001,1.0121133
1G8,7.88,4,lCb,10.7039995,0.04973497
4Q6,3.22,4,lCb,11.256,0.56577307
5H6,11.03,4,lCb,11.339,0.47235826
4S3,3.18,4,lCb,6.8879995,-2.2544682
3R7,3.32,4,lCb,9.147001,-0.92275983
50P,15.59,4,lCb,13.025999,1.8878443
1L1,8.17,4,lCb,8.867001,-1.1224973
3R7,3.32,4,lCb,5.917,-3.2256706
37V,15.07,4,lCb,8.364,-1.403636
3T5,5.12,4,lCb,11.370001,0.46858534
