animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8M0,8.12,5,CN,13.663,1.8928949
1G8,7.88,5,CN,9.786,-1.1768717
2S6,3.17,5,CN,11.695,0.37408987
3K1,9.01,5,CN,12.212999,0.84731245
55R,14.97,5,CN,14.808001,2.7954884
2F2,11.04,5,CN,10.384001,-0.69662803
7M4,8.15,5,CN,11.952,0.62451804
7M4,8.15,5,CN,9.785001,-1.2426914
7M4,8.15,5,CN,12.024,0.67482376
4J6,7.15,5,CN,10.703001,-0.5292412
2S6,3.17,5,CN,8.604,-2.3463366
8M0,8.12,5,CN,9.399,-1.8391656
3K1,9.01,5,CN,11.1710005,-0.23769699
3K1,9.01,5,CN,8.876,-1.6698539
55R,14.97,5,CN,11.983999,0.65788543
3T5,5.12,5,CN,8.295,-2.570605
3T5,5.12,5,CN,10.652,-0.6198199
2F2,11.04,5,CN,10.063,-1.0304294
2F2,11.04,5,CN,9.1,-1.7804415
50P,15.59,5,CN,12.990999,1.5663608
7M4,8.15,5,CN,9.608999,-1.351463
7M4,8.15,5,CN,13.519,1.6333512
8B3,13.09,5,CN,11.118,-0.44511917
31S,17.0,5,CN,13.131999,1.3316702
5H6,11.03,5,CN,10.57,-0.64898866
41N,16.74,5,CN,11.762,0.2563632
2I1,10.27,5,CN,11.164999,-0.17121194
3K1,9.01,5,CN,11.693,0.28441882
3K1,9.01,5,CN,11.287001,-0.13728927
55R,14.97,5,CN,14.325,2.3715262
3D1,13.11,5,CN,12.853,1.2440577
3T5,5.12,5,CN,10.251001,-0.85363173
3T5,5.12,5,CN,10.899,-0.2360264
2F2,11.04,5,CN,11.345,0.07548914
2F2,11.04,5,CN,11.545,0.1010589
50P,15.59,5,CN,13.9,2.097828
7M4,8.15,5,CN,9.611,-1.3908654
7M4,8.15,5,CN,10.195,-0.7056863
4J6,7.15,5,CN,8.741,-2.455472
82V,16.01,5,CN,11.664,0.17236845
2C6,14.03,5,CN,11.669001,0.021781841
37V,15.07,5,CN,10.9,-0.43933687
8M0,8.12,5,CN,8.916,-2.148342
3K1,9.01,5,CN,10.359,-0.87402767
98V,16.03,5,CN,9.8029995,-1.0645494
50P,15.59,5,CN,14.224998,2.3430583
7M4,8.15,5,CN,10.01,-1.0544063
7M4,8.15,5,CN,12.233,0.63708603
7M4,8.15,5,CN,10.466001,-0.65551096
7M4,8.15,5,CN,8.245,-2.6924374
91O,15.86,5,CN,13.075999,1.2088654
4J6,7.15,5,CN,10.036,-1.1914037
41N,16.74,5,CN,11.216001,-0.18354166
1V8,4.31,5,CN,10.547,-0.68864214
82V,16.01,5,CN,11.866,0.41970724
82V,16.01,5,CN,11.835001,0.38204923
82V,16.01,5,CN,13.860001,1.9179839
55R,14.97,5,CN,13.058001,1.5747559
2F2,11.04,5,CN,10.172999,-1.0617257
2F2,11.04,5,CN,12.065001,0.4881966
50P,15.59,5,CN,12.573,1.1049316
7M4,8.15,5,CN,11.212,-0.09824019
97R,17.93,5,CN,10.373,-0.7345673
8M0,8.12,5,CN,11.367,-0.080641486
8M0,8.12,5,CN,10.986,-0.23289676
3K1,9.01,5,CN,10.09,-0.98068374
3K1,9.01,5,CN,10.543001,-0.7345889
3D1,13.11,5,CN,11.183001,-0.22444862
2F2,11.04,5,CN,10.065,-1.0976471
7M4,8.15,5,CN,9.945001,-1.0633048
91O,15.86,5,CN,14.037001,2.4291618
91O,15.86,5,CN,14.089,2.199426
91O,15.86,5,CN,11.575999,0.23751724
37V,15.07,5,CN,13.950999,2.2903008
3T5,5.12,5,CN,9.839,-1.1452658
2F2,11.04,5,CN,9.989,-1.0763581
2F2,11.04,5,CN,11.442,0.08441378
50P,15.59,5,CN,13.344,1.7104586
7M4,8.15,5,CN,12.245001,0.46800777
7M4,8.15,5,CN,11.452001,0.16410704
7M4,8.15,5,CN,8.753,-2.571134
97R,17.93,5,CN,12.681,1.011574
91O,15.86,5,CN,13.241,1.484846
82V,16.01,5,CN,12.454,1.0329453
3K1,9.01,5,CN,8.679999,-1.8318053
55R,14.97,5,CN,14.589,2.4856741
3D1,13.11,5,CN,12.156,0.6872514
3T5,5.12,5,CN,8.803,-1.9282663
3T5,5.12,5,CN,9.813001,-1.1145365
1G8,7.88,5,CN,10.754999,-0.48195702
2F2,11.04,5,CN,9.589,-1.3054612
2F2,11.04,5,CN,10.579,-0.5597802
50P,15.59,5,CN,12.009001,0.42659596
7M4,8.15,5,CN,8.679001,-2.1909606
31S,17.0,5,CN,13.245999,1.3926928
4J6,7.15,5,CN,10.497,-0.69386625
77V,16.15,5,CN,13.131,1.4722853
82V,16.01,5,CN,14.4,2.2859805
8M0,8.12,5,CN,11.958,0.53135836
2S2,6.31,5,CN,11.941,0.3648764
3K1,9.01,5,CN,11.076,-0.2427202
2F2,11.04,5,CN,12.658999,1.0133593
50P,15.59,5,CN,10.527,-0.7628709
7M4,8.15,5,CN,11.48,0.06813006
5H6,11.03,5,CN,12.353999,0.7698749
8M0,8.12,5,CN,9.795,-1.0384465
55R,14.97,5,CN,13.006001,1.3165312
3T5,5.12,5,CN,8.767,-2.048285
2F2,11.04,5,CN,9.656,-1.26504
50P,15.59,5,CN,12.291999,0.8970771
7M4,8.15,5,CN,9.055,-1.7760631
7M4,8.15,5,CN,11.461,0.06236575
8B3,13.09,5,CN,14.747,3.2538483
31S,17.0,5,CN,13.683001,1.7080017
31S,17.0,5,CN,14.4,2.5488894
4J6,7.15,5,CN,10.361,-0.92770225
82V,16.01,5,CN,11.6449995,0.23384719
82V,16.01,5,CN,11.294999,-0.09594419
0B9,12.11,5,CN,12.525001,0.85856766
8C9,12.12,5,CN,11.778001,0.40055466
8C9,12.12,5,CN,13.05,1.4241251
8I6,9.9,5,CN,11.471,-0.12158893
8M0,8.12,5,CN,9.608,-1.2215773
3K1,9.01,5,CN,8.465001,-2.452465
3K1,9.01,5,CN,8.716001,-2.3457966
3T5,5.12,5,CN,8.776999,-1.9867089
3T5,5.12,5,CN,9.813,-1.1908588
8H2,10.13,5,CN,10.080999,-0.9817634
8H2,10.13,5,CN,12.277,0.8251143
2F2,11.04,5,CN,9.265,-1.5109687
2F2,11.04,5,CN,11.337999,0.15786248
2F2,11.04,5,CN,10.172999,-0.94073266
50P,15.59,5,CN,13.1449995,1.6853342
50P,15.59,5,CN,15.842999,4.2353563
7M4,8.15,5,CN,8.635,-2.0750785
8B3,13.09,5,CN,12.919001,1.5239277
91O,15.86,5,CN,12.241,0.7005941
41N,16.74,5,CN,9.634999,-1.4064802
2S6,3.17,5,CN,7.718,-3.2256105
2S2,6.31,5,CN,12.631,0.9907336
98V,16.03,5,CN,10.796,-0.41674387
2F2,11.04,5,CN,9.407001,-1.5627363
2F2,11.04,5,CN,10.842999,-0.45596108
2F2,11.04,5,CN,14.943001,3.049602
50P,15.59,5,CN,12.8289995,1.0342234
42T,15.96,5,CN,9.387,-1.5427867
4J6,7.15,5,CN,9.815001,-1.010841
41N,16.74,5,CN,12.123,0.5031262
2I1,10.27,5,CN,13.334,1.9984992
2I1,10.27,5,CN,8.853,-2.130769
77V,16.15,5,CN,11.900999,0.6826381
82V,16.01,5,CN,11.939,0.32354134
8M0,8.12,5,CN,8.5130005,-2.7680624
3K1,9.01,5,CN,11.719999,0.4108897
55R,14.97,5,CN,12.907001,1.3060951
55R,14.97,5,CN,13.283,1.5263348
55R,14.97,5,CN,11.337,-0.027296072
3T5,5.12,5,CN,8.582,-2.390321
3T5,5.12,5,CN,10.871,-0.37403053
3T5,5.12,5,CN,9.9800005,-1.0487365
8H2,10.13,5,CN,12.044,0.44421116
98V,16.03,5,CN,11.436,0.16741832
2F2,11.04,5,CN,10.703,-0.4565698
2F2,11.04,5,CN,10.104001,-1.0993912
2F2,11.04,5,CN,10.034,-1.296164
50P,15.59,5,CN,11.6710005,0.17994516
50P,15.59,5,CN,14.279999,2.4254909
7M4,8.15,5,CN,12.700001,1.0523297
91O,15.86,5,CN,10.253,-0.80847436
1V8,4.31,5,CN,9.398001,-1.3998271
2C6,14.03,5,CN,15.804998,3.379109
6D9,13.11,5,CN,12.194,0.75388867
8M0,8.12,5,CN,8.611,-2.414029
3K1,9.01,5,CN,11.8949995,0.29235554
3D1,13.11,5,CN,10.745001,-0.68775284
3T5,5.12,5,CN,8.676001,-2.2467568
1G8,7.88,5,CN,12.178999,0.6606563
2F2,11.04,5,CN,9.87,-1.2077128
50P,15.59,5,CN,11.827001,0.11651185
7M4,8.15,5,CN,11.066999,-0.2437593
7M4,8.15,5,CN,8.989,-2.1208093
8B3,13.09,5,CN,13.886,2.0903132
42T,15.96,5,CN,13.768001,1.674788
91O,15.86,5,CN,9.405001,-1.4848418
