animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2S2,6.31,6,ACC,8.513,-1.4874636
2S2,6.31,6,ACC,10.316,-0.35936898
3K1,9.01,6,ACC,11.111001,0.15414137
3K1,9.01,6,ACC,11.790999,0.7317109
3D1,13.11,6,ACC,9.992001,-0.6419799
3T5,5.12,6,ACC,10.032999,-0.6019724
5R4,6.25,6,ACC,10.1119995,-0.434549
8B3,13.09,6,ACC,11.63,0.60648984
8B3,13.09,6,ACC,13.277,1.716639
8B3,13.09,6,ACC,12.219,0.98207486
42T,15.96,6,ACC,13.643001,1.5016965
31S,17.0,6,ACC,10.142,-0.28401276
91O,15.86,6,ACC,10.741,0.09052448
91O,15.86,6,ACC,12.399,1.099504
91O,15.86,6,ACC,15.511999,3.0946772
5H6,11.03,6,ACC,10.457999,-0.14103279
1L1,8.17,6,ACC,6.8690004,-2.4241297
1L1,8.17,6,ACC,13.870001,1.9299603
82V,16.01,6,ACC,9.489,-0.9208956
82V,16.01,6,ACC,10.3,-0.23960808
3E4,11.99,6,ACC,11.273,0.24481854
3E4,11.99,6,ACC,12.526,1.0873017
2S6,3.17,6,ACC,6.257,-2.752322
2S6,3.17,6,ACC,11.496,0.7368207
4S3,3.18,6,ACC,5.7439995,-3.2528415
31S,17.0,6,ACC,12.775999,1.2779164
6D9,13.11,6,ACC,10.301001,-0.38611796
3K1,9.01,6,ACC,7.097,-2.3046215
55R,14.97,6,ACC,13.4470005,1.6574779
3T5,5.12,6,ACC,9.906,-0.64342237
3T5,5.12,6,ACC,9.690001,-0.6689354
3T5,5.12,6,ACC,11.311,0.29048342
5R4,6.25,6,ACC,9.29,-0.9229329
8B3,13.09,6,ACC,13.397,1.5020741
42T,15.96,6,ACC,9.261,-0.97189724
31S,17.0,6,ACC,13.292,1.7055398
4Q6,3.22,6,ACC,8.65,-1.3140279
4J6,7.15,6,ACC,8.978,-1.0059988
4J6,7.15,6,ACC,8.281,-1.4458578
41N,16.74,6,ACC,10.967,-0.08034712
1L1,8.17,6,ACC,9.797,-0.56075746
6O7,6.03,6,ACC,7.125,-2.5152955
2C6,14.03,6,ACC,9.826,-0.44975045
2Q0,3.21,6,ACC,9.14,-1.1238049
4S3,3.18,6,ACC,5.512,-3.5545938
2T6,5.18,6,ACC,10.282001,-0.33521637
3T5,5.12,6,ACC,12.813001,1.3815887
5R4,6.25,6,ACC,9.589999,-0.45763382
8B3,13.09,6,ACC,12.258,1.1106181
4Q6,3.22,6,ACC,12.165,1.0363855
5H6,11.03,6,ACC,9.088,-1.1553171
41N,16.74,6,ACC,6.059,-2.9059634
41N,16.74,6,ACC,13.446001,1.6273699
0G3,9.1,6,ACC,5.2489996,-3.1820717
6O7,6.03,6,ACC,8.9279995,-1.0228173
2S6,3.17,6,ACC,6.4040003,-3.0792105
2S6,3.17,6,ACC,7.5649996,-1.9527911
2S6,3.17,6,ACC,8.656,-1.2335788
4S3,3.18,6,ACC,5.8609996,-2.6486623
3K1,9.01,6,ACC,7.155,-2.4808533
3K1,9.01,6,ACC,13.7300005,2.0888534
55R,14.97,6,ACC,11.077,0.31232077
5R4,6.25,6,ACC,9.006,-1.053138
98V,16.03,6,ACC,10.761,0.04159735
8B3,13.09,6,ACC,11.38,0.43802917
8B3,13.09,6,ACC,11.374,0.41475168
8B3,13.09,6,ACC,13.709999,1.9838865
42T,15.96,6,ACC,11.039,0.22154365
91O,15.86,6,ACC,14.603,2.3909252
4Q6,3.22,6,ACC,8.217,-1.5324348
4Q6,3.22,6,ACC,11.869,0.77979827
42T,15.96,6,ACC,9.477,-0.87963
41N,16.74,6,ACC,12.705,1.4303107
1V8,4.31,6,ACC,10.705,0.0222498
82V,16.01,6,ACC,12.496,0.9432579
6O7,6.03,6,ACC,9.448,-0.6734935
6O7,6.03,6,ACC,10.443999,-0.39517227
8C9,12.12,6,ACC,6.5480003,-2.4749577
31S,17.0,6,ACC,14.588999,2.5418918
56R,14.95,6,ACC,13.3949995,1.4925686
55R,14.97,6,ACC,13.102,1.5525136
55R,14.97,6,ACC,13.5269985,1.8838117
3T5,5.12,6,ACC,8.231001,-1.3886154
5R4,6.25,6,ACC,8.569,-1.2804337
5R4,6.25,6,ACC,8.135,-1.5998279
50P,15.59,6,ACC,7.9369993,-1.7920212
8B3,13.09,6,ACC,7.9449997,-1.6604962
31S,17.0,6,ACC,12.034,0.9699772
4Q6,3.22,6,ACC,10.082,-0.60747534
4Q6,3.22,6,ACC,7.9990005,-1.6209584
3T5,5.12,6,ACC,13.727,1.9969469
1G8,7.88,6,ACC,9.8810005,-0.57975197
6L4,8.2,6,ACC,10.165999,-0.22110769
2I1,10.27,6,ACC,7.332,-2.140935
2V1,4.3,6,ACC,11.367,0.27445257
2V1,4.3,6,ACC,9.096001,-1.0700643
82V,16.01,6,ACC,9.282,-0.8885348
0B9,12.11,6,ACC,12.865,1.4739087
0B9,12.11,6,ACC,12.221001,0.9101277
3E4,11.99,6,ACC,12.018999,0.8470373
