animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2T2,4.09,6,IPP,10.884,1.1170202
4Q6,3.22,6,IPP,7.162,-0.96520627
4Q6,3.22,6,IPP,6.6679993,-1.6084768
4Q6,3.22,6,IPP,5.8950005,-1.8229123
4Q6,3.22,6,IPP,4.665,-2.5172122
41N,16.74,6,IPP,6.2650003,-1.7309014
4S3,3.18,6,IPP,8.018,-0.63035774
4S3,3.18,6,IPP,6.7450004,-1.5534453
2V1,4.3,6,IPP,6.167,-1.6770154
77V,16.15,6,IPP,8.728,-0.2808296
7F0,11.2,6,IPP,8.977,-0.36067793
7F0,11.2,6,IPP,12.393,2.3127866
7F0,11.2,6,IPP,12.861,2.4879575
2S2,6.31,6,IPP,5.887,-2.1461127
8B3,13.09,6,IPP,9.401,0.19324665
91O,15.86,6,IPP,12.767,1.8809518
4Q6,3.22,6,IPP,7.4560003,-1.0044501
4Q6,3.22,6,IPP,6.3370004,-1.6501693
4Q6,3.22,6,IPP,3.294,-3.3723063
4Q6,3.22,6,IPP,5.9930005,-1.9579201
6L4,8.2,6,IPP,9.976,0.45807397
4S3,3.18,6,IPP,4.8,-3.033904
2V1,4.3,6,IPP,3.627,-3.3130066
2C0,11.0,6,IPP,8.232,-0.82431424
7F0,11.2,6,IPP,10.215,0.75735426
1T9,4.11,6,IPP,8.200999,-0.5429017
2Q0,3.21,6,IPP,7.2770004,-1.0136136
50P,15.59,6,IPP,10.341001,0.7969307
4Q6,3.22,6,IPP,5.7920003,-1.6397074
4Q6,3.22,6,IPP,5.293,-2.391221
4Q6,3.22,6,IPP,8.577001,-0.42764273
41N,16.74,6,IPP,6.276,-1.8875726
4S3,3.18,6,IPP,6.921,-1.4377652
4S3,3.18,6,IPP,7.575,-0.9602299
7F0,11.2,6,IPP,10.689,1.0438316
7F0,11.2,6,IPP,6.439,-1.4217894
7F0,11.2,6,IPP,12.526999,1.8819039
56K,19.93,6,IPP,11.607,1.5671473
6O7,6.03,6,IPP,4.776,-2.8928003
1P5,6.21,6,IPP,5.586,-2.1315274
2Q0,3.21,6,IPP,8.675,-0.32980293
37V,15.07,6,IPP,4.109,-3.0233076
55R,14.97,6,IPP,11.7039995,1.7074504
2T2,4.09,6,IPP,11.439,1.4311564
4Q6,3.22,6,IPP,6.818,-1.1722426
6L4,8.2,6,IPP,7.6419997,-0.76267314
41N,16.74,6,IPP,9.502001,0.32630974
41N,16.74,6,IPP,8.921,-0.051873602
2V1,4.3,6,IPP,5.114,-2.4704976
7F0,11.2,6,IPP,9.26,0.14017685
0B9,12.11,6,IPP,11.15,1.0040942
2Q0,3.21,6,IPP,6.117,-1.7861297
91O,15.86,6,IPP,7.260999,-1.099404
4Q6,3.22,6,IPP,6.4810004,-1.6717339
4Q6,3.22,6,IPP,9.231999,0.16435789
6L4,8.2,6,IPP,7.8259993,-0.80092925
6L4,8.2,6,IPP,5.571,-1.9642559
41N,16.74,6,IPP,8.518001,-0.36896002
2I1,10.27,6,IPP,7.1080003,-1.4155558
77V,16.15,6,IPP,5.3170004,-2.005772
2C0,11.0,6,IPP,8.07,-0.68010294
7F0,11.2,6,IPP,3.873,-2.8965514
8B3,13.09,6,IPP,7.0199995,-1.3262434
91O,15.86,6,IPP,9.797999,0.39249772
4Q6,3.22,6,IPP,6.0950003,-2.0523827
4Q6,3.22,6,IPP,10.332,0.6239788
4Q6,3.22,6,IPP,8.209001,-0.7711169
4Q6,3.22,6,IPP,5.91,-1.7535418
4Q6,3.22,6,IPP,8.404,-0.18974738
4Q6,3.22,6,IPP,14.412,3.2257476
4Q6,3.22,6,IPP,6.356,-1.7302074
2V1,4.3,6,IPP,3.471,-3.3814046
7F0,11.2,6,IPP,14.353,3.1794868
7F0,11.2,6,IPP,9.594999,0.43610665
3E4,11.99,6,IPP,9.316,0.26313576
1P5,6.21,6,IPP,6.7790003,-1.3907791
2Q0,3.21,6,IPP,7.71,-0.74029976
2Q0,3.21,6,IPP,4.1410003,-2.8900013
1L1,8.17,6,IPP,7.576001,-0.964881
8B3,13.09,6,IPP,12.611,2.3044455
2T6,5.18,6,IPP,4.2019997,-3.0405352
2T6,5.18,6,IPP,6.729,-1.4608825
4Q6,3.22,6,IPP,9.953,0.4305467
4Q6,3.22,6,IPP,6.7419996,-1.4288523
4Q6,3.22,6,IPP,5.965,-1.7620987
6L4,8.2,6,IPP,8.933,0.09033099
41N,16.74,6,IPP,11.606,1.7268163
41N,16.74,6,IPP,12.485,2.042885
41N,16.74,6,IPP,12.857,2.349017
2V1,4.3,6,IPP,4.6829996,-2.5013871
2V1,4.3,6,IPP,9.406,0.29850513
7F0,11.2,6,IPP,13.035001,2.4373858
7F0,11.2,6,IPP,10.778999,0.8320906
7F0,11.2,6,IPP,13.131999,2.2802286
1T9,4.11,6,IPP,5.498,-2.264821
3E4,11.99,6,IPP,14.413,3.1628475
3E4,11.99,6,IPP,9.747999,0.39174485
2Q0,3.21,6,IPP,7.618,-0.9810487
2S6,3.17,6,IPP,6.525,-1.4073327
8B3,13.09,6,IPP,9.6779995,0.36776856
4Q6,3.22,6,IPP,10.7560005,1.0304866
4Q6,3.22,6,IPP,6.35,-1.9901638
4Q6,3.22,6,IPP,9.543,0.34278852
4Q6,3.22,6,IPP,4.9040003,-2.2076921
41N,16.74,6,IPP,12.939,2.2545297
41N,16.74,6,IPP,11.989,1.7973554
41N,16.74,6,IPP,14.585999,3.2139897
4S3,3.18,6,IPP,7.755,-0.70117337
2V1,4.3,6,IPP,11.736,1.6666858
7F0,11.2,6,IPP,8.441,-0.2975056
7F0,11.2,6,IPP,7.439,-0.92408246
7F0,11.2,6,IPP,14.416,3.6824014
74K,20.81,6,IPP,12.992,2.7486932
1T9,4.11,6,IPP,7.5769997,-0.9153536
1P5,6.21,6,IPP,7.2420006,-0.98056567
2T6,5.18,6,IPP,6.449,-1.6754545
91O,15.86,6,IPP,13.537,2.6879635
4Q6,3.22,6,IPP,4.584,-2.4712505
4Q6,3.22,6,IPP,8.181,-0.5015482
4Q6,3.22,6,IPP,7.134,-1.1421715
4Q6,3.22,6,IPP,9.182,0.18321504
41N,16.74,6,IPP,14.064,3.1990807
4S3,3.18,6,IPP,9.426001,0.105595395
2V1,4.3,6,IPP,4.3129997,-2.8808327
2V1,4.3,6,IPP,9.932,0.30586627
77V,16.15,6,IPP,15.137001,3.6594243
2C0,11.0,6,IPP,5.5840006,-1.9761502
74K,20.81,6,IPP,5.139,-2.2978818
2Q0,3.21,6,IPP,4.599,-2.5584073
4Q6,3.22,6,IPP,6.363,-1.3983257
4Q6,3.22,6,IPP,7.6899996,-0.7892756
41N,16.74,6,IPP,11.3949995,1.3294089
41N,16.74,6,IPP,8.208,-0.49559644
2V1,4.3,6,IPP,4.4170003,-2.631506
77V,16.15,6,IPP,5.2130003,-2.4426327
2C0,11.0,6,IPP,10.646,0.98155004
7F0,11.2,6,IPP,11.363999,1.1274675
7F0,11.2,6,IPP,14.929998,3.2591662
74K,20.81,6,IPP,10.705,1.158155
8C9,12.12,6,IPP,6.7599998,-1.5127269
1T9,4.11,6,IPP,3.189,-3.6254792
2C6,14.03,6,IPP,9.427,0.079912305
8I6,9.9,6,IPP,9.058,0.04295427
2Q0,3.21,6,IPP,7.2279997,-0.9559674
2S6,3.17,6,IPP,4.485,-3.2229512
5R4,6.25,6,IPP,4.437,-2.8514063
31S,17.0,6,IPP,10.7,0.76163214
4Q6,3.22,6,IPP,3.411,-3.314298
4Q6,3.22,6,IPP,4.3890004,-2.849216
6L4,8.2,6,IPP,9.009,0.028869553
6L4,8.2,6,IPP,6.0870004,-1.5752759
41N,16.74,6,IPP,10.157,0.6530601
41N,16.74,6,IPP,13.587999,2.424969
41N,16.74,6,IPP,13.881999,2.5857172
4S3,3.18,6,IPP,7.2580004,-1.0628898
4S3,3.18,6,IPP,9.398,0.14713445
4S3,3.18,6,IPP,7.75,-0.8149901
4S3,3.18,6,IPP,6.3079996,-1.6644604
7F0,11.2,6,IPP,10.443,0.87915885
7F0,11.2,6,IPP,12.924001,2.0284197
7F0,11.2,6,IPP,8.555,-0.41986284
7F0,11.2,6,IPP,8.12,-0.58237565
7F0,11.2,6,IPP,8.014999,-0.5686603
6O7,6.03,6,IPP,8.208,-0.60001737
6O7,6.03,6,IPP,12.995,2.479803
3E4,11.99,6,IPP,11.026999,1.1228557
2Q0,3.21,6,IPP,4.1140003,-2.7815876
4Q6,3.22,6,IPP,3.6369998,-2.856684
4Q6,3.22,6,IPP,5.4700003,-1.9941468
5H6,11.03,6,IPP,7.847,-0.6949288
6L4,8.2,6,IPP,9.139999,0.04082975
41N,16.74,6,IPP,10.854,1.019034
41N,16.74,6,IPP,12.964999,2.468434
41N,16.74,6,IPP,11.794001,1.493921
4S3,3.18,6,IPP,7.8,-0.8027479
1V8,4.31,6,IPP,11.432,1.3761292
2V1,4.3,6,IPP,7.424,-1.1263568
2C0,11.0,6,IPP,13.276001,2.573784
7F0,11.2,6,IPP,10.526,0.829348
7F0,11.2,6,IPP,6.9040003,-1.34564
1T9,4.11,6,IPP,4.761,-2.921565
2Q0,3.21,6,IPP,6.34,-1.4251395
37V,15.07,6,IPP,8.591,-0.40843466
8B3,13.09,6,IPP,4.8960004,-2.7033026
2T6,5.18,6,IPP,9.471,0.35895318
31S,17.0,6,IPP,12.200999,1.8609147
4Q6,3.22,6,IPP,6.13,-1.7750708
4Q6,3.22,6,IPP,4.9649997,-2.631144
4Q6,3.22,6,IPP,4.671,-2.3322065
5H6,11.03,6,IPP,9.283999,-0.0072306683
1V8,4.31,6,IPP,5.9740005,-1.911946
7F0,11.2,6,IPP,9.507,0.25290975
7F0,11.2,6,IPP,10.502001,0.77521497
0G3,9.1,6,IPP,10.039,0.70707786
74K,20.81,6,IPP,10.816999,1.3038794
6O7,6.03,6,IPP,9.477,0.07496611
3E4,11.99,6,IPP,7.6559997,-0.9013399
2Q0,3.21,6,IPP,5.099,-2.546577
2Q0,3.21,6,IPP,8.057,-0.48603967
2Q0,3.21,6,IPP,6.935,-1.4436833
4Q6,3.22,6,IPP,8.821,-0.16972855
41N,16.74,6,IPP,10.851,1.2442666
7F0,11.2,6,IPP,7.465,-0.84860754
7F0,11.2,6,IPP,7.5230002,-1.001967
3E4,11.99,6,IPP,9.082,-0.071537495
1P5,6.21,6,IPP,7.557,-0.94827557
2Q0,3.21,6,IPP,6.13,-1.7356668
2S6,3.17,6,IPP,8.683,-0.19496223
5R4,6.25,6,IPP,10.468,1.1666002
42T,15.96,6,IPP,6.421,-1.7994465
4Q6,3.22,6,IPP,5.7980003,-2.4367783
6L4,8.2,6,IPP,8.55,-0.26709598
1V8,4.31,6,IPP,5.925,-1.9550568
2V1,4.3,6,IPP,6.276,-1.7901442
7F0,11.2,6,IPP,8.182,-0.6327077
43N,17.0,6,IPP,8.699999,-0.13153923
3E4,11.99,6,IPP,11.82,1.7684264
3R7,3.32,6,IPP,7.634,-0.95826644
3R7,3.32,6,IPP,8.533,-0.5124255
55R,14.97,6,IPP,10.886999,1.1530632
4Q6,3.22,6,IPP,5.951,-1.7251277
