animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8M0,8.12,8,MB,12.648001,1.5993987
7F0,11.2,8,MB,15.020999,2.8221393
4J6,7.15,8,MB,8.649,-0.9765109
46Z,13.97,8,MB,8.597,-1.229982
3R7,3.32,8,MB,12.502,1.5654652
74K,20.81,8,MB,11.85,0.85157746
3E4,11.99,8,MB,9.217,-0.6068007
1T9,4.11,8,MB,11.656,0.93699574
2V1,4.3,8,MB,9.297999,-0.60076416
56K,19.93,8,MB,9.431,-0.5118027
6O7,6.03,8,MB,10.309999,-0.009235113
2C6,14.03,8,MB,11.134001,0.6419003
74K,20.81,8,MB,12.394999,1.2033195
6O7,6.03,8,MB,12.188,1.2977204
1P5,6.21,8,MB,11.668,0.84218454
37V,15.07,8,MB,11.389,0.73593366
2I1,10.27,8,MB,10.566,0.36840537
77V,16.15,8,MB,14.511,3.0299902
55R,14.97,8,MB,10.925,0.38250846
1P5,6.21,8,MB,11.384001,0.88290143
3R7,3.32,8,MB,12.884999,1.632604
55R,14.97,8,MB,10.74,0.1053247
1P5,6.21,8,MB,11.365999,0.8054115
3R7,3.32,8,MB,7.664,-1.6975741
3R7,3.32,8,MB,10.095999,-0.07015594
6L4,8.2,8,MB,10.917999,0.38187352
74K,20.81,8,MB,10.203,-0.10923219
1G8,7.88,8,MB,11.676001,0.85223204
4J6,7.15,8,MB,13.314,1.9942665
1L1,8.17,8,MB,10.417,0.13108581
82V,16.01,8,MB,9.648,-0.4477736
1P5,6.21,8,MB,10.771999,0.3174769
82V,16.01,8,MB,10.715,0.32226667
5R4,6.25,8,MB,15.086,3.0335863
43N,17.0,8,MB,12.94,1.7883031
0G3,9.1,8,MB,9.885,-0.2712002
2S6,3.17,8,MB,12.843,1.4480429
7F0,11.2,8,MB,13.392,2.0039554
82V,16.01,8,MB,11.560999,0.60604787
2S2,6.31,8,MB,13.167,2.073229
6L4,8.2,8,MB,8.356001,-1.4136949
1T9,4.11,8,MB,11.366,0.9075155
42T,15.96,8,MB,12.689,1.4990736
43N,17.0,8,MB,9.325,-0.676606
2I1,10.27,8,MB,13.238001,1.8096924
74K,20.81,8,MB,10.975,0.37675062
3E4,11.99,8,MB,8.566999,-1.0559299
7M4,8.15,8,MB,14.986,2.9467163
3E4,11.99,8,MB,12.137,1.2527391
6O7,6.03,8,MB,10.791,0.42091265
8M0,8.12,8,MB,12.066999,0.9976797
8M0,8.12,8,MB,12.648001,1.5308498
0G3,9.1,8,MB,11.153,0.40343145
37V,15.07,8,MB,14.304001,2.3377035
43N,17.0,8,MB,7.439,-1.9815171
6O7,6.03,8,MB,10.108999,-0.040297918
43N,17.0,8,MB,14.804001,3.067562
5H6,11.03,8,MB,9.386,-0.67567754
3R7,3.32,8,MB,13.4279995,1.8694528
2S2,6.31,8,MB,11.837999,0.9661733
0G3,9.1,8,MB,12.457001,1.3548038
4J6,7.15,8,MB,10.456001,0.18724102
6O7,6.03,8,MB,11.2039995,0.80819464
6L4,8.2,8,MB,9.57,-0.4536925
8C9,12.12,8,MB,9.842,-0.23596697
82V,16.01,8,MB,9.9539995,-0.19712104
2C6,14.03,8,MB,10.288,-0.087346844
50P,15.59,8,MB,10.845999,0.3332842
5H6,11.03,8,MB,11.074,0.4848264
