animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,9,M1,11.131,0.48393208
2F2,11.04,9,M1,12.428,1.5669221
7M4,8.15,9,M1,12.044001,1.287626
4J6,7.15,9,M1,11.469999,0.91352624
5H6,11.03,9,M1,12.061,1.5341542
2V1,4.3,9,M1,8.115,-1.6067225
7F0,11.2,9,M1,10.892,0.374103
1T9,4.11,9,M1,8.983001,-0.9043689
2C6,14.03,9,M1,9.486,-0.57468754
3E4,11.99,9,M1,10.148999,0.06344316
3E4,11.99,9,M1,13.108,1.7986703
1P5,6.21,9,M1,11.033999,0.44048563
2S2,6.31,9,M1,11.476,0.6574427
1G8,7.88,9,M1,8.684,-1.0141386
4Q6,3.22,9,M1,8.569,-1.2258207
7F0,11.2,9,M1,8.9869995,-0.7659127
56K,19.93,9,M1,8.477,-0.95181715
1T9,4.11,9,M1,11.015,0.41567594
55R,14.97,9,M1,11.830999,1.1170686
2T2,4.09,9,M1,9.131,-1.0190359
55R,14.97,9,M1,11.925,1.0963283
3D1,13.11,9,M1,8.709001,-0.98388374
1G8,7.88,9,M1,6.8900003,-2.4830098
1G8,7.88,9,M1,10.083,-0.13500968
5R4,6.25,9,M1,7.922,-1.4216305
42T,15.96,9,M1,8.433,-1.5290495
82V,16.01,9,M1,11.883,0.9661213
55R,14.97,9,M1,9.771001,-0.22996613
5R4,6.25,9,M1,11.433001,0.61226606
50P,15.59,9,M1,10.844,0.61269116
31S,17.0,9,M1,8.588999,-1.0363998
46Z,13.97,9,M1,9.684,-0.31092554
4J6,7.15,9,M1,8.733001,-0.94090027
41N,16.74,9,M1,12.309,1.2889968
56K,19.93,9,M1,10.658999,0.045354035
2C6,14.03,9,M1,10.6640005,0.08367514
55R,14.97,9,M1,10.976,0.37773818
55R,14.97,9,M1,15.2699995,3.140159
3T5,5.12,9,M1,9.566,-0.68924236
3T5,5.12,9,M1,9.8,-0.31760967
2T2,4.09,9,M1,6.4399996,-2.6818914
74K,20.81,9,M1,11.557001,0.9015122
2Q0,3.21,9,M1,7.7840004,-1.7840989
3D1,13.11,9,M1,10.365,0.17908765
3T5,5.12,9,M1,11.859,1.0403473
1G8,7.88,9,M1,6.771,-2.0741205
2F2,11.04,9,M1,8.993999,-0.7052985
8B3,13.09,9,M1,11.812,1.0853586
42T,15.96,9,M1,10.474,0.07435864
91O,15.86,9,M1,10.966,0.39172116
46Z,13.97,9,M1,7.018,-2.3134549
2V1,4.3,9,M1,6.238,-3.0907788
56K,19.93,9,M1,11.191999,0.6354774
2T2,4.09,9,M1,7.69,-1.5380685
3D1,13.11,9,M1,9.188,-0.86207163
1G8,7.88,9,M1,9.195,-0.65865684
2F2,11.04,9,M1,10.471999,0.14493778
4J6,7.15,9,M1,9.3619995,-0.4791532
43N,17.0,9,M1,12.1449995,1.4208326
2Q0,3.21,9,M1,5.738,-3.1756287
55R,14.97,9,M1,12.522,1.5835109
55R,14.97,9,M1,13.508,2.4530406
3T5,5.12,9,M1,11.356,0.63199
1G8,7.88,9,M1,8.259001,-1.2040907
8B3,13.09,9,M1,9.875001,-0.33300173
4J6,7.15,9,M1,9.0,-0.736246
5H6,11.03,9,M1,7.003,-2.377453
7F0,11.2,9,M1,9.547999,-0.4451758
