animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2F2,11.04,0,EC,11.382,0.85606736
2F2,11.04,0,EC,9.749001,-0.24795438
2V1,4.3,0,EC,9.173,-0.5332317
82V,16.01,0,EC,12.17,1.3420053
50P,15.59,0,EC,8.063,-1.0723519
5H6,11.03,0,EC,7.928,-1.1688359
3T5,5.12,0,EC,12.644,1.7030249
7M4,8.15,0,EC,13.770999,2.3349605
6L4,8.2,0,EC,8.929,-0.52680767
1P5,6.21,0,EC,7.9800005,-1.2841418
42T,15.96,0,EC,8.212999,-0.9318061
2T6,5.18,0,EC,12.453,1.4469799
82V,16.01,0,EC,13.508,2.4536097
82V,16.01,0,EC,12.146999,1.579138
2S2,6.31,0,EC,8.009,-1.3152193
6L4,8.2,0,EC,10.455999,0.12096997
82V,16.01,0,EC,10.925,0.58693445
2S6,3.17,0,EC,10.124,0.14070944
2T2,4.09,0,EC,7.0940003,-1.9033575
50P,15.59,0,EC,11.186999,1.07089
1L1,8.17,0,EC,8.118,-0.9443664
7F0,11.2,0,EC,8.704,-0.9478142
3E4,11.99,0,EC,10.289,0.17096889
1P5,6.21,0,EC,10.776999,0.4877013
2Q0,3.21,0,EC,7.914,-1.2920444
2Q0,3.21,0,EC,6.116,-2.5240803
2T2,4.09,0,EC,6.718,-2.17937
98V,16.03,0,EC,9.291999,-0.35849726
2F2,11.04,0,EC,11.42,0.9595104
6D9,13.11,0,EC,12.535,1.7219115
50P,15.59,0,EC,10.3359995,0.33072978
50P,15.59,0,EC,10.540999,0.599304
50P,15.59,0,EC,9.698,-0.18972652
8B3,13.09,0,EC,9.052,-0.5669245
5H6,11.03,0,EC,10.186999,0.19906834
5H6,11.03,0,EC,10.207001,0.03647177
0G3,9.1,0,EC,9.717,-0.09061347
56K,19.93,0,EC,9.400001,-0.32972753
1P5,6.21,0,EC,13.755,2.542326
91O,15.86,0,EC,10.026999,0.07398795
5H6,11.03,0,EC,11.818,1.2143954
1V8,4.31,0,EC,7.9729996,-1.0223167
1V8,4.31,0,EC,9.476,-0.28498706
1P5,6.21,0,EC,12.836,1.767202
2Q0,3.21,0,EC,11.346001,0.82712066
98V,16.03,0,EC,8.999,-0.5298066
2F2,11.04,0,EC,12.066999,1.3676671
2I1,10.27,0,EC,9.309,-0.25543386
2S2,6.31,0,EC,9.771001,-0.04714397
42T,15.96,0,EC,8.628,-0.9423868
0G3,9.1,0,EC,12.455,1.6439695
