animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
91O,15.86,10,mdTN,10.286,-0.291443
46Z,13.97,10,mdTN,11.954,0.8331054
6L4,8.2,10,mdTN,10.280001,-0.19584729
41N,16.74,10,mdTN,9.919001,-0.5090881
41N,16.74,10,mdTN,10.858999,0.14111416
41N,16.74,10,mdTN,10.079,-0.5113109
74K,20.81,10,mdTN,9.993,-0.35534915
82V,16.01,10,mdTN,10.281,-0.2982046
0B9,12.11,10,mdTN,10.400999,-0.26008382
0B9,12.11,10,mdTN,11.651999,0.63305604
1T9,4.11,10,mdTN,10.8689995,0.19665182
8I6,9.9,10,mdTN,11.690001,0.53242475
8I6,9.9,10,mdTN,8.311999,-1.5438961
4S3,3.18,10,mdTN,8.421,-1.2933713
4S3,3.18,10,mdTN,9.914999,-0.69213265
8M0,8.12,10,mdTN,10.826001,-0.0020935505
56R,14.95,10,mdTN,11.351999,0.6996512
2F2,11.04,10,mdTN,11.757001,0.6006059
97R,17.93,10,mdTN,10.957999,0.063787006
42T,15.96,10,mdTN,11.565001,0.5242199
46Z,13.97,10,mdTN,10.794,0.020155666
1V8,4.31,10,mdTN,10.283,-0.16169108
74K,20.81,10,mdTN,10.971999,0.33605766
56K,19.93,10,mdTN,11.434,0.5046943
1T9,4.11,10,mdTN,8.242,-1.8291839
8I6,9.9,10,mdTN,12.586,1.0700988
8I6,9.9,10,mdTN,10.468,-0.291664
4S3,3.18,10,mdTN,12.150999,0.85479164
2S2,6.31,10,mdTN,8.889999,-1.3069762
5R4,6.25,10,mdTN,9.59,-0.80019283
5R4,6.25,10,mdTN,8.147,-1.5839248
2T2,4.09,10,mdTN,12.299,1.2221422
46Z,13.97,10,mdTN,11.040999,0.28347164
5H6,11.03,10,mdTN,9.054,-0.8723494
6L4,8.2,10,mdTN,10.006999,-0.5516568
1L1,8.17,10,mdTN,8.919001,-1.088927
74K,20.81,10,mdTN,14.555,2.4670448
8C9,12.12,10,mdTN,8.101,-1.3788848
6O7,6.03,10,mdTN,12.183,1.0431743
2S2,6.31,10,mdTN,11.428999,0.57067364
42T,15.96,10,mdTN,10.432001,-0.30737936
4Q6,3.22,10,mdTN,10.733,0.063037395
2V1,4.3,10,mdTN,9.736,-0.4803049
2V1,4.3,10,mdTN,12.809999,1.1776478
43N,17.0,10,mdTN,10.016,-0.4634506
0B9,12.11,10,mdTN,9.729,-0.32571813
0B9,12.11,10,mdTN,11.868,0.7201934
6O7,6.03,10,mdTN,7.596999,-1.9305949
3E4,11.99,10,mdTN,10.986,0.09019248
8I6,9.9,10,mdTN,9.93,-0.36931825
8M0,8.12,10,mdTN,9.915999,-0.40017375
2S2,6.31,10,mdTN,11.297,0.34073547
3T5,5.12,10,mdTN,13.288,1.5678574
3T5,5.12,10,mdTN,8.918,-1.2112437
3R7,3.32,10,mdTN,9.8810005,-0.41600838
4J6,7.15,10,mdTN,11.497,0.5714553
0G3,9.1,10,mdTN,11.113,0.3675777
0B9,12.11,10,mdTN,9.091,-0.97340107
8C9,12.12,10,mdTN,10.491,-0.0036905643
1T9,4.11,10,mdTN,10.696,0.04547742
1T9,4.11,10,mdTN,9.6050005,-0.7705796
6O7,6.03,10,mdTN,8.127,-1.7411796
2C6,14.03,10,mdTN,11.3689995,0.6820182
2C6,14.03,10,mdTN,12.297999,1.1121824
2Q0,3.21,10,mdTN,7.5199995,-1.9030923
8B3,13.09,10,mdTN,13.211001,1.5407687
8B3,13.09,10,mdTN,9.065001,-1.0034771
4J6,7.15,10,mdTN,10.568999,-0.06309836
1V8,4.31,10,mdTN,11.889999,0.78826296
2V1,4.3,10,mdTN,10.728,0.116019845
77V,16.15,10,mdTN,8.801001,-1.24174
7F0,11.2,10,mdTN,9.653001,-0.35505658
74K,20.81,10,mdTN,13.334,1.6590768
82V,16.01,10,mdTN,10.057,-0.3539628
43N,17.0,10,mdTN,9.606999,-0.81951946
0B9,12.11,10,mdTN,10.386999,-0.04596441
1T9,4.11,10,mdTN,8.224,-1.7379717
6O7,6.03,10,mdTN,7.783,-2.1934812
1P5,6.21,10,mdTN,10.199,-0.4432523
8I6,9.9,10,mdTN,9.980001,-0.47550777
8I6,9.9,10,mdTN,12.255999,1.4586272
8I6,9.9,10,mdTN,9.540999,-0.8686426
2Q0,3.21,10,mdTN,10.141,-0.3886439
2S6,3.17,10,mdTN,10.824999,0.120118596
4S3,3.18,10,mdTN,10.107,-0.3608887
37V,15.07,10,mdTN,13.214002,1.5760322
3T5,5.12,10,mdTN,9.096999,-1.0224341
8B3,13.09,10,mdTN,11.750999,0.6481296
8B3,13.09,10,mdTN,9.098,-1.0084677
3R7,3.32,10,mdTN,5.993,-2.7260792
1V8,4.31,10,mdTN,9.649,-0.674508
43N,17.0,10,mdTN,14.113001,2.0818274
43N,17.0,10,mdTN,8.216,-1.8414787
2C6,14.03,10,mdTN,12.764,1.3222857
