animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,11,dlPFC,9.836,-1.3798018
3K1,9.01,11,dlPFC,14.089,1.4989747
55R,14.97,11,dlPFC,11.143,-0.6955422
55R,14.97,11,dlPFC,13.762999,1.259018
55R,14.97,11,dlPFC,12.353,0.15368079
55R,14.97,11,dlPFC,11.531,-0.32757354
91O,15.86,11,dlPFC,13.323,0.94155073
91O,15.86,11,dlPFC,13.783999,1.3273178
4J6,7.15,11,dlPFC,9.216001,-2.0835462
6O7,6.03,11,dlPFC,11.648,-0.28248632
3K1,9.01,11,dlPFC,9.113001,-2.1206253
55R,14.97,11,dlPFC,10.804,-0.7204163
2F2,11.04,11,dlPFC,10.475,-1.0045934
42T,15.96,11,dlPFC,12.05,-0.010333502
46Z,13.97,11,dlPFC,11.334,-0.32170755
8H2,10.13,11,dlPFC,12.218,0.17865624
77V,16.15,11,dlPFC,11.283999,-0.48934513
6O7,6.03,11,dlPFC,12.519,0.29668465
2C6,14.03,11,dlPFC,10.48,-1.091976
3E4,11.99,11,dlPFC,12.24,0.11313753
4S3,3.18,11,dlPFC,11.313999,-0.59183264
4S3,3.18,11,dlPFC,10.156,-1.3745861
77V,16.15,11,dlPFC,9.963999,-1.3765042
3K1,9.01,11,dlPFC,11.864,-0.050921958
8H2,10.13,11,dlPFC,10.787001,-1.1576906
42T,15.96,11,dlPFC,12.961,0.5885121
41N,16.74,11,dlPFC,9.589,-1.6099232
77V,16.15,11,dlPFC,11.329,-0.5425264
2C6,14.03,11,dlPFC,9.992999,-1.4055216
3E4,11.99,11,dlPFC,11.961,-0.2216423
1P5,6.21,11,dlPFC,10.537,-1.1603764
1P5,6.21,11,dlPFC,10.033999,-1.4246154
4J6,7.15,11,dlPFC,10.591999,-1.0943866
77V,16.15,11,dlPFC,13.790998,1.5010114
2S2,6.31,11,dlPFC,9.717,-1.6206597
55R,14.97,11,dlPFC,13.338,1.135274
8H2,10.13,11,dlPFC,11.411,-0.511703
6O7,6.03,11,dlPFC,11.271,-0.5440903
2S2,6.31,11,dlPFC,10.083999,-1.2317039
3K1,9.01,11,dlPFC,9.542,-1.8634105
3T5,5.12,11,dlPFC,9.596999,-1.6713041
8H2,10.13,11,dlPFC,9.903999,-1.6131572
6L4,8.2,11,dlPFC,11.256,-0.6860697
2C6,14.03,11,dlPFC,12.809999,0.611972
3E4,11.99,11,dlPFC,11.294,-0.42882693
4S3,3.18,11,dlPFC,10.874,-0.9053122
4S3,3.18,11,dlPFC,10.214001,-1.330694
3T5,5.12,11,dlPFC,10.31,-1.1043887
97R,17.93,11,dlPFC,13.622,1.0235841
91O,15.86,11,dlPFC,13.405001,1.2005403
5H6,11.03,11,dlPFC,10.963999,-0.6599978
5H6,11.03,11,dlPFC,13.583,1.0298668
41N,16.74,11,dlPFC,9.4939995,-1.5386076
41N,16.74,11,dlPFC,12.4939995,0.34358928
7F0,11.2,11,dlPFC,10.388,-0.8900972
0B9,12.11,11,dlPFC,13.667999,1.1511445
0B9,12.11,11,dlPFC,10.575,-0.9064528
2C6,14.03,11,dlPFC,11.735,-0.15405548
77V,16.15,11,dlPFC,12.753,0.47618893
8H2,10.13,11,dlPFC,9.194,-2.1302156
6L4,8.2,11,dlPFC,11.054,-0.7706903
41N,16.74,11,dlPFC,14.925,2.2722254
77V,16.15,11,dlPFC,12.124,0.14410745
74K,20.81,11,dlPFC,13.999001,1.5269271
56K,19.93,11,dlPFC,14.343999,1.7530591
8C9,12.12,11,dlPFC,10.592,-1.2785084
1T9,4.11,11,dlPFC,9.906,-1.7793907
2C6,14.03,11,dlPFC,11.652999,-0.15926427
3R7,3.32,11,dlPFC,9.1779995,-2.2211103
55R,14.97,11,dlPFC,13.965001,1.5001931
8H2,10.13,11,dlPFC,9.341001,-1.7259611
31S,17.0,11,dlPFC,13.617999,1.1103495
8H2,10.13,11,dlPFC,14.455,1.6516855
5H6,11.03,11,dlPFC,11.083,-0.57050735
4J6,7.15,11,dlPFC,8.485,-2.2844446
4J6,7.15,11,dlPFC,11.386001,-0.36247522
2I1,10.27,11,dlPFC,12.029,-0.109200336
77V,16.15,11,dlPFC,9.941999,-1.3386167
56K,19.93,11,dlPFC,12.5060005,0.1840855
2C6,14.03,11,dlPFC,12.858,0.62830675
2C6,14.03,11,dlPFC,9.954,-1.278255
77V,16.15,11,dlPFC,10.938,-0.6465257
3K1,9.01,11,dlPFC,11.120001,-0.71109885
5R4,6.25,11,dlPFC,7.1879997,-3.3509347
41N,16.74,11,dlPFC,12.654,0.4601831
2I1,10.27,11,dlPFC,10.999,-0.7087548
2V1,4.3,11,dlPFC,11.42,-0.4525776
56K,19.93,11,dlPFC,11.572,-0.30322772
0B9,12.11,11,dlPFC,12.285,0.39539728
0B9,12.11,11,dlPFC,12.55,0.29146335
3R7,3.32,11,dlPFC,9.093,-1.9132258
55R,14.97,11,dlPFC,8.018999,-3.1469228
55R,14.97,11,dlPFC,11.941999,-0.08348149
42T,15.96,11,dlPFC,12.466,0.3092933
8H2,10.13,11,dlPFC,14.229999,1.5203551
41N,16.74,11,dlPFC,12.2439995,0.16422077
41N,16.74,11,dlPFC,11.337,-0.3682163
74K,20.81,11,dlPFC,11.425,-0.4329756
4S3,3.18,11,dlPFC,10.398001,-1.2614919
77V,16.15,11,dlPFC,10.985001,-0.76398087
98V,16.03,11,dlPFC,12.824,0.6485046
6L4,8.2,11,dlPFC,13.242,0.8336007
77V,16.15,11,dlPFC,9.221999,-1.8228033
82V,16.01,11,dlPFC,14.109001,1.4824517
6O7,6.03,11,dlPFC,11.615,-0.3305301
2C6,14.03,11,dlPFC,12.239,0.42028573
3E4,11.99,11,dlPFC,10.67,-0.8954248
3E4,11.99,11,dlPFC,8.903001,-2.269356
2S2,6.31,11,dlPFC,8.323,-2.6609306
8H2,10.13,11,dlPFC,9.884,-1.3413624
98V,16.03,11,dlPFC,13.563001,1.1732305
2F2,11.04,11,dlPFC,10.591001,-0.852876
2F2,11.04,11,dlPFC,12.078,0.19121541
8B3,13.09,11,dlPFC,14.625999,1.9915648
5H6,11.03,11,dlPFC,10.722,-0.8778424
4J6,7.15,11,dlPFC,12.525,0.2735097
6L4,8.2,11,dlPFC,6.2650003,-4.0143533
74K,20.81,11,dlPFC,16.598999,3.4592142
74K,20.81,11,dlPFC,9.382,-2.0716074
0B9,12.11,11,dlPFC,9.415999,-1.9252781
2C6,14.03,11,dlPFC,11.742,-0.18320504
2C6,14.03,11,dlPFC,11.476999,-0.39892963
2C6,14.03,11,dlPFC,9.312,-2.1273353
3E4,11.99,11,dlPFC,11.643999,-0.1809065
8B3,13.09,11,dlPFC,11.929999,0.051983643
2C6,14.03,11,dlPFC,13.0529995,0.76628125
3T5,5.12,11,dlPFC,10.405,-1.1898257
5R4,6.25,11,dlPFC,9.553999,-1.6278934
8B3,13.09,11,dlPFC,11.906,-0.034874316
4Q6,3.22,11,dlPFC,6.9379997,-3.7783444
4J6,7.15,11,dlPFC,11.8029995,-0.0044879224
41N,16.74,11,dlPFC,14.561999,1.8917706
41N,16.74,11,dlPFC,12.479,0.43603912
74K,20.81,11,dlPFC,14.780001,1.9708607
2C6,14.03,11,dlPFC,10.482,-0.96931607
3E4,11.99,11,dlPFC,10.791,-0.760632
77V,16.15,11,dlPFC,12.966001,0.64039963
3D1,13.11,11,dlPFC,11.3,-0.46589658
98V,16.03,11,dlPFC,12.6970005,0.44333082
42T,15.96,11,dlPFC,12.587999,0.52667594
41N,16.74,11,dlPFC,10.625999,-0.7908323
82V,16.01,11,dlPFC,12.467,0.37039688
6O7,6.03,11,dlPFC,10.945,-1.0017347
6O7,6.03,11,dlPFC,8.024,-2.82564
6D9,13.11,11,dlPFC,8.199,-2.2533584
55R,14.97,11,dlPFC,11.723,-0.38837424
8H2,10.13,11,dlPFC,12.995,0.66858006
42T,15.96,11,dlPFC,11.657,-0.15727362
82V,16.01,11,dlPFC,10.08,-1.3419093
2C6,14.03,11,dlPFC,9.441,-1.8637849
2C6,14.03,11,dlPFC,11.767,-0.12788987
2C6,14.03,11,dlPFC,11.295,-0.70462316
2C6,14.03,11,dlPFC,11.757001,-0.087525524
4S3,3.18,11,dlPFC,11.804999,-0.07560814
82V,16.01,11,dlPFC,12.074999,0.028993225
0B9,12.11,11,dlPFC,11.657,-0.16950376
3D1,13.11,11,dlPFC,13.460001,1.1571788
2F2,11.04,11,dlPFC,10.786,-1.0313207
