animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8B3,13.09,12,ACC,11.885,0.6849048
2S6,3.17,12,ACC,11.882001,0.79826885
2C6,14.03,12,ACC,12.641,1.2913668
31S,17.0,12,ACC,11.184999,0.30695727
97R,17.93,12,ACC,10.571,-0.27762976
37V,15.07,12,ACC,14.233999,1.9120588
8M0,8.12,12,ACC,12.04,0.81167966
8M0,8.12,12,ACC,9.690001,-0.91247034
56R,14.95,12,ACC,14.849001,2.6923895
56R,14.95,12,ACC,11.780001,0.6725461
55R,14.97,12,ACC,11.459001,0.2632747
55R,14.97,12,ACC,11.672999,0.6317074
55R,14.97,12,ACC,5.1879997,-3.1619997
55R,14.97,12,ACC,9.7,-0.862747
55R,14.97,12,ACC,10.874001,0.00042018073
3T5,5.12,12,ACC,9.493,-0.8074995
3T5,5.12,12,ACC,10.785,-0.0699929
1G8,7.88,12,ACC,12.765,1.0532086
2T2,4.09,12,ACC,11.916,0.84013253
50P,15.59,12,ACC,8.326,-1.5941079
50P,15.59,12,ACC,9.094999,-1.087459
97R,17.93,12,ACC,14.754,2.2595892
97R,17.93,12,ACC,12.847,1.6037377
97R,17.93,12,ACC,9.004999,-1.5303924
8B3,13.09,12,ACC,11.514,0.3467406
8B3,13.09,12,ACC,12.3220005,1.1223652
42T,15.96,12,ACC,14.031,2.2151177
42T,15.96,12,ACC,12.315001,0.95158136
42T,15.96,12,ACC,10.286,-0.4351457
42T,15.96,12,ACC,12.384,0.9391376
2T6,5.18,12,ACC,7.929,-1.8301449
2T6,5.18,12,ACC,9.03,-0.962893
31S,17.0,12,ACC,10.657001,-0.012328205
31S,17.0,12,ACC,10.325999,-0.26034993
31S,17.0,12,ACC,13.914999,1.8845458
31S,17.0,12,ACC,12.246,0.94897383
42T,15.96,12,ACC,10.109,-0.33608478
6L4,8.2,12,ACC,10.134001,-0.39037466
41N,16.74,12,ACC,11.773,0.54878265
41N,16.74,12,ACC,12.679001,1.3081149
41N,16.74,12,ACC,10.085,-0.49047133
41N,16.74,12,ACC,11.474001,0.20191474
