animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8B3,13.09,2,HIP,12.536,1.1241351
91O,15.86,2,HIP,9.842001,-0.5981647
2C6,14.03,2,HIP,14.246,2.663145
2C6,14.03,2,HIP,8.017,-1.4784446
3E4,11.99,2,HIP,10.184999,-0.3526579
3E4,11.99,2,HIP,13.0,1.545829
5R4,6.25,2,HIP,9.9869995,-0.647676
2T2,4.09,2,HIP,10.711,-0.011131018
50P,15.59,2,HIP,10.114,-0.3308011
2I1,10.27,2,HIP,8.15,-1.8645536
82V,16.01,2,HIP,13.341001,1.6598066
3E4,11.99,2,HIP,10.602,-0.0077138036
1P5,6.21,2,HIP,8.236,-1.6410893
1P5,6.21,2,HIP,11.45,0.61385065
8I6,9.9,2,HIP,12.528999,1.1504651
50P,15.59,2,HIP,10.706999,-0.05649723
74K,20.81,2,HIP,10.967,0.18571697
74K,20.81,2,HIP,16.438,3.743124
0B9,12.11,2,HIP,8.704,-1.1813241
2C6,14.03,2,HIP,7.614001,-2.118068
8I6,9.9,2,HIP,11.117999,0.41155356
2Q0,3.21,2,HIP,9.031,-0.9943231
2Q0,3.21,2,HIP,6.718,-2.4708843
56R,14.95,2,HIP,14.905001,2.5158844
8C9,12.12,2,HIP,14.623999,2.6403966
8I6,9.9,2,HIP,12.676,1.303852
37V,15.07,2,HIP,11.087,0.296542
2T2,4.09,2,HIP,8.411,-1.6239173
31S,17.0,2,HIP,14.071001,2.669469
46Z,13.97,2,HIP,8.433001,-1.317331
56K,19.93,2,HIP,14.407,2.3803134
43N,17.0,2,HIP,13.397,1.7557999
8C9,12.12,2,HIP,12.195,1.0996813
3E4,11.99,2,HIP,10.017,-0.23889282
3E4,11.99,2,HIP,10.988,0.22403406
3E4,11.99,2,HIP,10.668,-0.24188223
1P5,6.21,2,HIP,8.615,-1.3805149
1P5,6.21,2,HIP,13.67,2.0366282
1P5,6.21,2,HIP,7.41,-2.2511075
8I6,9.9,2,HIP,11.226999,0.31488037
8I6,9.9,2,HIP,11.408999,0.6821855
4S3,3.18,2,HIP,7.8269997,-2.3153996
3T5,5.12,2,HIP,9.264,-0.90976536
5R4,6.25,2,HIP,9.422999,-0.86885566
98V,16.03,2,HIP,10.086,-0.21976973
50P,15.59,2,HIP,9.465,-0.7411499
8B3,13.09,2,HIP,7.7559996,-2.0862858
77V,16.15,2,HIP,12.8949995,1.5901625
7M4,8.15,2,HIP,11.804,0.8937957
46Z,13.97,2,HIP,11.587,0.6544788
56K,19.93,2,HIP,12.211,0.85923773
6O7,6.03,2,HIP,9.139999,-0.933188
3E4,11.99,2,HIP,12.08,0.71846336
37V,15.07,2,HIP,13.053999,1.6067449
2S2,6.31,2,HIP,8.8220005,-0.9821943
50P,15.59,2,HIP,13.162,1.7635131
77V,16.15,2,HIP,12.941999,1.3118521
77V,16.15,2,HIP,9.593,-0.71266824
77V,16.15,2,HIP,10.370001,-0.18682031
0G3,9.1,2,HIP,13.358,1.7369514
0B9,12.11,2,HIP,12.9279995,1.4385893
0B9,12.11,2,HIP,14.047999,2.2062385
0B9,12.11,2,HIP,13.658,2.0205193
0B9,12.11,2,HIP,11.439001,0.6064501
3E4,11.99,2,HIP,9.347,-0.7748352
3T5,5.12,2,HIP,9.794001,-0.43838313
3T5,5.12,2,HIP,10.221,-0.29713622
1G8,7.88,2,HIP,8.816999,-0.9873544
50P,15.59,2,HIP,10.921,0.21274622
2I1,10.27,2,HIP,7.6400003,-2.1386006
74K,20.81,2,HIP,9.13,-1.0872045
6O7,6.03,2,HIP,8.315,-1.6853958
2C6,14.03,2,HIP,11.309999,0.35934874
3E4,11.99,2,HIP,12.001999,0.73663485
3T5,5.12,2,HIP,10.354,-0.18285975
1G8,7.88,2,HIP,11.184999,0.26051003
31S,17.0,2,HIP,11.733999,0.65726125
8I6,9.9,2,HIP,8.811999,-1.0111862
2S2,6.31,2,HIP,9.365,-1.1491506
3T5,5.12,2,HIP,6.632,-2.9172685
5R4,6.25,2,HIP,11.204,0.3182781
8B3,13.09,2,HIP,10.811,0.18693374
5H6,11.03,2,HIP,10.737001,0.060096644
2V1,4.3,2,HIP,9.576,-0.7000558
0G3,9.1,2,HIP,13.4019985,1.9941876
6O7,6.03,2,HIP,11.548,0.6170242
2C6,14.03,2,HIP,12.156,1.0109339
3E4,11.99,2,HIP,11.844999,0.7468209
3T5,5.12,2,HIP,8.524,-1.465335
6O7,6.03,2,HIP,5.7920003,-3.0124788
3E4,11.99,2,HIP,11.999999,0.85065544
2Q0,3.21,2,HIP,8.137,-1.4342033
55R,14.97,2,HIP,10.043,-0.43870974
50P,15.59,2,HIP,9.195999,-1.0174284
4Q6,3.22,2,HIP,11.232,0.5807978
5H6,11.03,2,HIP,10.371,-0.1579428
77V,16.15,2,HIP,10.202001,-0.28513244
82V,16.01,2,HIP,14.152,2.2846913
0B9,12.11,2,HIP,11.193,0.21456762
8C9,12.12,2,HIP,6.832999,-2.6124995
3E4,11.99,2,HIP,7.9969993,-1.6372906
1P5,6.21,2,HIP,8.648,-1.4447004
4S3,3.18,2,HIP,8.882001,-0.92058235
42T,15.96,2,HIP,12.422,1.4375347
6L4,8.2,2,HIP,12.632,1.4677956
3E4,11.99,2,HIP,11.804998,0.8239625
1P5,6.21,2,HIP,10.299999,-0.20351262
2Q0,3.21,2,HIP,9.691,-0.58101404
2S2,6.31,2,HIP,10.183001,-0.24522233
3D1,13.11,2,HIP,12.726999,1.30446
3T5,5.12,2,HIP,7.081,-2.4114916
50P,15.59,2,HIP,10.531,-0.14770772
2V1,4.3,2,HIP,8.757,-1.1299567
74K,20.81,2,HIP,12.139,1.0379982
6O7,6.03,2,HIP,8.328,-1.4128247
3E4,11.99,2,HIP,12.267,1.0860995
3E4,11.99,2,HIP,11.523,0.36774203
3E4,11.99,2,HIP,8.667001,-1.2272104
3E4,11.99,2,HIP,11.837999,0.6789238
