animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3D1,13.11,3,CN,15.316999,2.1423008
1G8,7.88,3,CN,10.779,-1.1889993
1G8,7.88,3,CN,10.546,-1.2397251
1G8,7.88,3,CN,15.315999,2.312002
1G8,7.88,3,CN,11.136,-0.9379685
98V,16.03,3,CN,13.960001,1.0135235
98V,16.03,3,CN,12.75,0.3586451
2F2,11.04,3,CN,12.8289995,0.2938161
2F2,11.04,3,CN,14.275999,1.3777775
2F2,11.04,3,CN,12.459,0.1472306
97R,17.93,3,CN,10.979,-0.77587026
8B3,13.09,3,CN,12.423999,0.18145941
2T6,5.18,3,CN,12.358,-0.16909419
46Z,13.97,3,CN,13.523001,1.112818
46Z,13.97,3,CN,13.554001,0.88453734
77V,16.15,3,CN,13.894,1.4152606
77V,16.15,3,CN,10.806,-0.9240781
77V,16.15,3,CN,14.040998,1.1677355
77V,16.15,3,CN,11.231,-0.6738892
77V,16.15,3,CN,12.85,0.47317725
77V,16.15,3,CN,12.437,0.09718548
0G3,9.1,3,CN,11.408001,-0.5779084
74K,20.81,3,CN,14.378,1.6266754
82V,16.01,3,CN,11.92,-0.29310596
0B9,12.11,3,CN,11.136001,-0.96965504
8C9,12.12,3,CN,11.523001,-0.46753317
1P5,6.21,3,CN,14.372999,1.7224994
1P5,6.21,3,CN,14.357,1.6240712
8I6,9.9,3,CN,14.290998,1.489779
8I6,9.9,3,CN,11.052,-0.7030164
8I6,9.9,3,CN,12.288,-0.13682659
37V,15.07,3,CN,12.536001,0.13582772
56R,14.95,3,CN,9.971,-1.9912832
3D1,13.11,3,CN,10.7630005,-1.1482792
3T5,5.12,3,CN,14.367999,1.2853283
2F2,11.04,3,CN,14.195,1.409771
2F2,11.04,3,CN,11.191,-0.8699037
7M4,8.15,3,CN,12.192999,-0.27258104
7M4,8.15,3,CN,14.118001,1.488347
7M4,8.15,3,CN,13.954,1.3047078
7M4,8.15,3,CN,9.019,-2.6693766
97R,17.93,3,CN,10.946001,-1.0793023
2T6,5.18,3,CN,8.899,-2.7441885
46Z,13.97,3,CN,9.9279995,-1.9860939
46Z,13.97,3,CN,11.35,-0.56458
