animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3R7,3.32,6,NAc,4.6699996,-3.5315478
3R7,3.32,6,NAc,5.6400003,-2.698053
3R7,3.32,6,NAc,8.615999,-1.003758
3R7,3.32,6,NAc,10.884001,0.26678193
3R7,3.32,6,NAc,6.599,-2.481953
3R7,3.32,6,NAc,8.337999,-1.310887
3R7,3.32,6,NAc,13.719,1.8881925
3R7,3.32,6,NAc,5.896,-2.907254
3R7,3.32,6,NAc,9.836,-0.4179603
2S2,6.31,6,NAc,11.716999,0.797034
3K1,9.01,6,NAc,13.7769985,1.9667631
3K1,9.01,6,NAc,9.084999,-0.4878177
3K1,9.01,6,NAc,13.971001,1.9837842
3K1,9.01,6,NAc,13.590001,1.9021522
5R4,6.25,6,NAc,6.793,-2.1391408
5R4,6.25,6,NAc,8.563,-1.1154255
5R4,6.25,6,NAc,8.868,-0.8584659
50P,15.59,6,NAc,13.047,1.4303453
8B3,13.09,6,NAc,9.688,-0.4118979
8B3,13.09,6,NAc,11.886999,0.74960756
31S,17.0,6,NAc,14.783,2.791028
1T9,4.11,6,NAc,9.004999,-0.6779835
1T9,4.11,6,NAc,8.7890005,-1.0354935
4S3,3.18,6,NAc,7.7600007,-1.454201
4S3,3.18,6,NAc,7.3130007,-1.7163589
91O,15.86,6,NAc,11.549001,0.6921395
91O,15.86,6,NAc,14.239,1.9917182
91O,15.86,6,NAc,13.958,2.1894174
91O,15.86,6,NAc,15.261,3.0396574
41N,16.74,6,NAc,12.504999,1.2557359
2I1,10.27,6,NAc,5.9479995,-2.4825423
1V8,4.31,6,NAc,7.343,-1.7977527
7F0,11.2,6,NAc,11.308001,0.625224
74K,20.81,6,NAc,14.802,2.4759974
74K,20.81,6,NAc,14.990001,2.580027
74K,20.81,6,NAc,12.864,1.7567601
74K,20.81,6,NAc,14.073999,2.0049014
82V,16.01,6,NAc,6.643,-1.9659445
1T9,4.11,6,NAc,9.339,-0.4843977
6O7,6.03,6,NAc,9.094,-0.8763324
6O7,6.03,6,NAc,7.648,-1.6201234
2C6,14.03,6,NAc,10.744,0.11713939
2C6,14.03,6,NAc,12.914,1.5256222
3E4,11.99,6,NAc,10.914,0.33952424
3E4,11.99,6,NAc,12.688,1.2395892
1P5,6.21,6,NAc,9.011,-1.0123999
1P5,6.21,6,NAc,10.235001,-0.09554214
1P5,6.21,6,NAc,8.342,-1.4259387
1P5,6.21,6,NAc,8.2,-1.2258546
2Q0,3.21,6,NAc,7.6260004,-2.089369
2S6,3.17,6,NAc,9.347001,-0.66506207
2S6,3.17,6,NAc,6.2349997,-2.3402374
3R7,3.32,6,NAc,7.5290003,-1.7096378
3R7,3.32,6,NAc,9.516001,-0.5316165
3R7,3.32,6,NAc,7.281999,-1.8073353
3R7,3.32,6,NAc,8.811,-0.9063667
3R7,3.32,6,NAc,5.323,-3.0456386
3K1,9.01,6,NAc,10.307001,-0.029621888
3K1,9.01,6,NAc,14.094,2.3993666
3K1,9.01,6,NAc,8.365999,-1.0998294
5R4,6.25,6,NAc,12.047999,0.7039412
2T2,4.09,6,NAc,9.1050005,-0.72751355
98V,16.03,6,NAc,11.288,0.48783156
50P,15.59,6,NAc,12.386001,1.0549623
50P,15.59,6,NAc,13.358999,1.6816705
42T,15.96,6,NAc,12.716,1.4295601
42T,15.96,6,NAc,14.653,2.57827
42T,15.96,6,NAc,9.202001,-0.6750441
2T6,5.18,6,NAc,7.308,-1.9352841
77V,16.15,6,NAc,11.4279995,0.76199955
4S3,3.18,6,NAc,12.411,1.3108579
91O,15.86,6,NAc,14.956999,2.5735552
91O,15.86,6,NAc,10.952001,0.33355197
5H6,11.03,6,NAc,9.799,-0.49916562
2I1,10.27,6,NAc,11.416,0.4994771
1L1,8.17,6,NAc,10.332999,-0.09185947
2V1,4.3,6,NAc,8.694,-1.0028596
7F0,11.2,6,NAc,14.315,2.4887862
74K,20.81,6,NAc,11.726001,0.7267129
43N,17.0,6,NAc,10.998001,0.25712377
1T9,4.11,6,NAc,4.4659996,-3.4895303
1T9,4.11,6,NAc,8.336,-0.9941783
3E4,11.99,6,NAc,12.7,1.46173
3E4,11.99,6,NAc,11.258,0.577283
3E4,11.99,6,NAc,7.003,-1.905
3E4,11.99,6,NAc,11.453,0.7083758
1P5,6.21,6,NAc,9.26,-0.78459734
1P5,6.21,6,NAc,11.153999,0.5215726
1P5,6.21,6,NAc,4.714,-3.1767147
1P5,6.21,6,NAc,10.506999,0.05505595
2S6,3.17,6,NAc,5.665,-2.6987057
2S6,3.17,6,NAc,10.003,-0.194638
3R7,3.32,6,NAc,7.296,-2.0066824
3R7,3.32,6,NAc,5.413,-3.2706125
3R7,3.32,6,NAc,7.953,-1.2914302
3R7,3.32,6,NAc,5.9119997,-2.9124892
3R7,3.32,6,NAc,14.211,2.7659113
3K1,9.01,6,NAc,10.34,-0.11913671
3K1,9.01,6,NAc,8.979001,-0.81379265
3T5,5.12,6,NAc,7.418,-1.741354
98V,16.03,6,NAc,11.153999,0.5680816
50P,15.59,6,NAc,12.858999,1.7278886
50P,15.59,6,NAc,11.717999,0.6226042
7M4,8.15,6,NAc,11.594999,0.8746661
42T,15.96,6,NAc,10.809,0.34806663
42T,15.96,6,NAc,10.126,-0.127298
42T,15.96,6,NAc,14.025999,2.0677383
42T,15.96,6,NAc,10.311,-0.12653804
42T,15.96,6,NAc,8.647,-1.1847929
42T,15.96,6,NAc,11.246,0.5416347
42T,15.96,6,NAc,6.5309997,-2.4696934
42T,15.96,6,NAc,7.3060007,-1.7160465
2T6,5.18,6,NAc,7.981,-1.3728718
2T6,5.18,6,NAc,7.1879997,-2.0413744
2T6,5.18,6,NAc,7.5509996,-1.5592145
7F0,11.2,6,NAc,9.306999,-0.51044
1T9,4.11,6,NAc,9.465,-0.5454116
2C6,14.03,6,NAc,12.702,1.3711281
4S3,3.18,6,NAc,6.07,-2.5955346
4S3,3.18,6,NAc,6.8919997,-2.093142
4S3,3.18,6,NAc,9.59,-0.5136245
91O,15.86,6,NAc,13.340001,1.6701008
4Q6,3.22,6,NAc,5.69,-2.5507588
6L4,8.2,6,NAc,10.568999,0.2683816
6L4,8.2,6,NAc,10.693999,0.16808513
6L4,8.2,6,NAc,11.399,0.71037304
6L4,8.2,6,NAc,11.2160015,0.6230123
41N,16.74,6,NAc,11.660001,0.7791203
41N,16.74,6,NAc,12.825999,1.3194168
2I1,10.27,6,NAc,12.579,1.2708141
2V1,4.3,6,NAc,5.871,-2.2689679
2V1,4.3,6,NAc,11.35,0.5670681
74K,20.81,6,NAc,12.214001,0.9135015
74K,20.81,6,NAc,13.577001,1.7511926
74K,20.81,6,NAc,11.935999,0.91283494
82V,16.01,6,NAc,9.738001,-0.4111491
43N,17.0,6,NAc,13.235001,1.8527819
1T9,4.11,6,NAc,9.631,-0.33541232
6O7,6.03,6,NAc,9.504999,-0.47398925
2C6,14.03,6,NAc,11.471001,0.61760134
3E4,11.99,6,NAc,14.844999,2.4198833
3E4,11.99,6,NAc,10.594,0.18711519
1P5,6.21,6,NAc,8.665,-1.0945024
1P5,6.21,6,NAc,7.637,-1.6850421
2Q0,3.21,6,NAc,4.258,-3.543213
3R7,3.32,6,NAc,6.160001,-2.6159377
3R7,3.32,6,NAc,7.689,-1.7506754
3R7,3.32,6,NAc,6.592,-2.3502774
3R7,3.32,6,NAc,11.440001,0.51609874
3R7,3.32,6,NAc,9.837999,-0.331036
3R7,3.32,6,NAc,7.682,-1.4004047
3T5,5.12,6,NAc,5.759,-3.2017024
5R4,6.25,6,NAc,11.525999,0.85436124
2T2,4.09,6,NAc,11.374999,0.5812678
50P,15.59,6,NAc,11.946001,1.2179135
42T,15.96,6,NAc,5.5439997,-3.033321
42T,15.96,6,NAc,11.741,0.7313012
42T,15.96,6,NAc,10.51,0.016776763
2T6,5.18,6,NAc,6.0550003,-2.6349356
31S,17.0,6,NAc,11.330999,0.5242456
2I1,10.27,6,NAc,12.078,0.8466721
82V,16.01,6,NAc,13.238001,1.7625116
2C6,14.03,6,NAc,13.408,1.953478
2C6,14.03,6,NAc,8.465,-1.1040266
2C6,14.03,6,NAc,13.662,2.0642235
91O,15.86,6,NAc,11.035999,0.4171136
91O,15.86,6,NAc,10.493,-0.012393955
46Z,13.97,6,NAc,4.1299996,-3.4995131
4J6,7.15,6,NAc,9.500999,-0.45772055
6L4,8.2,6,NAc,10.861,0.37874824
6L4,8.2,6,NAc,7.254,-1.7280346
41N,16.74,6,NAc,16.684,3.5572515
41N,16.74,6,NAc,8.173,-1.6460885
41N,16.74,6,NAc,9.673,-0.399245
2I1,10.27,6,NAc,13.108999,1.4887135
1L1,8.17,6,NAc,11.211,0.46191603
1L1,8.17,6,NAc,5.615,-2.43063
1V8,4.31,6,NAc,9.406,-0.5215956
77V,16.15,6,NAc,7.229,-1.971838
7F0,11.2,6,NAc,11.797,0.767594
74K,20.81,6,NAc,17.905,4.549707
74K,20.81,6,NAc,14.247999,2.4355626
0B9,12.11,6,NAc,12.292,0.95295066
0B9,12.11,6,NAc,8.731001,-0.7930838
8C9,12.12,6,NAc,7.049,-2.0240834
1T9,4.11,6,NAc,5.9890003,-2.5264454
1T9,4.11,6,NAc,8.757,-0.7791218
1T9,4.11,6,NAc,8.905001,-0.7800603
2C6,14.03,6,NAc,6.3690004,-2.3658268
3E4,11.99,6,NAc,13.591001,2.0561779
3E4,11.99,6,NAc,12.474001,0.9508097
1P5,6.21,6,NAc,8.604,-1.0124142
3R7,3.32,6,NAc,11.812,0.827303
3R7,3.32,6,NAc,4.5169997,-3.2390535
3R7,3.32,6,NAc,3.3709998,-3.9311867
3R7,3.32,6,NAc,7.3509994,-1.8664554
3R7,3.32,6,NAc,7.889,-1.7088475
3R7,3.32,6,NAc,11.669001,0.91684455
3R7,3.32,6,NAc,9.032,-0.72254646
3R7,3.32,6,NAc,6.098,-3.0361555
8M0,8.12,6,NAc,7.4700003,-1.5035197
8M0,8.12,6,NAc,8.662,-0.97481674
2S2,6.31,6,NAc,11.622,0.5716839
3K1,9.01,6,NAc,8.664,-0.8900004
3K1,9.01,6,NAc,14.184,2.0333781
1G8,7.88,6,NAc,6.055,-2.4485145
98V,16.03,6,NAc,13.779001,1.9446516
50P,15.59,6,NAc,8.121,-1.4912512
50P,15.59,6,NAc,7.9110003,-1.4968759
50P,15.59,6,NAc,5.1879997,-2.6485114
8B3,13.09,6,NAc,13.808001,2.1522202
8B3,13.09,6,NAc,11.246,0.57783866
8B3,13.09,6,NAc,11.239,0.444845
8B3,13.09,6,NAc,15.525999,3.2345548
42T,15.96,6,NAc,11.652999,0.72779244
42T,15.96,6,NAc,9.88,-0.5826539
42T,15.96,6,NAc,10.257,-0.17534885
31S,17.0,6,NAc,11.387,0.6424069
31S,17.0,6,NAc,8.921999,-0.8763873
31S,17.0,6,NAc,13.852,1.9846275
31S,17.0,6,NAc,13.338999,1.6275527
31S,17.0,6,NAc,7.393,-1.9440291
77V,16.15,6,NAc,13.756999,1.9850334
4S3,3.18,6,NAc,9.115999,-0.71293014
