animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
42T,15.96,8,IPP,10.108,-0.90870905
4Q6,3.22,8,IPP,7.2899995,-2.6389647
4J6,7.15,8,IPP,11.238999,-0.10157288
6L4,8.2,8,IPP,10.083,-0.9203511
41N,16.74,8,IPP,11.643001,0.069068715
77V,16.15,8,IPP,11.226,-0.25309083
7F0,11.2,8,IPP,11.092999,-0.207925
7F0,11.2,8,IPP,10.653999,-0.64346045
0G3,9.1,8,IPP,10.813001,-0.646382
3E4,11.99,8,IPP,9.4939995,-1.1480931
8I6,9.9,8,IPP,9.603999,-1.3151631
1L1,8.17,8,IPP,11.546,-0.0082983
2V1,4.3,8,IPP,12.7699995,0.7797614
0B9,12.11,8,IPP,11.875,0.48819515
6O7,6.03,8,IPP,8.874,-1.8396091
1L1,8.17,8,IPP,11.974001,0.28457272
8B3,13.09,8,IPP,11.252999,-0.116645575
41N,16.74,8,IPP,9.730999,-1.0364045
41N,16.74,8,IPP,11.108,-0.34471822
41N,16.74,8,IPP,11.019,-0.40425476
41N,16.74,8,IPP,13.373001,1.5075958
7F0,11.2,8,IPP,11.8359995,0.19127008
7F0,11.2,8,IPP,10.813,-0.47375318
1P5,6.21,8,IPP,10.491999,-0.5420601
8I6,9.9,8,IPP,10.207999,-1.149945
2T6,5.18,8,IPP,9.504999,-1.1296245
91O,15.86,8,IPP,10.833,-0.40850517
4Q6,3.22,8,IPP,11.4,0.015055677
4J6,7.15,8,IPP,7.746001,-2.5514836
6L4,8.2,8,IPP,12.424,0.47399727
6L4,8.2,8,IPP,11.166,-0.32183528
6L4,8.2,8,IPP,11.308001,-0.04248702
1V8,4.31,8,IPP,9.232,-1.1950953
7F0,11.2,8,IPP,12.160999,0.49824265
7F0,11.2,8,IPP,11.481,0.10171044
7F0,11.2,8,IPP,11.422999,-0.024495397
7F0,11.2,8,IPP,9.988999,-1.0437727
7F0,11.2,8,IPP,8.592001,-1.6639239
2C6,14.03,8,IPP,8.837999,-1.796693
1L1,8.17,8,IPP,9.064,-1.624744
2T6,5.18,8,IPP,11.925,0.3818473
31S,17.0,8,IPP,13.773,1.3934963
91O,15.86,8,IPP,12.029,0.23749056
7F0,11.2,8,IPP,13.875,1.5217235
7F0,11.2,8,IPP,13.204,1.0543287
7F0,11.2,8,IPP,10.7,-0.5261799
74K,20.81,8,IPP,13.686,1.5393579
56K,19.93,8,IPP,10.808999,-0.56732965
43N,17.0,8,IPP,10.570001,-0.8823517
2S6,3.17,8,IPP,8.269,-2.0873175
42T,15.96,8,IPP,11.132,-0.34995148
4J6,7.15,8,IPP,11.538,0.20362747
2I1,10.27,8,IPP,11.253,-0.24553132
7F0,11.2,8,IPP,11.842999,0.13264437
7F0,11.2,8,IPP,11.556999,-0.11562009
43N,17.0,8,IPP,12.059999,0.42009583
8C9,12.12,8,IPP,11.643,0.2078768
8I6,9.9,8,IPP,13.8029995,1.7359687
91O,15.86,8,IPP,9.886,-0.8893782
4S3,3.18,8,IPP,13.114,0.92276484
2V1,4.3,8,IPP,11.381,-0.08757608
77V,16.15,8,IPP,9.305,-1.483839
2C0,11.0,8,IPP,10.5720005,-0.5374879
7F0,11.2,8,IPP,12.483999,0.5639254
43N,17.0,8,IPP,14.859001,2.4031749
8I6,9.9,8,IPP,11.285999,-0.21700956
2S6,3.17,8,IPP,10.471999,-0.75959206
8B3,13.09,8,IPP,13.081999,1.1785592
42T,15.96,8,IPP,10.561,-0.42015865
42T,15.96,8,IPP,10.608999,-0.7677951
41N,16.74,8,IPP,11.462,-0.007933347
7F0,11.2,8,IPP,12.946001,1.2213384
74K,20.81,8,IPP,10.101999,-0.9345049
1T9,4.11,8,IPP,11.733999,0.23157142
2Q0,3.21,8,IPP,13.244,1.055628
42T,15.96,8,IPP,11.639999,-0.039789375
31S,17.0,8,IPP,13.805998,1.5642604
4Q6,3.22,8,IPP,13.104999,1.2925808
4Q6,3.22,8,IPP,12.088,0.3383744
6L4,8.2,8,IPP,9.316,-1.5436826
2I1,10.27,8,IPP,11.704,0.08041487
2V1,4.3,8,IPP,9.429999,-1.3408469
7F0,11.2,8,IPP,12.028,0.30758426
7F0,11.2,8,IPP,10.306,-1.062337
2C6,14.03,8,IPP,10.808001,-0.41091326
2C6,14.03,8,IPP,10.258,-0.7620566
1P5,6.21,8,IPP,11.842999,0.27278492
1P5,6.21,8,IPP,16.013998,2.967101
2Q0,3.21,8,IPP,10.509,-0.6745049
1G8,7.88,8,IPP,13.15,1.2431936
31S,17.0,8,IPP,11.790999,0.25204742
31S,17.0,8,IPP,13.384,0.9919557
4Q6,3.22,8,IPP,10.726999,-0.60794634
4Q6,3.22,8,IPP,12.000999,0.21595056
4J6,7.15,8,IPP,8.902,-1.7270163
41N,16.74,8,IPP,9.685999,-1.1112435
4S3,3.18,8,IPP,13.83,1.4994159
7F0,11.2,8,IPP,10.592,-0.57765
7F0,11.2,8,IPP,12.143999,0.4296178
56K,19.93,8,IPP,11.893999,0.3195992
8C9,12.12,8,IPP,8.031,-2.2921314
3E4,11.99,8,IPP,15.126001,2.274711
8I6,9.9,8,IPP,9.954,-0.9226268
31S,17.0,8,IPP,13.269,1.221291
4Q6,3.22,8,IPP,14.676999,1.9289546
5H6,11.03,8,IPP,10.792,-0.43608472
6L4,8.2,8,IPP,9.08,-1.6178445
41N,16.74,8,IPP,11.664,0.06606762
41N,16.74,8,IPP,13.506999,1.3299129
41N,16.74,8,IPP,9.736,-0.876566
