animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
97R,17.93,8,M1,7.658,-2.1773322
42T,15.96,8,M1,11.1970005,0.17693476
56K,19.93,8,M1,11.884,0.7904133
0B9,12.11,8,M1,11.329,0.225389
1T9,4.11,8,M1,11.592999,0.3622513
91O,15.86,8,M1,10.582001,-0.14011051
2T2,4.09,8,M1,11.462,0.41860834
74K,20.81,8,M1,12.506,1.2542173
56K,19.93,8,M1,12.210001,0.79892075
8C9,12.12,8,M1,10.712001,-0.06658351
1T9,4.11,8,M1,12.078,0.76809967
6O7,6.03,8,M1,11.176001,0.28343442
1P5,6.21,8,M1,10.956,0.19082163
2S6,3.17,8,M1,11.4800005,0.275256
3D1,13.11,8,M1,11.176,0.064369515
3D1,13.11,8,M1,10.226,-0.3193211
4S3,3.18,8,M1,10.757999,-0.11449451
5H6,11.03,8,M1,7.828,-1.9548949
1L1,8.17,8,M1,10.019,-0.63487476
1L1,8.17,8,M1,11.679,0.59266233
2S6,3.17,8,M1,9.391,-1.0015804
4S3,3.18,8,M1,12.186999,1.0517055
55R,14.97,8,M1,9.72,-0.711587
6D9,13.11,8,M1,12.126,0.8803626
37V,15.07,8,M1,12.502,1.0545366
3K1,9.01,8,M1,12.667,1.0763365
0B9,12.11,8,M1,13.491,1.9316715
2T2,4.09,8,M1,12.334001,1.132491
91O,15.86,8,M1,9.676,-0.9558897
4J6,7.15,8,M1,8.448999,-1.4922138
2S6,3.17,8,M1,7.8809996,-2.0701923
4J6,7.15,8,M1,10.421,-0.37894675
6O7,6.03,8,M1,9.375,-0.8564568
3D1,13.11,8,M1,9.212,-1.0372466
3D1,13.11,8,M1,8.063,-1.4989477
8B3,13.09,8,M1,13.891998,1.8818499
56K,19.93,8,M1,10.842001,-0.13083753
3D1,13.11,8,M1,11.465,0.5316643
56K,19.93,8,M1,11.848,0.73081106
1G8,7.88,8,M1,9.292999,-1.009876
1G8,7.88,8,M1,8.996,-1.0712268
77V,16.15,8,M1,9.017,-1.2352861
41N,16.74,8,M1,9.251,-0.79903287
6D9,13.11,8,M1,10.595999,-0.11551901
8M0,8.12,8,M1,13.917,1.9457544
8M0,8.12,8,M1,11.462999,0.47264782
2S2,6.31,8,M1,11.915,0.784297
31S,17.0,8,M1,11.959001,0.6838059
4J6,7.15,8,M1,9.815,-0.67244923
1T9,4.11,8,M1,8.407,-1.3733963
2Q0,3.21,8,M1,14.209,2.156991
2S6,3.17,8,M1,7.906999,-2.1141546
50P,15.59,8,M1,10.351,-0.14822589
4J6,7.15,8,M1,11.271001,0.26316178
4J6,7.15,8,M1,11.546,0.47087786
6O7,6.03,8,M1,13.341001,1.9543966
2C6,14.03,8,M1,12.842,1.4452966
8B3,13.09,8,M1,9.815001,-0.5472099
56R,14.95,8,M1,10.319,-0.30762297
8H2,10.13,8,M1,12.186999,0.91289717
5H6,11.03,8,M1,9.413,-0.8466111
8C9,12.12,8,M1,8.001,-1.826038
55R,14.97,8,M1,10.184999,-0.3786451
5R4,6.25,8,M1,9.891999,-0.46115115
91O,15.86,8,M1,11.494999,0.47052318
4J6,7.15,8,M1,11.163,0.45323017
74K,20.81,8,M1,12.948,1.6667368
8C9,12.12,8,M1,10.195001,-0.46760908
2Q0,3.21,8,M1,9.207999,-1.337883
3R7,3.32,8,M1,13.735001,1.7736473
8M0,8.12,8,M1,13.066999,1.551971
46Z,13.97,8,M1,9.587999,-0.6640578
56K,19.93,8,M1,8.124,-1.7827541
3E4,11.99,8,M1,9.2890005,-1.2615298
4S3,3.18,8,M1,11.026,0.1340628
3K1,9.01,8,M1,9.212,-1.0116241
55R,14.97,8,M1,11.0199995,0.14891392
31S,17.0,8,M1,11.66,0.5292338
4Q6,3.22,8,M1,11.773001,0.70069474
41N,16.74,8,M1,12.094,0.78496504
0G3,9.1,8,M1,10.569,-0.036509573
4S3,3.18,8,M1,11.332001,0.46781814
4S3,3.18,8,M1,8.120001,-1.9730983
56R,14.95,8,M1,10.762,-0.10249168
3T5,5.12,8,M1,13.144,2.041872
1G8,7.88,8,M1,11.860001,0.61878103
91O,15.86,8,M1,12.842001,1.1793578
6L4,8.2,8,M1,10.349001,-0.29019076
2S6,3.17,8,M1,12.041,0.76916
0G3,9.1,8,M1,13.055,1.4190505
82V,16.01,8,M1,10.345999,-0.4823896
2T2,4.09,8,M1,10.643,-0.32731175
37V,15.07,8,M1,11.150999,0.27445337
55R,14.97,8,M1,10.312,-0.40889847
1G8,7.88,8,M1,8.417001,-1.6827087
4Q6,3.22,8,M1,9.621,-0.68663096
2V1,4.3,8,M1,7.6169996,-1.7521064
0G3,9.1,8,M1,11.329,0.3254736
82V,16.01,8,M1,12.998999,1.5153334
2T2,4.09,8,M1,10.882001,-0.04205697
43N,17.0,8,M1,11.194001,0.2546248
8M0,8.12,8,M1,11.854001,0.62959176
42T,15.96,8,M1,10.573999,-0.06267792
77V,16.15,8,M1,11.402001,0.43784362
0B9,12.11,8,M1,10.6050005,-0.038244244
1T9,4.11,8,M1,11.414,0.34317133
2Q0,3.21,8,M1,12.684999,1.2509562
31S,17.0,8,M1,10.141001,-0.4909287
4J6,7.15,8,M1,9.106,-1.1681584
2V1,4.3,8,M1,11.364,0.32969084
0B9,12.11,8,M1,9.398,-1.1814225
1T9,4.11,8,M1,11.522,0.3234752
2C6,14.03,8,M1,11.940001,1.0023774
55R,14.97,8,M1,10.495,-0.3258398
55R,14.97,8,M1,10.8220005,-0.05119991
8B3,13.09,8,M1,11.181,0.25908393
8B3,13.09,8,M1,10.639999,-0.047918655
2T6,5.18,8,M1,10.872,0.09891684
7F0,11.2,8,M1,10.455,-0.18714306
8B3,13.09,8,M1,12.782,1.2533748
8M0,8.12,8,M1,8.984,-1.1975121
1G8,7.88,8,M1,11.141,0.18546529
7M4,8.15,8,M1,14.143,2.4578047
31S,17.0,8,M1,11.15,0.09511197
6D9,13.11,8,M1,10.962999,0.14387636
56R,14.95,8,M1,9.886,-0.68397236
41N,16.74,8,M1,9.526,-0.7706573
43N,17.0,8,M1,10.2109995,-0.36554295
0B9,12.11,8,M1,13.011999,1.3672503
0B9,12.11,8,M1,11.04,0.09453217
1G8,7.88,8,M1,11.883,0.8221908
1G8,7.88,8,M1,11.500999,0.59434783
46Z,13.97,8,M1,13.665001,2.0401692
4J6,7.15,8,M1,9.205,-0.8606371
74K,20.81,8,M1,10.606001,-0.005455641
8C9,12.12,8,M1,11.348,0.222612
2S6,3.17,8,M1,9.026999,-1.1247646
37V,15.07,8,M1,9.427,-0.9345727
42T,15.96,8,M1,12.67,1.4697452
5H6,11.03,8,M1,9.917,-0.5942315
1T9,4.11,8,M1,11.474001,0.32744542
1T9,4.11,8,M1,11.386,0.4060456
2T2,4.09,8,M1,10.242,-0.22341116
77V,16.15,8,M1,12.093,1.0582541
2Q0,3.21,8,M1,10.482,-0.053444136
1G8,7.88,8,M1,11.275,0.30075803
2I1,10.27,8,M1,12.444,1.0699083
55R,14.97,8,M1,10.3029995,-0.45224053
43N,17.0,8,M1,8.578001,-1.3929639
8C9,12.12,8,M1,7.636,-1.9933212
6O7,6.03,8,M1,9.22,-1.1008447
6O7,6.03,8,M1,12.938001,1.581229
56R,14.95,8,M1,10.787999,0.014883691
8M0,8.12,8,M1,11.959001,0.8082138
42T,15.96,8,M1,13.617999,2.0641494
2C6,14.03,8,M1,8.866,-1.5509082
3E4,11.99,8,M1,11.636,0.45738873
0G3,9.1,8,M1,12.738001,1.0091171
0B9,12.11,8,M1,12.071001,0.77128285
8C9,12.12,8,M1,11.724,0.67942333
37V,15.07,8,M1,11.330999,0.35283887
55R,14.97,8,M1,8.526999,-1.7257622
55R,14.97,8,M1,9.955999,-0.54670346
0G3,9.1,8,M1,8.840999,-1.5509993
8H2,10.13,8,M1,11.545,0.5476857
8B3,13.09,8,M1,11.667999,0.57283896
7F0,11.2,8,M1,12.55,1.1613666
74K,20.81,8,M1,12.174,1.0047233
6O7,6.03,8,M1,10.517,-0.17809974
6O7,6.03,8,M1,11.446,0.5412759
3K1,9.01,8,M1,8.901,-1.2317436
42T,15.96,8,M1,12.494,1.0549439
56K,19.93,8,M1,11.455999,0.4297947
8C9,12.12,8,M1,11.485,0.3326939
2S6,3.17,8,M1,10.183,-0.59441525
2S2,6.31,8,M1,12.275999,0.8507356
55R,14.97,8,M1,12.698,1.1195105
8B3,13.09,8,M1,11.501,0.3632023
8B3,13.09,8,M1,11.768001,0.66798496
8B3,13.09,8,M1,10.265001,-0.27250385
4J6,7.15,8,M1,12.148001,0.69547147
2V1,4.3,8,M1,9.396,-0.93789005
56K,19.93,8,M1,12.261,0.79019207
6O7,6.03,8,M1,11.958001,1.0237597
8B3,13.09,8,M1,11.35,0.36947492
4J6,7.15,8,M1,11.497,0.4356481
8C9,12.12,8,M1,14.601001,2.3724904
3R7,3.32,8,M1,11.354,0.59826785
3D1,13.11,8,M1,10.462,-0.22815508
2F2,11.04,8,M1,8.047,-1.7840315
6L4,8.2,8,M1,10.372,-0.28763318
2Q0,3.21,8,M1,8.21,-1.842742
37V,15.07,8,M1,8.897,-1.2665702
8M0,8.12,8,M1,9.992,-0.56541616
3D1,13.11,8,M1,12.67,1.4200616
3T5,5.12,8,M1,11.146,0.25501037
8B3,13.09,8,M1,10.657999,-0.31678402
77V,16.15,8,M1,14.296999,2.3160882
2C6,14.03,8,M1,11.014,0.14673397
6D9,13.11,8,M1,8.308,-1.4837269
3R7,3.32,8,M1,10.018,-0.48444283
1G8,7.88,8,M1,12.456,1.1067373
46Z,13.97,8,M1,13.9279995,2.185346
77V,16.15,8,M1,9.572,-0.5481437
82V,16.01,8,M1,8.049,-1.8370265
56K,19.93,8,M1,10.439001,-0.24209069
56K,19.93,8,M1,11.252001,0.21188247
2C6,14.03,8,M1,11.199,0.34532765
3E4,11.99,8,M1,10.833,-0.17103902
3E4,11.99,8,M1,11.1779995,0.24193887
56R,14.95,8,M1,12.461,1.1795919
42T,15.96,8,M1,9.67,-0.59892297
5H6,11.03,8,M1,10.667,0.083278805
1V8,4.31,8,M1,11.991999,0.8724383
56K,19.93,8,M1,12.27,0.9633767
2S6,3.17,8,M1,8.618,-1.2133589
2S2,6.31,8,M1,12.893,1.1185064
8H2,10.13,8,M1,11.865001,0.88579595
7F0,11.2,8,M1,12.132,0.9976962
8C9,12.12,8,M1,8.937,-1.0616533
3E4,11.99,8,M1,10.413,-0.32369924
7F0,11.2,8,M1,11.591999,0.39156044
0B9,12.11,8,M1,10.679999,-0.023040503
8C9,12.12,8,M1,10.606999,-0.18791871
3E4,11.99,8,M1,10.377001,-0.41708517
2C6,14.03,8,M1,9.990999,-0.4942633
55R,14.97,8,M1,13.919001,1.8295672
8H2,10.13,8,M1,8.617,-1.3525673
8B3,13.09,8,M1,12.480999,1.0564452
46Z,13.97,8,M1,10.859999,0.15874827
0B9,12.11,8,M1,11.016,0.061320916
2S6,3.17,8,M1,11.218,0.33844635
55R,14.97,8,M1,11.689,0.54909617
91O,15.86,8,M1,10.974,0.15883917
3T5,5.12,8,M1,10.8029995,0.029624647
6L4,8.2,8,M1,11.128,0.066791736
2V1,4.3,8,M1,9.078,-1.2857376
74K,20.81,8,M1,9.356999,-1.0265628
91O,15.86,8,M1,10.785999,-0.040485073
6D9,13.11,8,M1,12.978,1.5319866
8H2,10.13,8,M1,7.5469995,-2.0024128
91O,15.86,8,M1,12.501001,1.1997311
5H6,11.03,8,M1,9.726999,-0.7310765
6L4,8.2,8,M1,10.363,-0.26659474
6L4,8.2,8,M1,8.547,-1.6073099
8C9,12.12,8,M1,12.82,1.4396926
4S3,3.18,8,M1,11.096,0.39717126
3R7,3.32,8,M1,12.9019985,1.5299839
5H6,11.03,8,M1,10.796,0.07053105
56K,19.93,8,M1,9.900999,-0.57659835
8I6,9.9,8,M1,9.404999,-0.9495007
2S2,6.31,8,M1,12.289,0.91879505
1G8,7.88,8,M1,11.2630005,0.44081223
8H2,10.13,8,M1,9.925,-0.6251387
46Z,13.97,8,M1,10.73,-0.020538535
0G3,9.1,8,M1,11.216,0.40447426
6L4,8.2,8,M1,9.662,-0.70218974
41N,16.74,8,M1,11.797999,0.62682056
8C9,12.12,8,M1,10.598999,-0.16468252
6O7,6.03,8,M1,11.651,0.37798488
4J6,7.15,8,M1,11.698999,0.5517951
0B9,12.11,8,M1,9.265,-1.0513953
2C6,14.03,8,M1,13.261999,1.4307638
6D9,13.11,8,M1,11.641,0.5928404
2S2,6.31,8,M1,8.739,-1.4749668
3K1,9.01,8,M1,9.957,-0.35903737
2F2,11.04,8,M1,13.3289995,1.5195597
2V1,4.3,8,M1,10.72,-0.20990363
0G3,9.1,8,M1,12.444,1.2786578
56K,19.93,8,M1,12.895999,1.5199502
1T9,4.11,8,M1,11.333,0.4269262
8H2,10.13,8,M1,8.563,-1.4712963
2S2,6.31,8,M1,8.967,-1.2617235
4J6,7.15,8,M1,10.215001,-0.38205096
2C6,14.03,8,M1,9.85,-0.64647907
2S6,3.17,8,M1,11.313,0.19282104
8M0,8.12,8,M1,10.473001,-0.20223337
3K1,9.01,8,M1,11.021001,0.07761149
5R4,6.25,8,M1,10.2699995,-0.27190357
55R,14.97,8,M1,11.216,0.45657793
6D9,13.11,8,M1,7.9180007,-1.9414278
50P,15.59,8,M1,10.618,-0.09464132
0G3,9.1,8,M1,14.315001,2.4452846
7F0,11.2,8,M1,10.72,-0.2024609
8C9,12.12,8,M1,12.948,1.4421196
3E4,11.99,8,M1,8.728,-1.3387803
8I6,9.9,8,M1,12.330999,1.191468
55R,14.97,8,M1,11.393,0.3469489
2T2,4.09,8,M1,9.032,-1.3457162
1G8,7.88,8,M1,13.545,1.645852
3K1,9.01,8,M1,9.005,-1.2012315
2T2,4.09,8,M1,11.382,0.23410325
2T2,4.09,8,M1,13.119,1.5022935
7M4,8.15,8,M1,12.356001,1.06871
31S,17.0,8,M1,10.508,-0.11276413
2Q0,3.21,8,M1,11.079,-0.03336014
2Q0,3.21,8,M1,10.205,-0.39831463
37V,15.07,8,M1,11.629,0.49599501
2S2,6.31,8,M1,8.450999,-1.4825989
1G8,7.88,8,M1,8.319,-1.5052855
4J6,7.15,8,M1,10.973001,0.16663039
77V,16.15,8,M1,12.306,0.9435087
0G3,9.1,8,M1,14.895001,2.5931838
8M0,8.12,8,M1,11.771001,0.73881686
2S2,6.31,8,M1,12.212,0.9767056
3D1,13.11,8,M1,11.923999,0.6700407
8H2,10.13,8,M1,13.033,1.3115195
50P,15.59,8,M1,9.751,-0.58390594
91O,15.86,8,M1,12.357,0.8293618
46Z,13.97,8,M1,9.002,-1.0136313
41N,16.74,8,M1,11.625,0.53934735
