animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2I1,10.27,8,lCb,10.497999,-0.49694338
7F0,11.2,8,lCb,8.038,-2.5719452
37V,15.07,8,lCb,12.791,0.96839935
43N,17.0,8,lCb,13.731,1.390698
4S3,3.18,8,lCb,10.608,-0.4628893
4J6,7.15,8,lCb,12.651,1.0109608
8B3,13.09,8,lCb,11.641,0.29257196
46Z,13.97,8,lCb,9.228999,-1.5950372
82V,16.01,8,lCb,12.445,0.68862087
1L1,8.17,8,lCb,11.3550005,0.046518464
3R7,3.32,8,lCb,10.618,-0.5830394
1L1,8.17,8,lCb,10.217,-0.76775306
50P,15.59,8,lCb,11.264999,0.0013826088
1L1,8.17,8,lCb,10.441,-0.4493438
74K,20.81,8,lCb,12.838,1.0740921
4S3,3.18,8,lCb,7.856,-2.1543663
1L1,8.17,8,lCb,11.188001,-0.083088644
1V8,4.31,8,lCb,11.559999,0.28785616
37V,15.07,8,lCb,12.429,0.73069984
41N,16.74,8,lCb,8.837999,-1.7900965
2V1,4.3,8,lCb,10.408,-0.49386004
97R,17.93,8,lCb,12.55,0.9313874
4J6,7.15,8,lCb,13.056,1.0088333
4Q6,3.22,8,lCb,10.155,-0.94029164
1L1,8.17,8,lCb,9.967,-0.8692591
2S6,3.17,8,lCb,11.95,0.52019614
82V,16.01,8,lCb,12.117001,0.5831654
7M4,8.15,8,lCb,11.346,0.004919357
3T5,5.12,8,lCb,10.825999,-0.43546402
50P,15.59,8,lCb,12.103001,0.6852569
3K1,9.01,8,lCb,12.153999,0.6850432
3K1,9.01,8,lCb,12.524,1.0289799
8B3,13.09,8,lCb,9.789999,-1.0120687
42T,15.96,8,lCb,8.1779995,-2.259837
31S,17.0,8,lCb,12.774,1.0868412
41N,16.74,8,lCb,11.306001,0.09535678
4S3,3.18,8,lCb,11.51,0.23344694
7F0,11.2,8,lCb,11.29,-0.03495132
8C9,12.12,8,lCb,12.0460005,0.5374873
2F2,11.04,8,lCb,12.2890005,0.6357612
6L4,8.2,8,lCb,11.177,0.0305038
1G8,7.88,8,lCb,12.005,0.3727398
50P,15.59,8,lCb,11.547,0.17034589
50P,15.59,8,lCb,12.499,0.8579579
5H6,11.03,8,lCb,13.75,2.0633664
3T5,5.12,8,lCb,11.393,0.075717546
56R,14.95,8,lCb,13.872,1.5900486
2C6,14.03,8,lCb,10.1050005,-0.80615455
97R,17.93,8,lCb,14.307001,1.9966092
74K,20.81,8,lCb,11.339,0.03350599
2C6,14.03,8,lCb,10.363,-0.48100024
50P,15.59,8,lCb,9.087,-1.6185074
46Z,13.97,8,lCb,11.797999,0.47014713
3K1,9.01,8,lCb,12.339,0.7788581
46Z,13.97,8,lCb,9.511,-1.3423688
91O,15.86,8,lCb,11.960001,0.31745756
8M0,8.12,8,lCb,10.119999,-0.82714576
50P,15.59,8,lCb,12.267,0.74571514
46Z,13.97,8,lCb,11.606001,0.21029666
6D9,13.11,8,lCb,10.201,-0.56209236
0G3,9.1,8,lCb,12.162001,0.5568997
43N,17.0,8,lCb,13.037,1.1034541
3T5,5.12,8,lCb,12.242001,0.64986837
3D1,13.11,8,lCb,13.402,1.4358369
7M4,8.15,8,lCb,10.559999,-0.38745782
3E4,11.99,8,lCb,11.193,-0.15847865
7M4,8.15,8,lCb,11.781,0.42048702
3D1,13.11,8,lCb,12.870001,1.0826026
8M0,8.12,8,lCb,9.208,-1.4138275
41N,16.74,8,lCb,12.002001,0.52127445
46Z,13.97,8,lCb,11.403,0.11234443
37V,15.07,8,lCb,10.75,-0.2932854
56R,14.95,8,lCb,11.941,0.5183417
7F0,11.2,8,lCb,12.045,0.6124645
74K,20.81,8,lCb,10.6119995,-0.4384064
3D1,13.11,8,lCb,9.503,-1.1767583
5H6,11.03,8,lCb,11.91,0.44727546
31S,17.0,8,lCb,10.603001,-0.4373322
