animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,9,MB,11.856999,2.123436
37V,15.07,9,MB,9.714,0.35637397
1G8,7.88,9,MB,10.08,0.48996782
98V,16.03,9,MB,6.852,-1.7162846
50P,15.59,9,MB,10.471,0.9623455
8B3,13.09,9,MB,9.460001,0.23074958
4Q6,3.22,9,MB,9.308001,0.007626032
4Q6,3.22,9,MB,8.516,-0.6033589
4Q6,3.22,9,MB,7.936,-1.017843
5H6,11.03,9,MB,11.077001,1.3495308
4J6,7.15,9,MB,7.8269997,-1.258881
4J6,7.15,9,MB,8.989,-0.26390854
4J6,7.15,9,MB,9.43,0.14088404
4J6,7.15,9,MB,8.809999,-0.4124508
1P5,6.21,9,MB,8.739,-0.40068173
6L4,8.2,9,MB,9.915,0.6770514
6L4,8.2,9,MB,9.323,0.014302982
6L4,8.2,9,MB,7.044,-1.8242342
6L4,8.2,9,MB,8.53,-0.507281
6L4,8.2,9,MB,8.61,-0.7859577
7F0,11.2,9,MB,9.867,0.49630097
0G3,9.1,9,MB,9.337,-0.031664774
1T9,4.11,9,MB,5.488,-2.6260302
2C6,14.03,9,MB,7.453,-1.5675964
2C6,14.03,9,MB,10.941999,1.1162374
3E4,11.99,9,MB,8.340001,-0.63698125
3E4,11.99,9,MB,11.589999,1.9399719
1P5,6.21,9,MB,10.101999,0.5044552
1P5,6.21,9,MB,9.811,0.32573894
2Q0,3.21,9,MB,7.539,-1.4993838
5H6,11.03,9,MB,9.219,-0.06364219
4J6,7.15,9,MB,8.700999,-0.42531994
55R,14.97,9,MB,9.212,-0.1533885
4Q6,3.22,9,MB,5.946,-2.666415
4Q6,3.22,9,MB,8.028,-1.242285
4Q6,3.22,9,MB,8.489,-0.6494087
5H6,11.03,9,MB,8.654,-0.6069508
5H6,11.03,9,MB,9.869,0.4049204
4J6,7.15,9,MB,9.254999,-0.016012741
4J6,7.15,9,MB,7.586,-1.30199
1L1,8.17,9,MB,8.142,-0.6356891
6L4,8.2,9,MB,7.2419996,-1.6885736
6L4,8.2,9,MB,7.85,-1.0859313
6L4,8.2,9,MB,9.765,0.22575963
1V8,4.31,9,MB,9.6970005,0.12945062
0G3,9.1,9,MB,9.103,-0.28647014
6O7,6.03,9,MB,9.806999,0.28409854
3E4,11.99,9,MB,7.364,-1.4096788
1P5,6.21,9,MB,11.386,1.5853904
4S3,3.18,9,MB,8.962999,-0.36896536
5H6,11.03,9,MB,10.089001,0.49685037
5H6,11.03,9,MB,8.99,-0.19484118
5H6,11.03,9,MB,8.229,-0.824377
5H6,11.03,9,MB,9.671,0.46956453
4J6,7.15,9,MB,7.4060006,-1.5769266
6D9,13.11,9,MB,11.5789995,1.9977858
37V,15.07,9,MB,11.906,2.1658726
2S2,6.31,9,MB,10.731,1.258597
2S2,6.31,9,MB,6.975,-1.6487474
55R,14.97,9,MB,7.8479996,-1.2217983
55R,14.97,9,MB,11.396,1.5046252
5R4,6.25,9,MB,8.523,-0.47315255
97R,17.93,9,MB,7.9129996,-1.1607215
8B3,13.09,9,MB,9.191,-0.014442513
8B3,13.09,9,MB,10.025,0.4645895
91O,15.86,9,MB,7.458,-1.589926
4Q6,3.22,9,MB,10.518001,0.9006289
5H6,11.03,9,MB,9.814,0.5976487
5H6,11.03,9,MB,8.309,-0.66261375
5H6,11.03,9,MB,8.893,-0.3001347
4J6,7.15,9,MB,7.53,-1.325517
56K,19.93,9,MB,10.289999,0.79262143
0B9,12.11,9,MB,5.9680004,-2.7947493
3E4,11.99,9,MB,12.241,1.8936068
3E4,11.99,9,MB,11.393,1.4478769
3E4,11.99,9,MB,6.332,-2.1545763
1P5,6.21,9,MB,8.94,-0.17822362
1P5,6.21,9,MB,10.892,1.1905748
1P5,6.21,9,MB,9.07,-0.20906533
2Q0,3.21,9,MB,7.3060007,-1.7264278
2S2,6.31,9,MB,10.41,0.9563988
3R7,3.32,9,MB,8.38,-0.621779
3R7,3.32,9,MB,11.815999,1.9832889
3R7,3.32,9,MB,7.889001,-1.0480537
2S2,6.31,9,MB,7.271,-1.5717851
8B3,13.09,9,MB,9.997,0.47715223
42T,15.96,9,MB,11.925,2.0122876
91O,15.86,9,MB,9.190001,-0.05087536
4Q6,3.22,9,MB,7.225,-1.5959135
4Q6,3.22,9,MB,8.433001,-0.47911325
5H6,11.03,9,MB,9.311,-0.02638543
4J6,7.15,9,MB,9.011999,-0.17290068
1P5,6.21,9,MB,11.267,1.4442626
1P5,6.21,9,MB,9.131,-0.24322174
1P5,6.21,9,MB,8.602,-0.6325376
1P5,6.21,9,MB,7.6810007,-1.2787099
6L4,8.2,9,MB,7.549,-1.458641
6L4,8.2,9,MB,10.152,0.5064186
2V1,4.3,9,MB,6.255,-2.4020412
74K,20.81,9,MB,8.712999,-0.4862658
82V,16.01,9,MB,12.594999,2.2666054
6O7,6.03,9,MB,7.8650002,-1.1901252
3E4,11.99,9,MB,6.4549994,-2.329369
4S3,3.18,9,MB,9.959,0.5573634
5H6,11.03,9,MB,11.358999,1.4738103
5H6,11.03,9,MB,9.191,-0.26391548
5H6,11.03,9,MB,7.3459997,-1.5355619
4J6,7.15,9,MB,9.091,-0.033878263
2S2,6.31,9,MB,9.775,0.30754784
7M4,8.15,9,MB,10.664999,0.8935931
8B3,13.09,9,MB,9.868,0.442255
5H6,11.03,9,MB,10.649,1.0563468
5H6,11.03,9,MB,8.731,-0.35066685
5H6,11.03,9,MB,7.45,-1.4332922
4J6,7.15,9,MB,7.175,-1.4524243
1P5,6.21,9,MB,7.778,-1.2193024
6L4,8.2,9,MB,9.145999,-0.21973486
1V8,4.31,9,MB,7.283,-1.5764784
2V1,4.3,9,MB,8.4210005,-0.8087915
82V,16.01,9,MB,9.706999,0.22129594
82V,16.01,9,MB,10.108999,0.67731714
8C9,12.12,9,MB,14.107999,3.2953298
1P5,6.21,9,MB,8.554999,-0.66288316
1P5,6.21,9,MB,9.912,0.52644396
1P5,6.21,9,MB,7.2790003,-1.5947155
2Q0,3.21,9,MB,8.953,-0.39643142
5H6,11.03,9,MB,6.2730002,-2.1427984
5H6,11.03,9,MB,7.8450003,-1.2216089
2S2,6.31,9,MB,10.08,0.78642255
2S2,6.31,9,MB,6.657,-1.8571653
2S2,6.31,9,MB,10.016001,0.44885096
7M4,8.15,9,MB,8.521,-0.62313014
91O,15.86,9,MB,11.352,1.6626487
4Q6,3.22,9,MB,9.0130005,-0.25275263
5H6,11.03,9,MB,7.9359994,-0.90358746
5H6,11.03,9,MB,8.211,-0.8676902
5H6,11.03,9,MB,6.099,-2.0563142
5H6,11.03,9,MB,8.513,-0.6924841
5H6,11.03,9,MB,8.135,-0.7586782
4J6,7.15,9,MB,8.532001,-0.61893106
4J6,7.15,9,MB,8.99,-0.2674925
4J6,7.15,9,MB,9.797,0.37864318
6L4,8.2,9,MB,8.451,-0.6601785
6L4,8.2,9,MB,11.148,1.4182014
7F0,11.2,9,MB,7.9240007,-1.0419887
82V,16.01,9,MB,8.842999,-0.38430753
1P5,6.21,9,MB,7.8299994,-0.97247887
5R4,6.25,9,MB,7.3270006,-1.4213289
2S2,6.31,9,MB,10.907,1.2571971
4J6,7.15,9,MB,9.511999,0.32496136
4J6,7.15,9,MB,9.291,-0.034812488
4J6,7.15,9,MB,10.012999,0.6232399
2S2,6.31,9,MB,7.414,-1.5613288
2S2,6.31,9,MB,8.86,-0.5125457
2S2,6.31,9,MB,8.405,-0.93872386
50P,15.59,9,MB,9.491,0.2503394
2T6,5.18,9,MB,9.304,-0.098831646
4Q6,3.22,9,MB,9.2109995,-0.066913694
4Q6,3.22,9,MB,8.794001,-0.41201353
4Q6,3.22,9,MB,6.7560005,-1.8604056
4Q6,3.22,9,MB,8.654,-0.57881105
4Q6,3.22,9,MB,4.932,-3.2975495
4Q6,3.22,9,MB,9.945001,0.30310535
5H6,11.03,9,MB,7.3830004,-1.4923334
5H6,11.03,9,MB,10.418,0.74534625
5H6,11.03,9,MB,7.5099998,-1.2671883
4J6,7.15,9,MB,7.947,-0.8749227
43N,17.0,9,MB,9.702001,0.25992215
6L4,8.2,9,MB,10.952,1.1975467
6L4,8.2,9,MB,10.164,0.6919482
6L4,8.2,9,MB,5.9550004,-2.69031
6L4,8.2,9,MB,9.233999,0.019410873
2I1,10.27,9,MB,6.572,-2.2556581
7F0,11.2,9,MB,9.276,0.1042555
0G3,9.1,9,MB,10.135,0.66083306
82V,16.01,9,MB,8.309,-0.80460006
82V,16.01,9,MB,9.622001,0.20473257
43N,17.0,9,MB,9.184,-0.12396285
3E4,11.99,9,MB,9.853999,0.38777214
1P5,6.21,9,MB,8.7300005,-0.6162493
2Q0,3.21,9,MB,6.2629995,-2.538738
4J6,7.15,9,MB,9.274,-0.034674305
4J6,7.15,9,MB,9.391001,-0.2038697
3R7,3.32,9,MB,8.343,-0.679443
3R7,3.32,9,MB,9.467,0.099196695
2S2,6.31,9,MB,9.621,0.32759032
2S2,6.31,9,MB,10.151999,0.66673243
3T5,5.12,9,MB,7.7230005,-1.040075
50P,15.59,9,MB,9.015999,-0.24056156
91O,15.86,9,MB,9.618001,0.20203327
4Q6,3.22,9,MB,9.964,0.6759844
6L4,8.2,9,MB,7.4329996,-1.2884873
6L4,8.2,9,MB,9.129,-0.21657069
41N,16.74,9,MB,7.3739996,-1.3538635
1L1,8.17,9,MB,11.672,1.7914333
5R4,6.25,9,MB,9.139,-0.05886819
3R7,3.32,9,MB,5.803,-2.683004
3R7,3.32,9,MB,5.438,-3.223886
37V,15.07,9,MB,7.722,-1.4640651
1G8,7.88,9,MB,9.017,-0.10703371
5R4,6.25,9,MB,9.707,0.15277664
7M4,8.15,9,MB,6.6660004,-2.1186314
4Q6,3.22,9,MB,6.739,-1.6736084
5H6,11.03,9,MB,9.477999,-0.02007419
4J6,7.15,9,MB,9.066999,-0.18519202
4J6,7.15,9,MB,7.7630005,-1.2669253
43N,17.0,9,MB,9.156,-0.14081676
2V1,4.3,9,MB,8.233999,-0.71378464
7F0,11.2,9,MB,11.735,1.6991882
74K,20.81,9,MB,12.012999,2.222833
82V,16.01,9,MB,9.99,0.5945124
3E4,11.99,9,MB,13.187999,3.166482
3E4,11.99,9,MB,7.8240004,-1.0612662
1P5,6.21,9,MB,10.198999,0.6750446
3R7,3.32,9,MB,6.754,-1.6827465
5H6,11.03,9,MB,8.203,-0.99409235
4J6,7.15,9,MB,7.6489997,-1.2107661
37V,15.07,9,MB,10.748,1.2343068
2S2,6.31,9,MB,7.571,-1.2849647
2S2,6.31,9,MB,6.27,-2.3901184
1G8,7.88,9,MB,8.653,-0.5354258
1G8,7.88,9,MB,9.1970005,-0.12088287
7M4,8.15,9,MB,10.3880005,1.0426295
5H6,11.03,9,MB,8.943001,-0.30829555
4J6,7.15,9,MB,8.658999,-0.450473
4J6,7.15,9,MB,6.0870004,-2.8856528
4J6,7.15,9,MB,9.818,0.32515854
6L4,8.2,9,MB,6.9639997,-1.4298037
1V8,4.31,9,MB,9.143999,-0.013025963
7F0,11.2,9,MB,9.722,0.38316986
82V,16.01,9,MB,6.8669996,-1.8008132
2C6,14.03,9,MB,7.9620004,-0.9580548
3E4,11.99,9,MB,10.094999,0.3419041
2Q0,3.21,9,MB,7.1419997,-1.5943733
4S3,3.18,9,MB,8.511,-0.5539587
3R7,3.32,9,MB,8.697,-0.43841055
5H6,11.03,9,MB,8.131,-0.73712176
3R7,3.32,9,MB,10.738999,0.8998694
56R,14.95,9,MB,11.809999,1.7637646
3T5,5.12,9,MB,6.7909994,-2.0263853
8B3,13.09,9,MB,10.696,1.2353318
91O,15.86,9,MB,10.353999,1.034069
91O,15.86,9,MB,9.99,0.5332049
4Q6,3.22,9,MB,9.384,-0.10314831
4Q6,3.22,9,MB,8.870001,-0.45033574
4Q6,3.22,9,MB,7.1730003,-1.6945176
4Q6,3.22,9,MB,10.2699995,0.58609766
5H6,11.03,9,MB,11.667999,1.664019
5H6,11.03,9,MB,10.947,1.1521633
4J6,7.15,9,MB,8.907,-0.37538496
1P5,6.21,9,MB,9.708,0.2733882
6L4,8.2,9,MB,7.825,-1.1740514
