louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,895,50,10.190555293072626,-0.049259637264916195,1.0551497105261263,0.0334,0.8178,0.0392,0.7869
2,2684,51,10.193116597988078,-0.0749272620925149,1.1884865588384463,0.6671,0.0,0.6609,0.0
4,344,49,10.442912689244185,-0.2740154426764535,0.9511365780780745,0.2638,0.067,0.3094,0.0305
5,953,48,10.059922298740817,-0.2957287061873033,1.1200761029730268,0.2604,0.0739,0.2708,0.0627
6,668,50,10.110884742964071,0.07505180058308382,1.1537197294590433,0.2865,0.0437,0.2721,0.0559
7,1814,51,10.51794202971334,-0.0349573060263065,1.1232025917894455,0.5188,0.0001,0.5106,0.0001
8,904,50,10.276038630752211,0.012534553613053095,1.0424189549145721,0.3352,0.0173,0.349,0.013
9,215,46,9.50427897116279,-0.3066105833088372,0.954454264004791,0.0104,0.9451,-0.0007,0.9963
11,1751,51,10.28139633500857,0.053542283743957746,1.1078724835118694,0.3181,0.0229,0.3292,0.0183
12,462,50,10.049365672510824,-0.2646815834991991,1.1021899478866468,0.2404,0.0926,0.2261,0.1144
13,245,47,11.629522409387755,-0.14524717901632658,1.1806460524760183,0.0178,0.9055,0.0311,0.8355
14,835,51,10.346784412335328,-0.05142210170754492,1.0492982182800095,0.1074,0.4531,0.1077,0.452
15,163,44,10.710472258282207,-0.07210181361226993,0.9132303679256037,0.0396,0.7983,0.0398,0.7977
16,394,49,10.354558257614212,0.013000972800507604,1.1640155205874294,0.3251,0.0226,0.2736,0.0571
17,1323,51,10.884111072486773,-0.1790352674473787,1.0577281466875177,0.4294,0.0017,0.4084,0.0029
19,1319,51,10.612306272100074,-0.12661051899480666,1.088820974903061,0.5618,0.0,0.5516,0.0
