louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,773,51,10.332116284087968,-0.14633032537580853,1.0290771091154118,0.1123,0.4329,0.1232,0.389
1,1235,50,10.429335898785425,-0.042672028107451826,1.0443601926354171,0.2165,0.1311,0.1666,0.2475
2,1314,52,10.247389607762557,-0.15859517239512938,1.141567015159274,0.4257,0.0017,0.421,0.0019
3,791,49,10.188361495195956,0.006049999165486727,1.028968357091934,0.0243,0.8684,0.0291,0.8427
4,215,48,11.234785974883723,-0.06263453265860466,1.028312591663648,-0.2776,0.0561,-0.2875,0.0476
5,360,46,9.446433274166667,-0.22515208840583334,0.9372708031573885,0.1422,0.3459,0.1579,0.2945
6,135,43,8.698629594074076,-0.5618693406888888,0.9024880261950717,0.1117,0.4757,0.0934,0.5514
7,1480,52,10.855637738851351,0.0020552249618783795,1.0993789648004209,0.4137,0.0023,0.4081,0.0027
8,1150,52,10.20759898452174,-0.11744586657384344,1.120946589923834,-0.0106,0.9408,-0.0082,0.9539
9,370,49,10.213948591081081,-0.18172146056486485,1.0657813620748353,0.044,0.764,0.0472,0.7475
11,1773,51,10.396441575070499,-0.17592307150744502,1.156560005374802,0.5448,0.0,0.5473,0.0
12,702,49,10.444256331339032,-0.048561115858119654,1.0330655541385916,0.245,0.0898,0.2315,0.1095
13,1971,52,10.642329666615932,-0.041960291597818375,1.1030259787914585,0.5021,0.0001,0.5008,0.0002
14,807,51,10.612794213382902,-0.17599827480607189,1.0322717360643134,0.2001,0.1592,0.1979,0.1638
15,147,42,9.765659784353742,-0.11292970465986399,1.0300992540446448,-0.0029,0.9853,-0.036,0.8211
16,530,52,9.91717730716981,-0.1349602085328302,1.1287694204599084,0.1403,0.3211,0.1279,0.3662
17,923,52,10.659031347887325,-0.1969023841945829,1.1157124480962488,0.2358,0.0925,0.2257,0.1077
18,537,51,10.829059545065176,-0.06724415487653632,0.999248149792161,-0.0983,0.4924,-0.1101,0.4419
19,846,52,10.718960975295508,-0.2758823753708038,1.1158665200513995,0.3172,0.022,0.3217,0.02
