louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,1217,51,9.443984283976992,-0.10063344844092029,0.9761700126733256,0.1936,0.1734,0.2005,0.1584
2,1462,50,8.68955810506156,-0.2457036279210226,1.1222268038057892,0.3082,0.0295,0.3115,0.0277
4,367,50,10.37277933160763,0.11784380143820164,1.028129206616203,0.0554,0.7026,0.0546,0.7064
5,858,51,9.204404535431236,-0.3912246894016317,1.116020359579872,0.256,0.0698,0.2371,0.0939
6,110,42,9.953709015454544,-0.33297879047727275,1.2092115740363354,0.2446,0.1185,0.2401,0.1256
7,1341,51,9.278090131170767,-0.1999828889090455,1.0953714725182588,0.5546,0.0,0.5528,0.0
8,998,51,10.102367662224449,-0.032489249076853695,1.0512661866732231,0.348,0.0123,0.3475,0.0125
9,172,42,8.852121986046512,-0.27964400098023257,1.0507864670912341,0.0842,0.5962,0.0868,0.5847
11,2171,50,8.916666007415937,-0.13309075523471212,1.1443634083341883,0.4537,0.0009,0.4607,0.0008
12,943,50,9.174781484941676,-0.17626704154209968,1.1032538755362817,0.2169,0.1303,0.238,0.0961
13,1111,51,9.772318562466246,-0.12590911679752473,1.0953755895529511,0.1961,0.1678,0.1938,0.1729
14,913,50,9.979091899342825,0.07833170843504929,1.1085494885080605,0.2772,0.0514,0.2811,0.048
15,522,50,8.874624423563219,-0.46097358945867817,0.9636736931532331,0.1684,0.2423,0.1604,0.2658
16,329,51,9.327635300607902,-0.19121465497537996,0.9606063308332011,0.0893,0.5331,0.0718,0.6166
17,1351,52,9.49685563427091,-0.1775306080292154,1.1117459943899375,0.2831,0.042,0.2762,0.0475
18,847,52,9.588715436363636,-0.1748084650097403,1.1062766713955183,0.2191,0.1186,0.2344,0.0945
19,839,51,9.175678131108462,-0.30358544385733016,1.0973299995667793,0.3974,0.0039,0.402,0.0035
