louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,3253,50,10.033298453765754,0.06431475371086383,1.1173720277238417,0.3275,0.0202,0.3037,0.032
1,947,43,9.831954486800422,0.151281107762302,1.0361293256734203,0.0051,0.9741,-0.0153,0.9224
2,2736,51,9.853068676864035,-0.04151744780105995,1.092333299942456,0.2192,0.1222,0.214,0.1315
3,1958,42,9.499077026557712,-0.07506992502149132,1.0028806327483075,0.0999,0.529,0.0792,0.6182
4,1669,49,11.16391598502097,0.016699563404194127,0.9664362784962099,0.0675,0.645,0.0761,0.6032
5,8007,52,10.452909143412013,-0.09622862314062519,1.0912157118497388,0.2229,0.1122,0.2047,0.1454
6,235,35,10.381067979148936,0.14774617784255323,1.084644870557734,0.1789,0.3038,0.1713,0.3252
7,8440,51,9.97382622299763,-0.1073215311186564,1.1380974955297416,0.2964,0.0347,0.2976,0.034
8,4315,50,10.226918759235227,0.06508067513247023,1.053005264244157,0.2274,0.1122,0.234,0.102
9,1048,45,10.597372001717558,0.03375732271740458,1.1061291394412252,0.2304,0.1278,0.2407,0.1111
11,4384,52,10.451956797376825,-0.0041131384785659175,1.2404201991381867,0.3693,0.0071,0.3849,0.0048
12,2480,48,9.572565713185485,-0.15355203578795565,1.0677567218879402,0.1912,0.1929,0.1708,0.2457
13,8009,51,9.980158016843552,-0.0941485165087931,1.0465371820323235,0.0958,0.5035,0.0653,0.6487
14,4890,51,10.243869046789365,-0.022222759618952967,1.0658840444752515,-0.0146,0.9189,0.0133,0.9264
15,4895,52,10.210890425291113,0.058263821258529115,1.0669692464411769,0.1902,0.1768,0.1925,0.1715
16,1660,46,10.361076401746988,-0.033445424505373494,1.102174552683593,-0.0395,0.7943,-0.0341,0.8218
17,6057,52,10.612513564999174,-0.06178539180269274,1.0949487958277808,0.2544,0.0688,0.2577,0.0651
18,4209,49,9.587480755405084,-0.02441533750807793,1.1957344284191462,0.1016,0.4871,0.0791,0.5889
19,6293,51,10.234491076386462,0.042196217818204595,1.1181575269648114,0.2477,0.0796,0.2398,0.0901
