louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,1088,45,10.240766437775735,0.09591003545191175,1.0104386412623962,-0.0241,0.8754,-0.0378,0.8051
1,263,35,11.818547384030419,0.0776635882471483,1.0649230703984252,-0.1419,0.4162,-0.1193,0.4948
2,3339,45,9.970161316591794,0.0558248937684049,1.09519736818587,0.4914,0.0006,0.4851,0.0007
3,894,45,11.207579377293067,0.06127995288458166,1.184304650834135,0.3203,0.0319,0.2993,0.0458
4,829,46,10.024606627141136,0.03908852556670688,1.042935706788158,-0.255,0.0873,-0.265,0.0751
5,463,46,9.329848636069114,-0.5719985173613392,1.3606643203150888,0.3105,0.0357,0.309,0.0366
6,215,43,10.656990615348837,0.42214065842111625,1.0326483323273334,0.1073,0.4934,0.1289,0.41
7,552,43,10.632469091847828,0.48555958800144927,1.1348342574154733,0.4415,0.003,0.4203,0.005
8,265,43,10.40268672528302,0.42242304565547173,1.1927089948888656,0.0068,0.9655,-0.0057,0.9709
9,679,46,10.637253208541974,0.20306100850162004,0.9235204965412889,-0.1749,0.2449,-0.1796,0.2323
10,1165,39,6.301274602746781,0.17429742594652362,2.162879576510992,0.3401,0.0341,0.3444,0.0318
11,3721,45,10.133967142515454,0.048085121702981994,1.189593868599352,0.5294,0.0002,0.5175,0.0003
12,1185,46,10.00928594835443,0.026930050218987346,1.1194158852917455,0.1956,0.1927,0.1914,0.2025
13,2065,46,10.271375253801452,-0.08503853201380146,1.036950342905134,-0.0424,0.7798,-0.0506,0.7386
14,2603,46,10.261002614944296,0.11482966410297732,1.0843936579768092,0.2655,0.0745,0.2659,0.0741
16,157,41,10.165655903821655,0.4358859344522293,0.8837047507981924,-0.2425,0.1267,-0.2461,0.121
17,1532,45,10.963118072976501,0.3434013533874641,1.0366385627992554,0.1684,0.2689,0.1551,0.309
19,130,35,9.030769220000002,-0.04461270550769231,1.058249613858358,0.0075,0.9657,0.0382,0.8276
