louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,1308,48,10.49098007821101,-0.19341012994862383,1.0611080583112995,0.4238,0.0027,0.432,0.0022
1,511,43,12.059579142857142,0.18851156406418787,1.0320976504524815,0.1099,0.483,0.1139,0.4669
2,3920,51,10.618139534744897,-0.1228021794605051,1.089327515465705,0.1543,0.2797,0.1245,0.3841
3,847,45,12.31528201605667,0.13820108502042505,1.1803803938743058,0.185,0.2238,0.1978,0.1928
4,240,47,11.673729125,-0.05191537074916665,1.084899084505595,0.2271,0.1248,0.2213,0.135
5,689,48,10.02628883976778,-0.1322508166436865,1.0549092473958497,0.1257,0.3944,0.1215,0.4106
7,1529,48,11.027252399280576,-0.07723743349758011,1.1019409828544817,0.091,0.5385,0.0854,0.5641
8,1386,50,11.430015866378065,0.06761926450389609,1.1225469502661611,0.2367,0.098,0.2276,0.1119
9,767,47,11.026181200391134,-0.040999931610743154,1.0798101466257486,0.1937,0.1921,0.1855,0.212
11,2707,50,10.498900984669376,-0.09673506244446618,1.1638856552447736,0.5302,0.0001,0.5311,0.0001
12,940,49,10.408119089255319,-0.11147081027597872,1.209313521152174,0.142,0.3306,0.1342,0.3579
13,1516,49,11.228901640435359,0.005627744029775711,1.0700836429317155,0.079,0.5895,0.118,0.4195
14,1774,49,10.672010102367532,-0.09446322229524803,1.0115386045566501,0.1854,0.2022,0.1775,0.2225
15,193,47,10.53204655699482,-0.37823082265025904,1.040653456251509,0.027,0.8571,0.0101,0.9461
16,589,49,11.453055965195245,0.29483680840322585,1.0506808145276842,0.0834,0.5691,0.0974,0.5056
17,1610,48,11.51426086931677,0.05293033470360125,1.01262192874742,0.4978,0.0003,0.4877,0.0004
18,866,48,10.803700854041569,0.08916730535242495,1.1752908181983626,0.5062,0.0002,0.5054,0.0002
19,1281,49,11.138022631537861,-0.013571344188537083,1.0870136239268267,0.211,0.1457,0.2157,0.1365
