animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3K1,9.01,0,mdTN,10.587,-0.25781897
3D1,13.11,0,mdTN,11.777001,0.38458496
3T5,5.12,0,mdTN,13.994,1.8902951
77V,16.15,0,mdTN,9.401,-1.2628496
4S3,3.18,0,mdTN,11.289999,-0.05270726
3D1,13.11,0,mdTN,11.693999,0.2588645
2F2,11.04,0,mdTN,12.3880005,0.9854656
6O7,6.03,0,mdTN,10.860001,-0.22480382
37V,15.07,0,mdTN,9.405001,-1.2436206
3K1,9.01,0,mdTN,10.835,-0.15448837
77V,16.15,0,mdTN,9.004999,-1.2668594
3T5,5.12,0,mdTN,12.536,0.905366
5R4,6.25,0,mdTN,12.169,0.7180841
3D1,13.11,0,mdTN,13.724001,1.5266448
56R,14.95,0,mdTN,11.657,0.26408777
2Q0,3.21,0,mdTN,12.462001,0.78164756
2T6,5.18,0,mdTN,9.972,-0.42336255
56R,14.95,0,mdTN,13.687999,1.9013469
1L1,8.17,0,mdTN,9.367,-1.0442381
1T9,4.11,0,mdTN,10.707,-0.24174464
2S2,6.31,0,mdTN,11.656,0.4118367
0G3,9.1,0,mdTN,10.469999,-0.3354625
3T5,5.12,0,mdTN,9.102,-1.2711158
5R4,6.25,0,mdTN,9.414999,-0.944692
3K1,9.01,0,mdTN,12.005,0.4679553
3K1,9.01,0,mdTN,12.912999,0.9784646
55R,14.97,0,mdTN,13.171,1.3499843
31S,17.0,0,mdTN,9.485,-0.72190887
55R,14.97,0,mdTN,8.696,-1.3477634
2T2,4.09,0,mdTN,10.977,-0.14791948
2I1,10.27,0,mdTN,11.478,0.21240616
77V,16.15,0,mdTN,10.769,-0.19216588
82V,16.01,0,mdTN,10.151001,-0.8213045
56R,14.95,0,mdTN,12.314,0.8441547
3D1,13.11,0,mdTN,12.390001,0.7438884
2T2,4.09,0,mdTN,12.311,0.63894653
8B3,13.09,0,mdTN,14.434999,1.9429554
41N,16.74,0,mdTN,12.09,0.613211
74K,20.81,0,mdTN,12.653,1.1495004
37V,15.07,0,mdTN,9.989,-0.9522311
37V,15.07,0,mdTN,9.539,-1.0218532
3T5,5.12,0,mdTN,11.734,0.33065328
3T5,5.12,0,mdTN,5.975,-3.5542269
2F2,11.04,0,mdTN,13.115999,1.5257223
41N,16.74,0,mdTN,9.8619995,-0.5626727
2Q0,3.21,0,mdTN,10.819,-0.11020474
56R,14.95,0,mdTN,10.761999,-0.35323954
3D1,13.11,0,mdTN,12.811,1.200882
50P,15.59,0,mdTN,10.398,-0.37976885
37V,15.07,0,mdTN,10.687999,-0.4416646
56R,14.95,0,mdTN,10.681999,-0.23730181
7M4,8.15,0,mdTN,13.216001,1.220653
