animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
50P,15.59,14,HIP,13.606,2.5745296
77V,16.15,14,HIP,9.106001,-0.42488053
8I6,9.9,14,HIP,9.844,-0.2345665
2I1,10.27,14,HIP,10.759001,0.60379034
8B3,13.09,14,HIP,11.382,1.0412959
5R4,6.25,14,HIP,8.291,-0.9220875
2T2,4.09,14,HIP,10.172999,0.23549777
98V,16.03,14,HIP,12.466001,1.8384866
8M0,8.12,14,HIP,8.816999,-0.86833256
7F0,11.2,14,HIP,12.1970005,1.6605153
46Z,13.97,14,HIP,13.073999,2.2480335
7F0,11.2,14,HIP,8.198,-1.0476711
2S6,3.17,14,HIP,8.434,-1.0366317
2V1,4.3,14,HIP,10.73,0.47208783
1T9,4.11,14,HIP,10.407,0.51441044
4Q6,3.22,14,HIP,11.611,1.2806684
43N,17.0,14,HIP,8.42,-1.0413188
0B9,12.11,14,HIP,11.535001,1.0984508
2S2,6.31,14,HIP,8.868001,-0.6981697
98V,16.03,14,HIP,10.612,0.31819952
77V,16.15,14,HIP,7.7950006,-1.4981308
7M4,8.15,14,HIP,10.059,0.15518841
3T5,5.12,14,HIP,12.465,1.7013677
3D1,13.11,14,HIP,9.99,-0.014091735
1P5,6.21,14,HIP,12.434,2.4005964
3T5,5.12,14,HIP,8.364,-0.9284969
1P5,6.21,14,HIP,10.598001,0.5930604
50P,15.59,14,HIP,9.915999,-0.06674672
7F0,11.2,14,HIP,12.615999,1.5964607
8I6,9.9,14,HIP,11.225,0.7853044
46Z,13.97,14,HIP,11.92,1.2591417
77V,16.15,14,HIP,11.244,1.0479788
1P5,6.21,14,HIP,11.8550005,1.2493827
3E4,11.99,14,HIP,9.499999,-0.41720983
7M4,8.15,14,HIP,13.114,2.395684
46Z,13.97,14,HIP,14.881999,3.229324
2T2,4.09,14,HIP,9.191,-0.50394857
4J6,7.15,14,HIP,9.303,-0.4227078
97R,17.93,14,HIP,7.34,-1.6393759
4Q6,3.22,14,HIP,10.393001,0.44746166
77V,16.15,14,HIP,13.492999,2.5288742
7F0,11.2,14,HIP,9.62,-0.13656072
56R,14.95,14,HIP,9.8880005,0.054869432
0B9,12.11,14,HIP,10.38,0.5701964
98V,16.03,14,HIP,10.034999,0.08492094
98V,16.03,14,HIP,8.59,-0.6720596
7F0,11.2,14,HIP,13.707998,2.7800276
8C9,12.12,14,HIP,9.276,-0.43537349
2Q0,3.21,14,HIP,9.125001,-0.5261374
5R4,6.25,14,HIP,10.198,0.19847365
46Z,13.97,14,HIP,10.058001,0.13029218
7F0,11.2,14,HIP,9.766001,-0.091023855
56R,14.95,14,HIP,9.743,0.110667184
3T5,5.12,14,HIP,11.481,0.9657562
1T9,4.11,14,HIP,9.353999,-0.25621912
77V,16.15,14,HIP,9.262,-0.48965293
3D1,13.11,14,HIP,9.414,-0.24681859
2T2,4.09,14,HIP,8.19,-1.0653471
7F0,11.2,14,HIP,10.141,0.50360674
7F0,11.2,14,HIP,12.108999,1.50122
37V,15.07,14,HIP,9.5720005,-0.20323955
2Q0,3.21,14,HIP,10.101,0.08477466
5R4,6.25,14,HIP,8.172001,-1.0829648
82V,16.01,14,HIP,9.117999,-0.43537775
1T9,4.11,14,HIP,10.8550005,1.018724
46Z,13.97,14,HIP,8.422001,-0.89571935
2V1,4.3,14,HIP,10.559,0.518996
37V,15.07,14,HIP,11.679999,1.1951979
3E4,11.99,14,HIP,12.289999,1.6821042
77V,16.15,14,HIP,7.936,-1.5611413
2C6,14.03,14,HIP,7.5079994,-1.5742072
5R4,6.25,14,HIP,11.008,0.7926296
97R,17.93,14,HIP,11.499,0.9066791
77V,16.15,14,HIP,11.434999,0.8699517
0G3,9.1,14,HIP,11.767,1.1975486
1P5,6.21,14,HIP,10.573,0.6084511
46Z,13.97,14,HIP,13.456001,2.6202471
56K,19.93,14,HIP,7.349,-1.7925137
3T5,5.12,14,HIP,9.024,-0.46903768
3T5,5.12,14,HIP,8.711,-0.599
4Q6,3.22,14,HIP,9.521,-0.461954
2V1,4.3,14,HIP,7.682,-1.6312153
7F0,11.2,14,HIP,11.582,1.3105904
1T9,4.11,14,HIP,10.223001,0.064029016
7F0,11.2,14,HIP,10.311999,0.33821476
1P5,6.21,14,HIP,10.588999,0.67160416
5R4,6.25,14,HIP,9.783,0.03622993
5R4,6.25,14,HIP,10.832001,0.76858526
42T,15.96,14,HIP,12.107,1.6126168
1P5,6.21,14,HIP,10.686,0.5693258
2I1,10.27,14,HIP,11.767,1.1269839
6O7,6.03,14,HIP,8.846999,-0.7889508
3T5,5.12,14,HIP,11.302,0.98444027
2T2,4.09,14,HIP,7.821,-1.4854412
98V,16.03,14,HIP,9.309,-0.46668404
2T6,5.18,14,HIP,11.904,1.1926262
2I1,10.27,14,HIP,8.41,-1.1061192
82V,16.01,14,HIP,8.524,-0.87113583
74K,20.81,14,HIP,9.417,-0.3587782
31S,17.0,14,HIP,11.988001,1.7050617
8M0,8.12,14,HIP,8.6779995,-0.89495504
2F2,11.04,14,HIP,9.226999,-0.38793364
50P,15.59,14,HIP,10.264,0.23796858
4Q6,3.22,14,HIP,9.662001,-0.13446525
3R7,3.32,14,HIP,9.511,-0.3748048
7M4,8.15,14,HIP,13.204999,1.8751804
8B3,13.09,14,HIP,10.198999,0.29296586
6L4,8.2,14,HIP,11.557,1.2273774
