animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2T6,5.18,15,IPP,9.174,-0.6153665
31S,17.0,15,IPP,9.025,-0.66841847
41N,16.74,15,IPP,11.460001,0.83540255
4S3,3.18,15,IPP,8.794001,-0.744177
77V,16.15,15,IPP,5.487,-2.546049
2C0,11.0,15,IPP,9.734,-0.117964044
0G3,9.1,15,IPP,9.411,-0.3342501
8C9,12.12,15,IPP,9.5720005,-0.26909593
1T9,4.11,15,IPP,9.608999,-0.5743042
1T9,4.11,15,IPP,12.082001,1.4342886
3E4,11.99,15,IPP,10.416,0.16576691
8B3,13.09,15,IPP,6.319,-2.390159
2V1,4.3,15,IPP,9.561,-0.26315737
7F0,11.2,15,IPP,9.967,-0.24097627
6O7,6.03,15,IPP,9.669001,-0.2329891
8I6,9.9,15,IPP,12.240999,1.3225955
8I6,9.9,15,IPP,8.587,-0.8889774
8B3,13.09,15,IPP,11.7560005,1.0731244
42T,15.96,15,IPP,8.273,-1.1989871
91O,15.86,15,IPP,11.139999,0.6158277
46Z,13.97,15,IPP,9.061999,-0.71245325
6L4,8.2,15,IPP,7.7590003,-1.5996976
41N,16.74,15,IPP,8.433001,-1.1084695
4S3,3.18,15,IPP,7.8009996,-1.2417637
4S3,3.18,15,IPP,11.150999,0.38882095
1V8,4.31,15,IPP,10.225,-0.062178858
2V1,4.3,15,IPP,7.049,-1.8613402
7F0,11.2,15,IPP,11.948999,1.2634336
8I6,9.9,15,IPP,10.821,0.52146024
37V,15.07,15,IPP,11.336,0.6327276
2F2,11.04,15,IPP,8.376,-0.9517184
91O,15.86,15,IPP,11.459,0.87811106
4Q6,3.22,15,IPP,8.985,-0.64044607
4J6,7.15,15,IPP,10.022,-0.19664499
77V,16.15,15,IPP,9.392,-0.48737335
2C0,11.0,15,IPP,9.279,-0.5269211
2C0,11.0,15,IPP,10.325,-0.06584508
0G3,9.1,15,IPP,11.459999,0.7053507
74K,20.81,15,IPP,8.181001,-1.5602276
3E4,11.99,15,IPP,7.6309996,-1.4673885
2Q0,3.21,15,IPP,7.972,-1.4072013
2Q0,3.21,15,IPP,9.607,-0.2708947
2Q0,3.21,15,IPP,10.759001,0.41049197
2S6,3.17,15,IPP,10.479,0.0037334117
1L1,8.17,15,IPP,9.099,-0.42710572
5R4,6.25,15,IPP,12.046,1.1404443
41N,16.74,15,IPP,9.8029995,-0.24950229
7F0,11.2,15,IPP,10.011,-0.10666649
1T9,4.11,15,IPP,9.773,-0.1341194
2C6,14.03,15,IPP,12.809,1.7870872
8I6,9.9,15,IPP,9.936,-0.04625363
4S3,3.18,15,IPP,10.952,0.46131855
77V,16.15,15,IPP,7.31,-1.9012703
0G3,9.1,15,IPP,11.049,0.37064162
74K,20.81,15,IPP,6.0249996,-2.7000275
8I6,9.9,15,IPP,7.1480002,-1.8331575
2S6,3.17,15,IPP,11.113,0.5212126
3K1,9.01,15,IPP,11.414,0.70299643
8B3,13.09,15,IPP,9.349,-0.49452695
41N,16.74,15,IPP,10.187,0.036308248
2V1,4.3,15,IPP,10.374,0.21267906
0B9,12.11,15,IPP,9.683,-0.28084418
2Q0,3.21,15,IPP,12.61,1.5612344
91O,15.86,15,IPP,13.532001,2.2366354
5H6,11.03,15,IPP,7.203,-1.7767534
4J6,7.15,15,IPP,9.219,-0.7166532
1V8,4.31,15,IPP,11.666,0.9518329
77V,16.15,15,IPP,10.762,0.402699
3E4,11.99,15,IPP,11.143999,0.57970965
42T,15.96,15,IPP,9.864999,-0.0672636
77V,16.15,15,IPP,9.690001,-0.40714133
2C0,11.0,15,IPP,13.492,2.2326763
82V,16.01,15,IPP,11.309999,0.54411936
1P5,6.21,15,IPP,10.806,0.27868226
42T,15.96,15,IPP,11.666,0.7820923
4J6,7.15,15,IPP,8.889,-0.7924659
2S6,3.17,15,IPP,8.736,-0.70790946
2S6,3.17,15,IPP,9.405001,-0.44590145
2T6,5.18,15,IPP,12.82,1.6801258
46Z,13.97,15,IPP,10.097,0.12341236
6L4,8.2,15,IPP,9.664,-0.2576418
7F0,11.2,15,IPP,10.032999,-0.034262188
7F0,11.2,15,IPP,10.219999,0.22394104
8C9,12.12,15,IPP,8.219999,-1.3130562
91O,15.86,15,IPP,9.003,-0.4539605
91O,15.86,15,IPP,10.731,0.34504142
91O,15.86,15,IPP,9.187,-0.4687594
5H6,11.03,15,IPP,7.433,-1.6040261
77V,16.15,15,IPP,7.747,-1.3208048
8C9,12.12,15,IPP,8.828001,-0.765674
1T9,4.11,15,IPP,10.745,0.4308725
3E4,11.99,15,IPP,11.752001,1.0034226
2Q0,3.21,15,IPP,11.658999,1.01273
91O,15.86,15,IPP,9.591001,-0.32702407
6L4,8.2,15,IPP,10.958,0.5248029
41N,16.74,15,IPP,8.872,-0.6707871
41N,16.74,15,IPP,11.747,0.9996063
77V,16.15,15,IPP,12.032001,1.2525556
7F0,11.2,15,IPP,7.0369997,-2.0580769
