animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
98V,16.03,17,EC,10.828,-0.09030852
98V,16.03,17,EC,10.384001,-0.29829404
1T9,4.11,17,EC,9.967,-0.6557127
2I1,10.27,17,EC,12.181,1.0630455
56R,14.95,17,EC,8.595,-1.6795813
7M4,8.15,17,EC,10.203,-0.57991177
6O7,6.03,17,EC,11.4470005,0.42847222
1L1,8.17,17,EC,9.776,-0.6661911
0B9,12.11,17,EC,12.044,0.69432336
8H2,10.13,17,EC,10.563,-0.12642795
91O,15.86,17,EC,9.14,-1.2116034
41N,16.74,17,EC,9.365999,-1.0889
56K,19.93,17,EC,9.671,-0.8954276
5H6,11.03,17,EC,8.813001,-1.251315
1L1,8.17,17,EC,9.562,-1.1875912
82V,16.01,17,EC,11.739,0.62658536
7M4,8.15,17,EC,9.719,-0.9420176
7M4,8.15,17,EC,8.030001,-2.0898235
97R,17.93,17,EC,10.718,-0.46256694
41N,16.74,17,EC,11.7039995,0.4231657
1L1,8.17,17,EC,8.735,-1.6077758
77V,16.15,17,EC,11.674999,0.48944986
7M4,8.15,17,EC,14.783999,2.5147765
8B3,13.09,17,EC,9.414,-0.96587604
41N,16.74,17,EC,12.4210005,1.0440779
6O7,6.03,17,EC,10.431,-0.5566955
97R,17.93,17,EC,9.802,-0.6645289
91O,15.86,17,EC,13.026001,1.4058628
56R,14.95,17,EC,12.220999,0.9076386
6L4,8.2,17,EC,12.037001,0.8489281
2C6,14.03,17,EC,11.389,0.18260404
42T,15.96,17,EC,9.52,-0.9577419
8B3,13.09,17,EC,11.733001,0.51979494
7F0,11.2,17,EC,9.617,-0.75067955
2T6,5.18,17,EC,13.698,1.8499489
7M4,8.15,17,EC,11.752,0.50472736
1T9,4.11,17,EC,9.566999,-1.0885212
5H6,11.03,17,EC,11.853001,0.5034118
1T9,4.11,17,EC,9.983,-0.68820035
2T6,5.18,17,EC,10.208,-0.6443012
2T2,4.09,17,EC,9.396999,-0.8835014
50P,15.59,17,EC,12.1710005,0.8160829
7M4,8.15,17,EC,9.629001,-0.98202306
7M4,8.15,17,EC,13.438998,1.7220635
7M4,8.15,17,EC,10.165,-0.48369333
4Q6,3.22,17,EC,14.349001,2.4666824
1L1,8.17,17,EC,11.528,0.30806178
1T9,4.11,17,EC,13.159999,1.3401589
6D9,13.11,17,EC,9.72,-0.9263896
2S2,6.31,17,EC,11.606,0.3593597
2V1,4.3,17,EC,9.949,-0.5998151
74K,20.81,17,EC,11.399,0.31875643
42T,15.96,17,EC,12.693998,1.2275242
2S2,6.31,17,EC,9.908999,-0.589283
3R7,3.32,17,EC,9.063,-1.3869524
3T5,5.12,17,EC,9.454,-1.0775279
50P,15.59,17,EC,13.148001,1.657342
7M4,8.15,17,EC,10.684,-0.1787661
1L1,8.17,17,EC,10.394001,-0.1225437
3D1,13.11,17,EC,12.484999,0.8902539
0G3,9.1,17,EC,10.363,-0.22577742
41N,16.74,17,EC,11.865001,0.54079014
82V,16.01,17,EC,13.1,1.5028349
82V,16.01,17,EC,11.351999,0.13120377
1P5,6.21,17,EC,11.715001,0.51893145
2Q0,3.21,17,EC,11.351,0.25476846
4S3,3.18,17,EC,12.842,1.4043471
43N,17.0,17,EC,8.931,-1.2502298
50P,15.59,17,EC,10.849,-0.17622565
1L1,8.17,17,EC,9.2699995,-1.2143619
8I6,9.9,17,EC,11.997999,0.75019747
2Q0,3.21,17,EC,10.075,-0.5080495
1G8,7.88,17,EC,11.582,0.282527
2F2,11.04,17,EC,10.205999,-0.4682165
2C6,14.03,17,EC,9.16,-1.2198708
2C6,14.03,17,EC,12.542999,0.75652033
3T5,5.12,17,EC,10.308001,-0.5451919
8H2,10.13,17,EC,9.3810005,-1.0619632
98V,16.03,17,EC,11.500999,0.3338066
97R,17.93,17,EC,12.4800005,1.0087472
6L4,8.2,17,EC,9.0,-1.2507511
1V8,4.31,17,EC,11.4279995,0.50043577
98V,16.03,17,EC,13.2960005,1.409459
2T6,5.18,17,EC,11.318,0.41851
1L1,8.17,17,EC,10.027,-0.6901041
2V1,4.3,17,EC,12.515,1.1386327
8H2,10.13,17,EC,10.136999,-0.36198068
46Z,13.97,17,EC,7.935,-1.8230847
3E4,11.99,17,EC,9.98,-0.7610204
97R,17.93,17,EC,9.479,-0.8442813
8B3,13.09,17,EC,10.489,-0.24793385
8I6,9.9,17,EC,12.5529995,1.205153
2T6,5.18,17,EC,10.523,-0.1628008
2Q0,3.21,17,EC,11.782999,0.5400107
3D1,13.11,17,EC,11.181,0.19624874
3T5,5.12,17,EC,10.573,-0.21814756
98V,16.03,17,EC,10.802,0.023882862
6L4,8.2,17,EC,12.476,0.8566572
6L4,8.2,17,EC,12.33,0.975289
2Q0,3.21,17,EC,10.077,-0.5930694
42T,15.96,17,EC,8.507,-1.3926202
4Q6,3.22,17,EC,11.918,0.60030097
56K,19.93,17,EC,9.175,-1.2694393
3K1,9.01,17,EC,9.751,-0.7831844
98V,16.03,17,EC,11.129,0.063291095
2V1,4.3,17,EC,10.323,-0.23110837
2S6,3.17,17,EC,10.363,-0.47340477
4S3,3.18,17,EC,10.792,-0.20008698
1G8,7.88,17,EC,8.441999,-1.6546757
6L4,8.2,17,EC,10.42,-0.4918081
41N,16.74,17,EC,12.557,0.96725297
2I1,10.27,17,EC,11.311,0.21673617
0B9,12.11,17,EC,10.690001,-0.19268893
4J6,7.15,17,EC,12.808001,1.2330818
3R7,3.32,17,EC,10.353,-0.32096657
3D1,13.11,17,EC,12.165999,0.905092
97R,17.93,17,EC,10.190001,-0.694627
5H6,11.03,17,EC,12.912001,1.3185478
1P5,6.21,17,EC,8.306999,-1.8711176
50P,15.59,17,EC,11.58,0.30830255
1L1,8.17,17,EC,12.179999,0.7634825
97R,17.93,17,EC,15.1919985,2.9682307
2I1,10.27,17,EC,12.772,1.0048524
1V8,4.31,17,EC,8.578,-1.5782242
43N,17.0,17,EC,8.505,-1.5488975
6O7,6.03,17,EC,10.078,-0.58322555
37V,15.07,17,EC,11.757999,0.5264578
98V,16.03,17,EC,9.485,-1.1336058
42T,15.96,17,EC,13.640001,1.68519
42T,15.96,17,EC,11.642,0.3070731
1T9,4.11,17,EC,9.414999,-0.93602383
42T,15.96,17,EC,12.507,1.1219776
1V8,4.31,17,EC,11.663,0.48056892
3D1,13.11,17,EC,12.475,1.0983233
50P,15.59,17,EC,11.768999,0.3283822
98V,16.03,17,EC,11.643999,0.36970836
98V,16.03,17,EC,13.305,1.8303137
46Z,13.97,17,EC,9.271,-0.87581974
1G8,7.88,17,EC,14.316,2.3904917
