animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3T5,5.12,17,M1,11.691999,0.3591887
74K,20.81,17,M1,13.047,1.1420484
0B9,12.11,17,M1,12.346,0.93937486
8C9,12.12,17,M1,11.387001,0.092003345
8I6,9.9,17,M1,12.884,1.3793652
2S6,3.17,17,M1,11.574999,0.06905471
0G3,9.1,17,M1,10.351,-0.5846884
4S3,3.18,17,M1,10.617,-0.2798678
6D9,13.11,17,M1,11.2300005,-0.023241717
31S,17.0,17,M1,12.018,0.58974296
4Q6,3.22,17,M1,8.386999,-1.7516031
5H6,11.03,17,M1,11.489,0.27280322
0G3,9.1,17,M1,11.863001,0.56647354
3T5,5.12,17,M1,10.594,-0.37670127
8H2,10.13,17,M1,11.341001,0.010538611
91O,15.86,17,M1,10.774,-0.29861975
5H6,11.03,17,M1,14.149,2.034983
6L4,8.2,17,M1,11.993,0.64908624
82V,16.01,17,M1,10.154,-0.68863845
56K,19.93,17,M1,11.871,0.4614706
2T2,4.09,17,M1,10.997,-0.23774822
37V,15.07,17,M1,13.754999,1.927683
1G8,7.88,17,M1,9.966001,-0.90627354
42T,15.96,17,M1,12.070001,0.5606914
5H6,11.03,17,M1,11.658999,0.28850242
77V,16.15,17,M1,11.664,0.37283492
74K,20.81,17,M1,11.91,0.5584356
8I6,9.9,17,M1,10.694,-0.29880974
8M0,8.12,17,M1,12.671,0.9320474
8M0,8.12,17,M1,9.209001,-1.4148103
2S2,6.31,17,M1,14.297999,2.3234117
97R,17.93,17,M1,9.696,-1.0709406
82V,16.01,17,M1,11.651,0.28587347
0B9,12.11,17,M1,11.120001,-0.022792295
31S,17.0,17,M1,12.073,0.8685283
77V,16.15,17,M1,10.3029995,-0.7268927
4S3,3.18,17,M1,12.711,0.9562515
98V,16.03,17,M1,13.82,1.9352083
91O,15.86,17,M1,11.184999,0.0043536765
4J6,7.15,17,M1,12.564,1.0371509
2C6,14.03,17,M1,10.762,-0.29515082
98V,16.03,17,M1,12.247,0.84082377
41N,16.74,17,M1,10.115,-0.7902588
8H2,10.13,17,M1,11.268001,0.20103745
5H6,11.03,17,M1,14.803999,2.7118134
74K,20.81,17,M1,12.7369995,1.2572441
8C9,12.12,17,M1,12.806,1.0923843
55R,14.97,17,M1,7.53,-2.6509972
3D1,13.11,17,M1,12.727,0.9100004
8H2,10.13,17,M1,10.589999,-0.24725752
0G3,9.1,17,M1,12.636,0.88588023
0G3,9.1,17,M1,12.438,0.9077311
97R,17.93,17,M1,9.372,-1.1176145
4Q6,3.22,17,M1,10.476999,-0.48232844
2V1,4.3,17,M1,12.05,0.34128153
3T5,5.12,17,M1,13.634,1.345092
8H2,10.13,17,M1,9.614,-0.9840913
8H2,10.13,17,M1,10.35,-0.672932
2T6,5.18,17,M1,10.189,-0.6995734
4J6,7.15,17,M1,12.313001,0.7747249
0G3,9.1,17,M1,14.358002,2.1640923
74K,20.81,17,M1,13.942999,1.756958
82V,16.01,17,M1,9.365,-1.3048075
6O7,6.03,17,M1,9.436,-1.3270515
2Q0,3.21,17,M1,12.404,0.63824004
55R,14.97,17,M1,10.058001,-0.68652195
42T,15.96,17,M1,12.917,1.0118891
31S,17.0,17,M1,11.023,-0.28362477
