animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8M0,8.12,17,NAc,9.924999,-0.77222097
50P,15.59,17,NAc,11.2699995,0.18826212
42T,15.96,17,NAc,12.366,0.96914643
77V,16.15,17,NAc,10.665,-0.081658445
2V1,4.3,17,NAc,9.294999,-1.1039808
3T5,5.12,17,NAc,9.498001,-0.8848238
50P,15.59,17,NAc,11.249,0.24503975
82V,16.01,17,NAc,10.765,-0.20337217
56K,19.93,17,NAc,12.545,1.0279311
56K,19.93,17,NAc,14.464999,2.5907288
3R7,3.32,17,NAc,10.913,-0.05033908
56R,14.95,17,NAc,9.869999,-0.54881006
2T6,5.18,17,NAc,11.642,0.38165548
43N,17.0,17,NAc,11.634,0.33073598
1T9,4.11,17,NAc,8.264001,-1.6683047
4S3,3.18,17,NAc,9.629,-0.6564646
3E4,11.99,17,NAc,12.7630005,1.1289356
2Q0,3.21,17,NAc,9.482,-0.9502144
37V,15.07,17,NAc,10.38,-0.26634976
8M0,8.12,17,NAc,9.805,-0.57020986
8M0,8.12,17,NAc,10.117001,-0.5521595
3R7,3.32,17,NAc,10.4279995,-0.23158179
4S3,3.18,17,NAc,10.241,-0.39053684
43N,17.0,17,NAc,12.422,0.9689439
3E4,11.99,17,NAc,9.551,-0.8150394
56R,14.95,17,NAc,12.386999,1.0274513
42T,15.96,17,NAc,11.884,0.54900634
91O,15.86,17,NAc,6.5769997,-3.065118
56R,14.95,17,NAc,13.009,1.3757956
31S,17.0,17,NAc,10.808001,-0.1573405
82V,16.01,17,NAc,11.506,0.3615689
1T9,4.11,17,NAc,10.171,-0.540862
3K1,9.01,17,NAc,12.556,1.1249726
74K,20.81,17,NAc,8.7369995,-1.5408403
2Q0,3.21,17,NAc,9.444,-1.0976943
6O7,6.03,17,NAc,10.79,-0.20028359
2V1,4.3,17,NAc,9.554,-0.8486463
82V,16.01,17,NAc,10.700999,-0.023839328
0B9,12.11,17,NAc,15.122,2.5086458
2S2,6.31,17,NAc,10.822,-0.12019369
97R,17.93,17,NAc,14.294001,1.9809886
31S,17.0,17,NAc,12.2369995,0.9257281
43N,17.0,17,NAc,15.67,3.060614
1V8,4.31,17,NAc,11.351,0.13714181
8I6,9.9,17,NAc,11.04,0.020304471
4J6,7.15,17,NAc,9.813,-0.7143835
7F0,11.2,17,NAc,11.184999,0.16243845
3D1,13.11,17,NAc,10.761,-0.15872076
98V,16.03,17,NAc,14.354999,2.6247723
42T,15.96,17,NAc,9.392,-1.0580298
2T6,5.18,17,NAc,11.427,0.30132338
43N,17.0,17,NAc,13.713,1.7656858
8M0,8.12,17,NAc,9.995,-0.5975125
7M4,8.15,17,NAc,10.944,0.117600806
2T6,5.18,17,NAc,10.739,-0.009864206
77V,16.15,17,NAc,10.814001,-0.05457437
1T9,4.11,17,NAc,10.518,-0.09943786
8H2,10.13,17,NAc,11.337,0.23720782
8M0,8.12,17,NAc,7.175,-2.4255617
3K1,9.01,17,NAc,9.900001,-0.50243884
7M4,8.15,17,NAc,8.722999,-1.6499861
3T5,5.12,17,NAc,9.691,-0.7825738
5R4,6.25,17,NAc,11.772,0.60126
46Z,13.97,17,NAc,12.214001,0.8140152
1V8,4.31,17,NAc,6.5240006,-2.860625
77V,16.15,17,NAc,8.945001,-1.1120031
8M0,8.12,17,NAc,10.710001,0.042764034
50P,15.59,17,NAc,13.073,1.457344
1T9,4.11,17,NAc,10.446001,-0.15201649
1L1,8.17,17,NAc,13.948001,1.7345765
8C9,12.12,17,NAc,10.122,-0.52190846
1V8,4.31,17,NAc,11.607,0.52676
37V,15.07,17,NAc,11.646,0.565561
8M0,8.12,17,NAc,10.0460005,-0.7060301
3D1,13.11,17,NAc,7.932,-1.6917474
91O,15.86,17,NAc,11.417,0.2842543
2C6,14.03,17,NAc,11.690001,0.7293085
3K1,9.01,17,NAc,10.455,-0.5141021
5R4,6.25,17,NAc,12.577,1.0566595
98V,16.03,17,NAc,10.396,-0.47728902
8B3,13.09,17,NAc,10.066,-0.594481
7F0,11.2,17,NAc,11.190001,0.2910608
3R7,3.32,17,NAc,9.567,-0.90764654
8M0,8.12,17,NAc,9.891,-0.81393784
2T6,5.18,17,NAc,11.295,0.19225098
6L4,8.2,17,NAc,11.739,0.45956734
56K,19.93,17,NAc,11.622,0.5730926
2C6,14.03,17,NAc,8.701,-1.5353595
3R7,3.32,17,NAc,10.497,-0.43355355
56R,14.95,17,NAc,10.545,-0.28356284
50P,15.59,17,NAc,12.493,0.98598963
