animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
1L1,8.17,1,lCb,7.419,-1.2981048
3T5,5.12,1,lCb,9.162001,-0.24086747
98V,16.03,1,lCb,8.047001,-0.70670444
4Q6,3.22,1,lCb,10.531,0.6060764
7F0,11.2,1,lCb,7.9110003,-1.1222006
55R,14.97,1,lCb,10.971,1.1984254
5R4,6.25,1,lCb,8.712,-0.62938344
6L4,8.2,1,lCb,9.012,-0.33657488
55R,14.97,1,lCb,9.142,-0.13322408
5H6,11.03,1,lCb,8.370001,-0.80598205
4J6,7.15,1,lCb,12.362,1.9902931
0G3,9.1,1,lCb,7.0699997,-1.5825702
5H6,11.03,1,lCb,12.737,1.9599099
4S3,3.18,1,lCb,7.5310006,-1.2461048
1L1,8.17,1,lCb,10.301001,0.69509465
98V,16.03,1,lCb,8.603,-0.512415
4J6,7.15,1,lCb,7.9020004,-1.1077112
8B3,13.09,1,lCb,12.629,2.2416623
6L4,8.2,1,lCb,7.4350004,-1.5574008
4S3,3.18,1,lCb,7.755,-1.1081511
5H6,11.03,1,lCb,10.1970005,0.54321647
2V1,4.3,1,lCb,9.43,0.065294296
37V,15.07,1,lCb,11.247,1.4338148
74K,20.81,1,lCb,9.64,0.13250649
50P,15.59,1,lCb,8.08,-0.91029155
1G8,7.88,1,lCb,8.448999,-0.8722795
4J6,7.15,1,lCb,10.377001,0.6062315
2Q0,3.21,1,lCb,8.433001,-0.7246176
2F2,11.04,1,lCb,8.087,-0.95896333
2F2,11.04,1,lCb,10.308001,0.46063167
82V,16.01,1,lCb,9.422,-0.1011505
98V,16.03,1,lCb,11.157,0.957907
1L1,8.17,1,lCb,11.094,1.0517931
2Q0,3.21,1,lCb,9.785999,0.18562052
6L4,8.2,1,lCb,8.551,-0.7512356
0B9,12.11,1,lCb,10.032,0.45473576
98V,16.03,1,lCb,8.665999,-0.4240431
4J6,7.15,1,lCb,9.256,-0.06347384
3T5,5.12,1,lCb,10.489,0.4727941
98V,16.03,1,lCb,9.489,0.022145135
5R4,6.25,1,lCb,9.636,0.076402605
0G3,9.1,1,lCb,10.749001,1.123797
2I1,10.27,1,lCb,8.875,-0.39939052
3T5,5.12,1,lCb,8.418,-0.7623318
2I1,10.27,1,lCb,7.8809996,-0.8386361
7M4,8.15,1,lCb,10.9279995,0.9026593
4S3,3.18,1,lCb,10.280001,0.39943582
3R7,3.32,1,lCb,10.659,0.7304431
5R4,6.25,1,lCb,6.6419997,-1.884417
7M4,8.15,1,lCb,10.367999,0.7740481
4J6,7.15,1,lCb,10.280001,0.6133829
8M0,8.12,1,lCb,8.514999,-0.5540716
0B9,12.11,1,lCb,8.443,-0.5940715
98V,16.03,1,lCb,6.4110003,-2.0655446
7M4,8.15,1,lCb,10.773999,1.025375
42T,15.96,1,lCb,8.827001,-0.74894667
3K1,9.01,1,lCb,11.246,1.0724922
7M4,8.15,1,lCb,7.7450004,-1.0125834
6L4,8.2,1,lCb,8.615,-0.51116645
6L4,8.2,1,lCb,9.033999,-0.28156996
5R4,6.25,1,lCb,8.346,-0.57159734
50P,15.59,1,lCb,10.571,0.6432051
4J6,7.15,1,lCb,11.135,1.0669736
2F2,11.04,1,lCb,10.29,0.53394073
4J6,7.15,1,lCb,11.458,1.3780409
4Q6,3.22,1,lCb,4.148,-3.4458988
7M4,8.15,1,lCb,10.134,0.35041562
1G8,7.88,1,lCb,8.268999,-0.80523384
41N,16.74,1,lCb,8.098,-0.997811
55R,14.97,1,lCb,9.339999,-0.018247692
3R7,3.32,1,lCb,10.874,0.92313737
2S6,3.17,1,lCb,8.416,-0.67868674
98V,16.03,1,lCb,11.638,1.4322264
41N,16.74,1,lCb,9.9279995,0.17310528
98V,16.03,1,lCb,8.363001,-0.8780291
41N,16.74,1,lCb,10.580999,0.9661996
