animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
4S3,3.18,4,ACC,10.089,-0.44631067
31S,17.0,4,ACC,8.427,-1.7959901
1V8,4.31,4,ACC,9.224,-1.2637823
8C9,12.12,4,ACC,8.917001,-1.1842061
3D1,13.11,4,ACC,10.248,-0.46788174
6O7,6.03,4,ACC,10.932,-0.09855647
3T5,5.12,4,ACC,8.475,-1.6963432
3T5,5.12,4,ACC,15.853002,3.6346402
1G8,7.88,4,ACC,8.1050005,-1.9028077
98V,16.03,4,ACC,10.492,-0.42121848
7M4,8.15,4,ACC,11.665,0.2720058
3K1,9.01,4,ACC,10.844999,-0.115112424
7M4,8.15,4,ACC,9.244,-1.0674591
31S,17.0,4,ACC,9.993,-0.87924314
7M4,8.15,4,ACC,10.757,-0.0046059536
98V,16.03,4,ACC,11.996,0.5501777
2V1,4.3,4,ACC,11.0060005,0.08710936
74K,20.81,4,ACC,10.456,-0.44976705
8I6,9.9,4,ACC,13.386,1.5584227
8B3,13.09,4,ACC,10.853,-0.23600622
2T6,5.18,4,ACC,11.7039995,0.51928604
3K1,9.01,4,ACC,9.907999,-0.6258828
31S,17.0,4,ACC,10.117,-0.70205945
6O7,6.03,4,ACC,12.817999,0.9835058
82V,16.01,4,ACC,10.316,-0.31063053
2S6,3.17,4,ACC,10.625999,-0.37044403
91O,15.86,4,ACC,10.347,-0.6745977
5R4,6.25,4,ACC,8.75,-1.57375
98V,16.03,4,ACC,9.017,-1.4330148
0B9,12.11,4,ACC,8.726,-1.4020048
2I1,10.27,4,ACC,11.485,0.40867797
56K,19.93,4,ACC,10.191999,-0.3956368
2Q0,3.21,4,ACC,11.659,0.4125973
98V,16.03,4,ACC,8.716,-1.4947407
2S6,3.17,4,ACC,9.606001,-0.8962352
2T6,5.18,4,ACC,12.440001,0.9074474
4J6,7.15,4,ACC,8.796,-1.4452803
41N,16.74,4,ACC,13.544001,1.8058047
0B9,12.11,4,ACC,9.175,-1.3310841
2T6,5.18,4,ACC,14.005,1.7473118
1G8,7.88,4,ACC,11.464,0.3428464
77V,16.15,4,ACC,10.379,-0.3161931
4Q6,3.22,4,ACC,9.964999,-0.7346573
7M4,8.15,4,ACC,9.460001,-1.0976257
46Z,13.97,4,ACC,14.636999,1.820543
1V8,4.31,4,ACC,8.825001,-1.4743904
98V,16.03,4,ACC,9.795,-0.9602278
2F2,11.04,4,ACC,9.459,-0.95374316
3E4,11.99,4,ACC,11.335001,0.21344106
0B9,12.11,4,ACC,9.419001,-1.0029894
6O7,6.03,4,ACC,10.998,-0.09018482
97R,17.93,4,ACC,11.894,0.29087424
3T5,5.12,4,ACC,13.578,1.5663701
43N,17.0,4,ACC,10.0859995,-0.5671845
55R,14.97,4,ACC,9.514,-0.950531
91O,15.86,4,ACC,14.431,2.7025723
91O,15.86,4,ACC,10.856,-0.071636446
8C9,12.12,4,ACC,10.114,-0.47288066
2T6,5.18,4,ACC,8.646,-1.550399
46Z,13.97,4,ACC,11.915,0.45632032
77V,16.15,4,ACC,11.254,0.21782555
2S2,6.31,4,ACC,9.0720005,-1.1940005
91O,15.86,4,ACC,8.212,-1.6133927
2C6,14.03,4,ACC,11.594,0.27679062
2T2,4.09,4,ACC,12.273001,0.7851385
98V,16.03,4,ACC,10.507,-0.17449932
1L1,8.17,4,ACC,10.887,-0.22411121
74K,20.81,4,ACC,11.636,0.36492398
6O7,6.03,4,ACC,9.448,-0.91823244
2Q0,3.21,4,ACC,9.186999,-1.14541
31S,17.0,4,ACC,8.648,-1.4832984
2S2,6.31,4,ACC,11.134001,0.15633716
56K,19.93,4,ACC,11.379001,0.313057
3E4,11.99,4,ACC,9.892,-0.83553165
5R4,6.25,4,ACC,11.768,0.51944214
2T6,5.18,4,ACC,10.840999,-0.24996284
4J6,7.15,4,ACC,12.814,0.97997135
6O7,6.03,4,ACC,9.868,-0.71605897
3T5,5.12,4,ACC,9.267,-1.2037215
1G8,7.88,4,ACC,10.535,-0.22973174
31S,17.0,4,ACC,9.958,-0.82920367
3K1,9.01,4,ACC,9.909999,-0.39469826
2T6,5.18,4,ACC,10.976999,-0.25073972
1V8,4.31,4,ACC,9.62,-0.82030207
43N,17.0,4,ACC,9.477,-0.9554113
3E4,11.99,4,ACC,11.811,0.725642
97R,17.93,4,ACC,10.379999,-0.4636116
3T5,5.12,4,ACC,10.9,-0.020810872
74K,20.81,4,ACC,12.76,1.1954283
82V,16.01,4,ACC,10.765,-0.11348802
31S,17.0,4,ACC,10.728,-0.31497636
8C9,12.12,4,ACC,10.9609995,-0.30782765
7F0,11.2,4,ACC,9.025,-1.3890731
56K,19.93,4,ACC,11.257999,-0.13264453
4S3,3.18,4,ACC,10.539,-0.5577188
3T5,5.12,4,ACC,10.216001,-0.69539446
31S,17.0,4,ACC,11.774,0.43731847
2I1,10.27,4,ACC,8.634,-1.1888487
2Q0,3.21,4,ACC,11.972,0.5854609
91O,15.86,4,ACC,9.344001,-1.5195429
4Q6,3.22,4,ACC,8.723,-1.3183435
2V1,4.3,4,ACC,11.92,0.7881647
56K,19.93,4,ACC,12.082,0.56868166
0B9,12.11,4,ACC,10.563001,-0.26548967
98V,16.03,4,ACC,10.965,-0.08860421
2S2,6.31,4,ACC,12.747,1.0286103
3K1,9.01,4,ACC,12.08,0.67347395
3T5,5.12,4,ACC,13.459,1.345612
2T6,5.18,4,ACC,11.667,0.23377465
0B9,12.11,4,ACC,8.507001,-1.8302735
2C6,14.03,4,ACC,12.061,0.82064843
6L4,8.2,4,ACC,14.162,2.021776
1V8,4.31,4,ACC,8.634,-1.8484244
4Q6,3.22,4,ACC,12.087,0.8248174
56R,14.95,4,ACC,12.332999,0.71899456
2V1,4.3,4,ACC,10.014,-0.417863
0B9,12.11,4,ACC,9.642,-1.1647509
3D1,13.11,4,ACC,10.0,-0.6152493
7M4,8.15,4,ACC,8.336,-1.7188596
2C6,14.03,4,ACC,13.504999,1.7346737
7M4,8.15,4,ACC,11.393,0.2666397
97R,17.93,4,ACC,9.332001,-1.3811235
74K,20.81,4,ACC,9.762,-0.8530095
8C9,12.12,4,ACC,12.250999,0.8350833
5R4,6.25,4,ACC,13.199,1.091315
8B3,13.09,4,ACC,12.525,0.9867182
4J6,7.15,4,ACC,7.97,-2.4390411
6D9,13.11,4,ACC,9.307,-1.2320551
5R4,6.25,4,ACC,11.018,0.13867335
2I1,10.27,4,ACC,11.709,0.5446965
8C9,12.12,4,ACC,9.524,-0.72784436
3E4,11.99,4,ACC,6.71,-3.0244243
2Q0,3.21,4,ACC,11.654,0.45484444
8C9,12.12,4,ACC,11.663,0.52498686
3D1,13.11,4,ACC,13.334,1.5903516
5R4,6.25,4,ACC,10.171,-0.5294874
5R4,6.25,4,ACC,11.33,0.32456663
8M0,8.12,4,ACC,12.037,0.5331095
98V,16.03,4,ACC,11.6779995,0.3541182
55R,14.97,4,ACC,13.856,1.8261083
55R,14.97,4,ACC,7.7400002,-2.4811673
3E4,11.99,4,ACC,12.056001,0.8293128
56R,14.95,4,ACC,10.120001,-0.7767124
3T5,5.12,4,ACC,10.771,-0.19068593
98V,16.03,4,ACC,10.74,-0.120514356
97R,17.93,4,ACC,12.658999,1.2170763
8B3,13.09,4,ACC,11.36,0.44207066
31S,17.0,4,ACC,12.066999,0.7431346
4J6,7.15,4,ACC,11.474,0.23677377
