animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3D1,13.11,5,CN,10.064,-0.14624445
2T2,4.09,5,CN,11.778,0.8158103
4Q6,3.22,5,CN,6.919,-2.525024
0G3,9.1,5,CN,9.141001,-0.6310716
2S6,3.17,5,CN,7.9849997,-1.4499947
2Q0,3.21,5,CN,6.1309996,-2.835425
7M4,8.15,5,CN,9.625,-0.5644447
2V1,4.3,5,CN,11.347001,0.53010267
4J6,7.15,5,CN,8.789999,-1.211999
5H6,11.03,5,CN,10.293,-0.35764125
74K,20.81,5,CN,8.853999,-1.0936545
6O7,6.03,5,CN,11.379999,0.59857446
3K1,9.01,5,CN,10.851999,0.424648
46Z,13.97,5,CN,10.843,0.22472548
1L1,8.17,5,CN,10.256,-0.104356445
2V1,4.3,5,CN,7.84,-1.9417609
74K,20.81,5,CN,14.494,2.4864347
46Z,13.97,5,CN,10.073,-0.16662215
3T5,5.12,5,CN,11.196,0.397924
0G3,9.1,5,CN,11.191,0.46758154
2S2,6.31,5,CN,10.675,0.23259091
56R,14.95,5,CN,9.271,-0.8616203
4Q6,3.22,5,CN,12.816,1.3099554
0G3,9.1,5,CN,10.726999,0.11956404
56R,14.95,5,CN,8.098,-1.386059
56R,14.95,5,CN,12.096,0.9630569
2V1,4.3,5,CN,10.473,-0.06900162
1P5,6.21,5,CN,10.971,0.15388457
8H2,10.13,5,CN,8.125,-1.9096823
2F2,11.04,5,CN,11.525999,0.75808054
6L4,8.2,5,CN,9.644,-0.63710713
2S6,3.17,5,CN,7.618,-2.1393375
3T5,5.12,5,CN,12.615,1.4180825
1G8,7.88,5,CN,10.051001,-0.20206864
46Z,13.97,5,CN,9.385,-0.65690947
2C6,14.03,5,CN,8.681,-1.1129888
1T9,4.11,5,CN,9.249001,-0.8195724
1T9,4.11,5,CN,8.797999,-1.1201533
6O7,6.03,5,CN,6.739,-2.2046537
2Q0,3.21,5,CN,16.633999,4.0359426
56R,14.95,5,CN,11.261,0.5707051
0G3,9.1,5,CN,9.278,-0.945275
2T6,5.18,5,CN,11.367,0.5021972
74K,20.81,5,CN,8.406,-1.2562877
6L4,8.2,5,CN,11.979,0.78310686
1P5,6.21,5,CN,12.075,0.71783847
46Z,13.97,5,CN,8.899,-0.97838646
8I6,9.9,5,CN,10.793,0.2992366
46Z,13.97,5,CN,9.124999,-0.87174803
74K,20.81,5,CN,12.834002,1.577997
1P5,6.21,5,CN,9.487,-0.65896505
6O7,6.03,5,CN,9.657999,-0.520596
3D1,13.11,5,CN,8.188,-1.3494936
0G3,9.1,5,CN,7.9800005,-1.7606157
74K,20.81,5,CN,10.158,-0.19882639
43N,17.0,5,CN,12.469999,1.1518131
8C9,12.12,5,CN,9.684,-0.57460546
6O7,6.03,5,CN,9.359999,-0.741668
74K,20.81,5,CN,13.329999,1.8334031
82V,16.01,5,CN,8.259,-1.3090324
0B9,12.11,5,CN,10.772,0.19118237
8C9,12.12,5,CN,8.162001,-1.3822392
1P5,6.21,5,CN,11.695001,0.7218214
3D1,13.11,5,CN,13.283999,1.8640666
2T6,5.18,5,CN,6.5740004,-2.4136307
8C9,12.12,5,CN,8.621,-1.1990248
1T9,4.11,5,CN,9.996,-0.1558089
1P5,6.21,5,CN,9.9939995,-0.4809697
3D1,13.11,5,CN,10.675,0.16015802
8B3,13.09,5,CN,9.601,-0.6059497
5H6,11.03,5,CN,10.181,-0.12938218
6L4,8.2,5,CN,12.025999,0.756708
3D1,13.11,5,CN,9.481001,-0.60215116
46Z,13.97,5,CN,9.240001,-0.74810743
0G3,9.1,5,CN,12.329,1.1666381
3D1,13.11,5,CN,7.3659997,-2.0910537
4J6,7.15,5,CN,10.658999,0.23581499
1V8,4.31,5,CN,11.916,0.8499748
1G8,7.88,5,CN,9.496,-0.5525669
4S3,3.18,5,CN,11.818,0.9257107
2V1,4.3,5,CN,9.163,-0.9913798
74K,20.81,5,CN,9.122999,-0.9132923
82V,16.01,5,CN,14.839,2.7340245
1T9,4.11,5,CN,7.4839997,-1.735538
6L4,8.2,5,CN,11.399,0.4817368
82V,16.01,5,CN,7.738,-1.7792586
1P5,6.21,5,CN,9.492,-0.57565564
1P5,6.21,5,CN,11.018999,0.44087753
2Q0,3.21,5,CN,12.11,0.9018214
56R,14.95,5,CN,12.434999,1.2991178
3D1,13.11,5,CN,6.547,-2.3376336
6O7,6.03,5,CN,9.227,-0.67875946
1P5,6.21,5,CN,12.615,1.5127201
8I6,9.9,5,CN,8.372,-1.2292767
1V8,4.31,5,CN,10.632001,0.15228696
6O7,6.03,5,CN,11.165,0.4268291
42T,15.96,5,CN,10.280001,-0.21105994
0G3,9.1,5,CN,10.189,-0.12354105
43N,17.0,5,CN,7.618,-1.8097836
8I6,9.9,5,CN,9.895999,-0.21755649
56R,14.95,5,CN,11.806,0.7687212
6L4,8.2,5,CN,8.881,-1.0367397
74K,20.81,5,CN,9.753,-0.42741385
1T9,4.11,5,CN,8.002001,-1.729875
2S6,3.17,5,CN,9.127001,-0.9139826
56R,14.95,5,CN,11.153999,0.47055143
1V8,4.31,5,CN,10.043,-0.30061483
77V,16.15,5,CN,12.716,1.2142521
74K,20.81,5,CN,12.148,0.9385375
1T9,4.11,5,CN,10.955999,0.16265258
8I6,9.9,5,CN,8.762,-1.2080756
2S6,3.17,5,CN,8.000001,-1.60545
56R,14.95,5,CN,13.889999,2.1517768
46Z,13.97,5,CN,10.497999,0.015775295
0G3,9.1,5,CN,10.868,0.38552806
74K,20.81,5,CN,10.9279995,0.39999482
2C6,14.03,5,CN,9.6310005,-0.5045442
8I6,9.9,5,CN,7.148,-2.1988394
6O7,6.03,5,CN,10.473,-0.03202907
3D1,13.11,5,CN,5.915,-2.9248278
3T5,5.12,5,CN,11.11,0.51206946
50P,15.59,5,CN,11.014,0.1822177
2C6,14.03,5,CN,12.703,1.1467054
0G3,9.1,5,CN,9.618,-0.45119888
74K,20.81,5,CN,7.9800005,-1.7109773
55R,14.97,5,CN,8.492,-1.3009573
98V,16.03,5,CN,10.688999,-0.0743711
6L4,8.2,5,CN,6.972,-2.2139215
1L1,8.17,5,CN,8.910999,-0.9127099
0G3,9.1,5,CN,11.940001,0.82633996
74K,20.81,5,CN,10.060999,-0.361964
74K,20.81,5,CN,12.858,1.3654783
2T6,5.18,5,CN,11.504,0.5964543
4Q6,3.22,5,CN,12.541,1.3196123
74K,20.81,5,CN,13.785001,1.8816812
6O7,6.03,5,CN,10.358,-0.034348063
8I6,9.9,5,CN,8.624,-1.2842861
56R,14.95,5,CN,7.9040003,-1.8539003
46Z,13.97,5,CN,11.702001,0.75243086
46Z,13.97,5,CN,12.0460005,0.9670389
0G3,9.1,5,CN,10.851,0.22758777
0G3,9.1,5,CN,11.083,0.42187816
0G3,9.1,5,CN,9.681,-0.52079815
1T9,4.11,5,CN,10.672,0.04497878
42T,15.96,5,CN,9.877,-0.4854842
77V,16.15,5,CN,9.199999,-0.84176207
0G3,9.1,5,CN,9.14,-0.7724572
42T,15.96,5,CN,11.703,0.7080949
6O7,6.03,5,CN,8.912,-1.0723673
0G3,9.1,5,CN,9.5720005,-0.49887407
2S6,3.17,5,CN,8.8619995,-1.1412586
74K,20.81,5,CN,12.978,1.4103719
55R,14.97,5,CN,8.756,-1.086919
98V,16.03,5,CN,9.013,-0.97027147
56K,19.93,5,CN,9.656,-0.5916121
0B9,12.11,5,CN,10.9800005,0.3942102
8C9,12.12,5,CN,6.0839996,-2.6591313
