animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
4Q6,3.22,5,MB,11.679999,1.2845652
5H6,11.03,5,MB,5.7960005,-3.2631886
1L1,8.17,5,MB,9.031,-0.8024766
1P5,6.21,5,MB,10.997,0.61346173
1P5,6.21,5,MB,10.7369995,0.3852142
0G3,9.1,5,MB,7.533,-1.6677511
2S2,6.31,5,MB,9.234999,-0.43825817
2S2,6.31,5,MB,10.196,-0.083452225
42T,15.96,5,MB,6.578,-2.500634
31S,17.0,5,MB,8.641,-1.2459712
1V8,4.31,5,MB,6.103,-2.5508752
7F0,11.2,5,MB,9.937999,-0.16121218
97R,17.93,5,MB,12.522,1.7354429
37V,15.07,5,MB,12.242,1.6805472
42T,15.96,5,MB,7.447,-2.1560297
2V1,4.3,5,MB,12.353999,1.4708272
8B3,13.09,5,MB,9.1189995,-0.4970001
42T,15.96,5,MB,13.734999,2.7405603
6L4,8.2,5,MB,11.080999,0.6876078
41N,16.74,5,MB,11.017,0.66694283
1V8,4.31,5,MB,8.916,-1.0145934
0G3,9.1,5,MB,8.664,-1.1612645
98V,16.03,5,MB,6.7860003,-2.3663566
1P5,6.21,5,MB,8.35,-1.2088454
2Q0,3.21,5,MB,11.42,0.9990242
4Q6,3.22,5,MB,7.5699997,-1.9219363
7F0,11.2,5,MB,7.479,-2.0251837
3R7,3.32,5,MB,6.447,-2.406689
7F0,11.2,5,MB,7.109,-1.9466504
4Q6,3.22,5,MB,12.025,1.3425922
0G3,9.1,5,MB,9.040999,-0.86530155
7F0,11.2,5,MB,8.254999,-1.0122132
7F0,11.2,5,MB,8.151999,-1.5823293
82V,16.01,5,MB,7.954999,-1.7173843
31S,17.0,5,MB,11.351999,0.66314596
5H6,11.03,5,MB,13.242999,2.3211887
7F0,11.2,5,MB,11.344999,0.7962416
91O,15.86,5,MB,8.37,-1.3743688
56R,14.95,5,MB,11.983,1.2633319
2V1,4.3,5,MB,7.011,-2.1257615
0B9,12.11,5,MB,7.748,-1.8434076
82V,16.01,5,MB,9.241999,-0.68153006
1P5,6.21,5,MB,8.912001,-0.84361863
37V,15.07,5,MB,7.7740006,-1.6879972
1L1,8.17,5,MB,7.845,-1.5123954
8C9,12.12,5,MB,10.1,0.10010287
1P5,6.21,5,MB,5.8150005,-2.7333121
7F0,11.2,5,MB,6.760999,-2.2725952
7F0,11.2,5,MB,10.618,0.35530657
0G3,9.1,5,MB,7.3030005,-1.9304439
5H6,11.03,5,MB,10.033,-0.15790457
7F0,11.2,5,MB,8.459,-1.2022346
7F0,11.2,5,MB,7.283,-2.0169122
43N,17.0,5,MB,11.323999,0.7827854
1L1,8.17,5,MB,11.591001,0.8530055
1L1,8.17,5,MB,9.223,-0.64119613
6O7,6.03,5,MB,6.658,-2.4770563
3E4,11.99,5,MB,9.061999,-0.73309237
1P5,6.21,5,MB,7.747,-1.724989
0G3,9.1,5,MB,10.05,-0.055576835
0B9,12.11,5,MB,9.847,-0.15837619
5H6,11.03,5,MB,10.304,0.050712947
4Q6,3.22,5,MB,9.511,-0.46918455
4J6,7.15,5,MB,10.854,0.56310856
31S,17.0,5,MB,11.379999,0.839524
1P5,6.21,5,MB,11.326,1.0369172
2S6,3.17,5,MB,7.3550005,-1.945561
4Q6,3.22,5,MB,7.1750007,-1.9697887
5H6,11.03,5,MB,6.9089994,-2.5810268
2S2,6.31,5,MB,6.7839994,-2.418546
31S,17.0,5,MB,16.210001,3.8246956
0G3,9.1,5,MB,8.023001,-1.9304466
7M4,8.15,5,MB,9.313001,-0.6820657
42T,15.96,5,MB,8.6970005,-1.0124079
56K,19.93,5,MB,10.114,-0.0051550223
97R,17.93,5,MB,7.7259994,-1.8545405
91O,15.86,5,MB,7.3649993,-2.0894625
2C6,14.03,5,MB,8.795,-0.9222192
1G8,7.88,5,MB,8.469999,-1.1441193
8B3,13.09,5,MB,11.691,1.2121338
8C9,12.12,5,MB,11.054999,0.68319726
1T9,4.11,5,MB,8.589999,-0.9168224
2S6,3.17,5,MB,9.667999,-0.4131619
50P,15.59,5,MB,9.521999,-0.3826792
7M4,8.15,5,MB,9.455999,-0.4194592
46Z,13.97,5,MB,12.259,1.5044043
8C9,12.12,5,MB,8.601,-0.92877066
31S,17.0,5,MB,9.545,-0.4912422
1P5,6.21,5,MB,12.913,1.8527939
56R,14.95,5,MB,8.566999,-0.9535867
31S,17.0,5,MB,13.169001,2.1101627
0G3,9.1,5,MB,10.01,-0.050033655
43N,17.0,5,MB,8.858,-0.9736396
2S2,6.31,5,MB,7.5590005,-1.5804975
1P5,6.21,5,MB,11.705,1.1418744
42T,15.96,5,MB,7.497,-1.8985755
31S,17.0,5,MB,9.579,-0.35239097
1V8,4.31,5,MB,8.053999,-1.3015201
8C9,12.12,5,MB,7.057,-1.781394
8I6,9.9,5,MB,8.039,-1.4726353
6D9,13.11,5,MB,8.720999,-0.99346703
6O7,6.03,5,MB,7.7560005,-1.5156513
1G8,7.88,5,MB,11.008,0.68229395
31S,17.0,5,MB,11.906,1.3786752
31S,17.0,5,MB,11.324999,0.87676686
1V8,4.31,5,MB,8.948,-1.0638865
1V8,4.31,5,MB,6.0109997,-2.8777492
0G3,9.1,5,MB,8.559999,-0.95171833
3R7,3.32,5,MB,7.9480004,-1.8950726
0B9,12.11,5,MB,7.0690002,-2.55703
98V,16.03,5,MB,9.08,-0.6103057
1L1,8.17,5,MB,7.5629997,-1.8482676
0G3,9.1,5,MB,6.9979997,-2.1315005
