animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
91O,15.86,7,dlPFC,11.353001,0.16673745
0G3,9.1,7,dlPFC,8.818999,-1.2954183
4J6,7.15,7,dlPFC,8.895999,-1.6323746
8B3,13.09,7,dlPFC,12.219999,0.7279712
31S,17.0,7,dlPFC,16.604,3.050521
91O,15.86,7,dlPFC,9.292,-1.2094799
2V1,4.3,7,dlPFC,8.123,-2.0476735
0B9,12.11,7,dlPFC,13.121,1.3978741
1T9,4.11,7,dlPFC,13.1519985,1.4632703
3T5,5.12,7,dlPFC,12.1050005,0.70732
2T2,4.09,7,dlPFC,12.432,0.87595725
8B3,13.09,7,dlPFC,13.75,1.5235169
42T,15.96,7,dlPFC,13.829,1.7614359
43N,17.0,7,dlPFC,9.873,-0.84534657
0B9,12.11,7,dlPFC,13.209,1.1349217
7M4,8.15,7,dlPFC,8.108,-2.1112094
5H6,11.03,7,dlPFC,11.915999,0.5322508
2C6,14.03,7,dlPFC,11.048001,-0.11122232
0B9,12.11,7,dlPFC,11.872,0.64846534
2S2,6.31,7,dlPFC,8.792999,-1.3434103
8H2,10.13,7,dlPFC,12.149,0.4423458
2F2,11.04,7,dlPFC,11.722,0.18534666
97R,17.93,7,dlPFC,12.136,0.6405999
8M0,8.12,7,dlPFC,12.554999,1.019018
8H2,10.13,7,dlPFC,9.9939995,-0.73555034
5H6,11.03,7,dlPFC,10.047999,-0.9683903
55R,14.97,7,dlPFC,12.721999,1.3854256
55R,14.97,7,dlPFC,10.029,-0.5095681
98V,16.03,7,dlPFC,11.040999,-0.20843035
8B3,13.09,7,dlPFC,12.039,0.47871757
82V,16.01,7,dlPFC,11.749,0.52288043
3D1,13.11,7,dlPFC,11.636999,0.30925888
3T5,5.12,7,dlPFC,10.934999,0.033750597
82V,16.01,7,dlPFC,12.124,0.42102325
56K,19.93,7,dlPFC,11.1779995,-0.13668077
56K,19.93,7,dlPFC,10.462999,-0.27783257
2S6,3.17,7,dlPFC,7.859,-2.5196066
4S3,3.18,7,dlPFC,7.1729994,-2.1829278
91O,15.86,7,dlPFC,9.782999,-0.7265969
41N,16.74,7,dlPFC,10.252,-0.46731898
2V1,4.3,7,dlPFC,11.731999,0.4537146
43N,17.0,7,dlPFC,9.808001,-0.947534
7M4,8.15,7,dlPFC,8.819,-1.2032752
91O,15.86,7,dlPFC,12.992999,1.1353494
31S,17.0,7,dlPFC,11.698,0.32862294
55R,14.97,7,dlPFC,12.129999,0.6945639
3T5,5.12,7,dlPFC,13.373999,1.3291817
3T5,5.12,7,dlPFC,11.622999,0.26021102
5R4,6.25,7,dlPFC,11.961,0.57718945
97R,17.93,7,dlPFC,11.856,0.39370677
6L4,8.2,7,dlPFC,10.525,-0.28470215
82V,16.01,7,dlPFC,11.936999,0.54463905
6D9,13.11,7,dlPFC,12.231,0.6668426
3R7,3.32,7,dlPFC,10.577,-0.31291655
8B3,13.09,7,dlPFC,10.866,-0.442848
5H6,11.03,7,dlPFC,10.538,-0.44838265
1G8,7.88,7,dlPFC,13.705,1.7286937
8B3,13.09,7,dlPFC,9.294,-1.1234722
2T6,5.18,7,dlPFC,7.622,-2.2707071
46Z,13.97,7,dlPFC,7.993,-2.1686795
82V,16.01,7,dlPFC,14.184,1.6490474
0B9,12.11,7,dlPFC,10.187,-0.54196125
1P5,6.21,7,dlPFC,8.008,-2.1817074
1P5,6.21,7,dlPFC,12.042,0.5526466
82V,16.01,7,dlPFC,11.565,0.4585629
8H2,10.13,7,dlPFC,9.655001,-0.8783998
8B3,13.09,7,dlPFC,11.795,0.2632617
42T,15.96,7,dlPFC,13.094,1.322841
3T5,5.12,7,dlPFC,8.593,-1.5307486
31S,17.0,7,dlPFC,15.103,2.627976
2V1,4.3,7,dlPFC,10.768,-0.2956197
82V,16.01,7,dlPFC,12.046,0.519037
8M0,8.12,7,dlPFC,10.712999,-0.44233575
55R,14.97,7,dlPFC,8.14,-1.9242412
5R4,6.25,7,dlPFC,8.918,-1.6079762
4Q6,3.22,7,dlPFC,9.984,-0.84850603
0B9,12.11,7,dlPFC,14.295,1.9497782
56R,14.95,7,dlPFC,10.559,-0.617734
8B3,13.09,7,dlPFC,10.561999,-0.43838555
31S,17.0,7,dlPFC,15.051,2.432861
91O,15.86,7,dlPFC,13.209999,1.513855
4Q6,3.22,7,dlPFC,11.342,0.1552053
5H6,11.03,7,dlPFC,9.193,-1.325528
82V,16.01,7,dlPFC,12.59,0.91866314
56K,19.93,7,dlPFC,12.940999,1.2383121
0B9,12.11,7,dlPFC,9.675,-0.7132612
3E4,11.99,7,dlPFC,9.452001,-0.9049232
3T5,5.12,7,dlPFC,10.481,-0.37658024
91O,15.86,7,dlPFC,13.689,1.7057283
5H6,11.03,7,dlPFC,9.287001,-1.3108544
56K,19.93,7,dlPFC,12.577001,1.001098
43N,17.0,7,dlPFC,11.548,0.24581388
1G8,7.88,7,dlPFC,9.391001,-1.2403078
97R,17.93,7,dlPFC,9.573,-0.9086786
4Q6,3.22,7,dlPFC,6.072,-3.3098629
4Q6,3.22,7,dlPFC,8.992001,-1.4420254
43N,17.0,7,dlPFC,13.531001,1.6101942
1P5,6.21,7,dlPFC,12.043,0.5443339
97R,17.93,7,dlPFC,6.939,-2.4977267
4Q6,3.22,7,dlPFC,9.184999,-1.4437101
56K,19.93,7,dlPFC,10.544001,-0.68620527
8B3,13.09,7,dlPFC,10.896,0.07771994
6L4,8.2,7,dlPFC,11.519,0.21995492
5R4,6.25,7,dlPFC,10.368,-0.46602327
2F2,11.04,7,dlPFC,12.830999,1.3265933
8H2,10.13,7,dlPFC,11.981001,0.468247
56K,19.93,7,dlPFC,11.296,0.035093084
56K,19.93,7,dlPFC,11.73,0.31470874
3T5,5.12,7,dlPFC,8.325,-1.8484287
8H2,10.13,7,dlPFC,10.056,-0.68832964
2T6,5.18,7,dlPFC,8.496,-1.6906972
2T6,5.18,7,dlPFC,12.15,0.8173444
82V,16.01,7,dlPFC,10.763999,-0.29808623
6O7,6.03,7,dlPFC,8.246,-2.0122352
46Z,13.97,7,dlPFC,11.990999,0.52854925
2V1,4.3,7,dlPFC,10.299,-0.5554595
1T9,4.11,7,dlPFC,6.7580004,-3.0180974
2V1,4.3,7,dlPFC,11.747,0.36379486
0B9,12.11,7,dlPFC,11.986001,0.45210177
2T2,4.09,7,dlPFC,11.543,0.19893187
97R,17.93,7,dlPFC,11.791999,0.3530125
2V1,4.3,7,dlPFC,9.285,-1.1724969
2C6,14.03,7,dlPFC,8.635,-1.7666178
37V,15.07,7,dlPFC,9.596,-1.1217928
1G8,7.88,7,dlPFC,11.9800005,0.5837219
2T2,4.09,7,dlPFC,12.445001,0.5926612
42T,15.96,7,dlPFC,9.592999,-0.830644
2T6,5.18,7,dlPFC,11.839,0.504411
1G8,7.88,7,dlPFC,7.7739997,-1.9960911
2F2,11.04,7,dlPFC,11.234,-0.028731016
2T6,5.18,7,dlPFC,12.186999,0.6997131
91O,15.86,7,dlPFC,8.393,-1.8043349
4Q6,3.22,7,dlPFC,9.999001,-0.7270114
8H2,10.13,7,dlPFC,10.182,-0.52565473
77V,16.15,7,dlPFC,10.694,-0.29031575
0B9,12.11,7,dlPFC,9.492999,-1.2748526
1T9,4.11,7,dlPFC,9.494,-1.0806862
0B9,12.11,7,dlPFC,13.075,1.2011646
2S2,6.31,7,dlPFC,12.223,0.8652855
2T6,5.18,7,dlPFC,11.432,0.07354369
43N,17.0,7,dlPFC,10.752001,-0.3335253
1G8,7.88,7,dlPFC,10.849,-0.03227072
1G8,7.88,7,dlPFC,10.989,-0.22520806
8B3,13.09,7,dlPFC,9.925,-0.883819
82V,16.01,7,dlPFC,10.537,-0.46151644
56R,14.95,7,dlPFC,11.059999,0.15471983
42T,15.96,7,dlPFC,11.004999,0.06402362
2T6,5.18,7,dlPFC,14.354001,2.0400853
31S,17.0,7,dlPFC,12.1,0.54542
1P5,6.21,7,dlPFC,11.634,0.3850113
56R,14.95,7,dlPFC,10.333,-0.6567298
8H2,10.13,7,dlPFC,11.851,0.39533362
2T2,4.09,7,dlPFC,8.948,-1.6034961
43N,17.0,7,dlPFC,11.776999,0.19091432
1T9,4.11,7,dlPFC,11.3689995,0.17949064
6O7,6.03,7,dlPFC,9.957,-0.74522024
2T2,4.09,7,dlPFC,11.802,0.4304571
