louvain,n_cells,n_animals,mean_lochness,median_lochness,std_lochness,pct_old_enriched,pct_young_enriched,pct_neutral,n_significant,pct_significant,r_age,p_age
0,3492,50,0.02077986179664351,0.0341559723593286,0.2843887224253525,5.040091638029782,2.176403207331042,92.78350515463917,670,19.18671248568156,0.37941317106900796,0.006579146544232321
1,2729,50,0.049319306930693106,0.0132425742574257,0.2681546797646732,6.009527299377061,1.0260168559912055,92.96445584463173,740,27.11615976548186,0.28990223730774267,0.04113618013260411
2,6399,51,0.022783505154639207,-0.0104639175257731,0.2661467079218215,1.0782934833567746,5.360212533208314,93.5614939834349,157,2.4535083606813566,0.3291474978993925,0.018351791553891838
3,7913,50,0.042611683848797294,0.0876975945017182,0.2927454968875819,3.6143055731075444,2.3000126374320735,94.08568178946038,468,5.914318210539618,0.4297224935755339,0.0018431979314424676
4,116,37,0.08732394366197199,0.143661971830986,0.2586442957783898,0.0,2.586206896551724,97.41379310344827,39,33.62068965517241,0.023495977930679098,0.8902135741391249
6,384,50,0.006787330316741984,0.0425339366515836,0.28310406028022533,4.6875,1.8229166666666667,93.48958333333334,25,6.510416666666667,0.23033350975207337,0.10756608101095297
10,735,50,0.03693931398416888,-0.0303430079155672,0.30776088535922125,8.571428571428571,3.8095238095238098,87.61904761904762,96,13.061224489795919,0.057256276927211566,0.6928818922305291
11,4105,51,0.01588357588357586,0.0241164241164241,0.27218914209095835,5.188794153471377,1.559074299634592,93.25213154689403,740,18.026796589524967,0.24069991884428432,0.08885998148081038
13,5210,50,0.08675862068965516,0.0779310344827586,0.298762115484463,6.3531669865643,1.5547024952015356,92.09213051823416,1372,26.33397312859885,0.25090432775486865,0.0788288770129672
14,3964,50,0.03799145299145301,0.0164102564102564,0.272313910174695,6.53380423814329,1.2361251261352169,92.23007063572149,856,21.594349142280524,0.3582204505962654,0.01063947259041541
15,3752,51,0.07428437353355219,0.0564054434537774,0.2965955468448957,7.062899786780384,1.6257995735607675,91.31130063965884,871,23.214285714285715,0.33635719503523276,0.015808909241238202
16,3421,50,0.06925064599483194,0.0607751937984495,0.2844350676294375,5.817012569424145,1.4030985092078339,92.77988892136803,409,11.955568547208419,0.5736971083352761,1.3288701687125691e-05
17,3871,50,0.04580357142857143,0.036875,0.2832615436439584,6.5357788685094285,1.62748643761302,91.83673469387756,947,24.463962800309996,0.4298794600629933,0.001835326505709291
18,8125,50,0.03270828894097593,0.038781163434903,0.2882198337921066,5.403076923076923,2.08,92.51692307692308,1044,12.849230769230768,0.34086503164667403,0.015420481354096833
19,2053,50,0.043446001648804446,0.0154987633965373,0.2658022305976131,5.504140282513395,1.7048222113979543,92.79103750608864,148,7.208962493911349,0.39780759157371365,0.004224588228540347
20,4511,50,0.00902908953532301,0.0225160559123536,0.28119503064134904,5.364664154289515,1.9286189315007758,92.70671691420971,578,12.813123475947682,0.12332403535966162,0.3935261085652583
21,2453,50,0.0343894389438944,-0.0285148514851485,0.25585749994647555,1.345291479820628,3.383611903791276,95.27109661638809,330,13.452914798206278,0.36251791812558776,0.009675440220863897
22,6233,50,0.020640086791429414,0.0143205858421481,0.2765910360794865,6.000320872773946,1.6204075084229104,92.37927161880314,741,11.888336274667093,0.4019137318523213,0.0038138126178336143
23,2417,50,0.03424460431654671,0.0433093525179855,0.27227017558561456,4.551096400496483,1.3239553165080677,94.12494828299545,417,17.25279271824576,-0.03390166151173723,0.8151985985201039
24,1231,50,0.02378138847858213,0.090989660265879,0.29805127096019113,3.8180341186027618,3.086921202274574,93.09504467912267,178,14.45978878960195,0.18912337360473486,0.18837987144836799
25,6169,50,0.0453852915323762,0.0845004394960445,0.30174876352040086,4.5388231479980545,2.5287728967417733,92.93240395526017,1122,18.187712757335063,0.3710581271765635,0.00798136214781316
