animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,22,ACC,9.809999,-0.73114
3D1,13.11,22,ACC,8.698,-1.4834237
3D1,13.11,22,ACC,10.643,-0.43285242
3T5,5.12,22,ACC,9.3,-0.97911173
1G8,7.88,22,ACC,8.847,-1.394406
8B3,13.09,22,ACC,12.221001,0.8080676
2I1,10.27,22,ACC,11.678,0.37645298
7F0,11.2,22,ACC,11.772,0.5860289
74K,20.81,22,ACC,7.896001,-2.10143
56K,19.93,22,ACC,10.804,-0.28190672
1T9,4.11,22,ACC,10.922001,-0.12171254
6O7,6.03,22,ACC,15.588,2.6910496
2C6,14.03,22,ACC,10.453,-0.55967265
2C6,14.03,22,ACC,10.448,-0.3688814
8I6,9.9,22,ACC,9.893999,-0.7338143
2Q0,3.21,22,ACC,9.1779995,-1.4681445
4S3,3.18,22,ACC,10.468,-0.4426318
4S3,3.18,22,ACC,9.411,-1.2024394
6D9,13.11,22,ACC,10.993,-0.14462695
6D9,13.11,22,ACC,11.177,0.11141308
98V,16.03,22,ACC,12.309999,0.7814746
97R,17.93,22,ACC,9.613001,-1.2270433
8B3,13.09,22,ACC,11.368,0.19389135
31S,17.0,22,ACC,11.429,0.24702348
31S,17.0,22,ACC,10.903001,-0.10148139
42T,15.96,22,ACC,9.927,-0.78721887
2I1,10.27,22,ACC,12.612,0.91848266
1L1,8.17,22,ACC,12.259,0.74273914
1V8,4.31,22,ACC,9.252001,-1.168947
7F0,11.2,22,ACC,10.363,-0.56318307
0G3,9.1,22,ACC,10.606,-0.20490664
8C9,12.12,22,ACC,10.846,0.07274677
8C9,12.12,22,ACC,10.707,-0.26380602
8C9,12.12,22,ACC,11.099001,0.052610666
8C9,12.12,22,ACC,11.637,0.38631034
56R,14.95,22,ACC,13.803999,1.7726042
56R,14.95,22,ACC,11.054999,-0.0015441823
98V,16.03,22,ACC,11.439,0.35780713
50P,15.59,22,ACC,11.554,0.3527677
42T,15.96,22,ACC,11.969,0.8187201
2T6,5.18,22,ACC,12.518,0.8790313
31S,17.0,22,ACC,11.1,-0.17136113
3T5,5.12,22,ACC,11.251,0.18693581
4J6,7.15,22,ACC,8.904,-1.594986
2I1,10.27,22,ACC,12.542,0.9921328
2I1,10.27,22,ACC,9.555,-1.0349491
1L1,8.17,22,ACC,14.274,2.0379045
2V1,4.3,22,ACC,10.873,-0.25081652
2V1,4.3,22,ACC,12.955,1.2045317
7F0,11.2,22,ACC,12.844,1.2217968
7F0,11.2,22,ACC,8.937,-1.5083121
56K,19.93,22,ACC,14.531,2.1200042
0B9,12.11,22,ACC,9.895,-0.8961217
1P5,6.21,22,ACC,11.217,0.11475955
8C9,12.12,22,ACC,9.979,-0.67126954
6D9,13.11,22,ACC,8.989,-1.6454518
2S2,6.31,22,ACC,9.818,-1.001135
55R,14.97,22,ACC,9.426001,-1.0764753
3D1,13.11,22,ACC,9.103,-1.2985759
5R4,6.25,22,ACC,12.143,0.7769998
2T2,4.09,22,ACC,11.257,0.17873739
98V,16.03,22,ACC,11.365,0.26870662
97R,17.93,22,ACC,12.176001,0.8134453
5H6,11.03,22,ACC,11.293,0.31858042
1V8,4.31,22,ACC,12.928001,1.2898397
1V8,4.31,22,ACC,13.642,1.5275006
1V8,4.31,22,ACC,10.418,-0.4091496
7F0,11.2,22,ACC,12.439,0.7804844
6O7,6.03,22,ACC,11.632,0.32813373
6O7,6.03,22,ACC,8.474,-1.4492484
8I6,9.9,22,ACC,11.432,0.18798777
4S3,3.18,22,ACC,8.905,-1.315193
46Z,13.97,22,ACC,10.816999,-0.12479087
8C9,12.12,22,ACC,10.791,-0.16484615
55R,14.97,22,ACC,10.659,-0.26060835
3D1,13.11,22,ACC,12.177,0.78580046
5R4,6.25,22,ACC,11.33,0.06390536
31S,17.0,22,ACC,11.856,0.45919368
31S,17.0,22,ACC,13.708,1.6804355
74K,20.81,22,ACC,14.018,2.1034067
43N,17.0,22,ACC,11.965,0.5524369
43N,17.0,22,ACC,10.688,-0.23364659
2C6,14.03,22,ACC,12.51,1.0069728
2C6,14.03,22,ACC,11.606001,0.26517653
8I6,9.9,22,ACC,8.498999,-1.6106848
4S3,3.18,22,ACC,11.3550005,0.13833112
46Z,13.97,22,ACC,12.939,1.0079967
8M0,8.12,22,ACC,13.297,1.4554946
2F2,11.04,22,ACC,14.219,1.9101892
1V8,4.31,22,ACC,12.154,0.6087888
77V,16.15,22,ACC,12.9800005,1.3973806
0G3,9.1,22,ACC,11.87,0.42664313
74K,20.81,22,ACC,9.515,-0.79793423
2S6,3.17,22,ACC,9.386,-1.0236136
46Z,13.97,22,ACC,13.591001,1.5389961
46Z,13.97,22,ACC,13.749001,1.5288867
55R,14.97,22,ACC,11.116,0.056311514
97R,17.93,22,ACC,10.816,-0.2466975
97R,17.93,22,ACC,12.365,0.7855533
42T,15.96,22,ACC,13.127001,1.3106999
42T,15.96,22,ACC,12.021,0.5985231
31S,17.0,22,ACC,8.622,-1.4345499
31S,17.0,22,ACC,13.0130005,1.5352157
91O,15.86,22,ACC,11.963,0.75970304
91O,15.86,22,ACC,9.930001,-0.87400943
42T,15.96,22,ACC,13.412001,1.4508889
41N,16.74,22,ACC,11.627001,0.5098307
77V,16.15,22,ACC,11.950999,0.6399341
74K,20.81,22,ACC,11.905001,0.5680443
0B9,12.11,22,ACC,11.382,0.34954754
3E4,11.99,22,ACC,9.634,-1.057945
8C9,12.12,22,ACC,8.037,-2.0772295
3K1,9.01,22,ACC,10.853001,-0.34788722
5R4,6.25,22,ACC,12.446,0.95934397
2F2,11.04,22,ACC,8.84,-1.4350916
2F2,11.04,22,ACC,12.252999,0.8861681
7M4,8.15,22,ACC,12.851,1.0268623
97R,17.93,22,ACC,9.341,-1.3107
2T6,5.18,22,ACC,14.165001,2.1357627
46Z,13.97,22,ACC,12.537,0.90581435
4Q6,3.22,22,ACC,10.877,-0.11922916
4J6,7.15,22,ACC,12.240999,0.7988896
2I1,10.27,22,ACC,12.615999,0.9042451
0G3,9.1,22,ACC,10.413,-0.4384916
74K,20.81,22,ACC,12.289,0.5242369
74K,20.81,22,ACC,12.08,0.44112462
8C9,12.12,22,ACC,11.202001,0.013395933
8C9,12.12,22,ACC,11.112,-0.036550693
37V,15.07,22,ACC,7.379,-2.7308495
3D1,13.11,22,ACC,11.26,0.22362596
5R4,6.25,22,ACC,11.657,0.2371746
98V,16.03,22,ACC,9.933001,-0.74182975
98V,16.03,22,ACC,12.668,1.0638402
