animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
3R7,3.32,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
2Q0,3.21,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
3R7,3.32,3,HIP,young,0.4504854368932039,0.19072289156626507,False,neutral
2S6,3.17,3,HIP,young,-0.7582524271844661,0.03497991967871486,True,young_enriched
0G3,9.1,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
8C9,12.12,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
6O7,6.03,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
97R,17.93,3,HIP,old,0.6922330097087379,0.0629718875502008,False,old_enriched
2V1,4.3,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
91O,15.86,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
5R4,6.25,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
5H6,11.03,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
3E4,11.99,3,HIP,old,-0.516504854368932,0.13598393574297188,False,young_enriched
3D1,13.11,3,HIP,old,-0.27475728155339807,0.33562248995983934,False,neutral
4J6,7.15,3,HIP,young,0.20873786407766992,0.40959839357429717,False,neutral
8B3,13.09,3,HIP,old,-0.27475728155339807,0.33562248995983934,False,neutral
0B9,12.11,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
8C9,12.12,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
3T5,5.12,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
1P5,6.21,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
2S6,3.17,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
56R,14.95,3,HIP,old,0.6922330097087379,0.0629718875502008,False,old_enriched
7M4,8.15,3,HIP,young,0.4504854368932039,0.19072289156626507,False,neutral
82V,16.01,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
8M0,8.12,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
3D1,13.11,3,HIP,old,-0.27475728155339807,0.33562248995983934,False,neutral
8I6,9.9,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
2V1,4.3,3,HIP,young,-0.7582524271844661,0.03497991967871486,True,young_enriched
7F0,11.2,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
6O7,6.03,3,HIP,young,0.4504854368932039,0.19072289156626507,False,neutral
2V1,4.3,3,HIP,young,-0.7582524271844661,0.03497991967871486,True,young_enriched
77V,16.15,3,HIP,old,0.4504854368932039,0.19072289156626507,False,neutral
1T9,4.11,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
82V,16.01,3,HIP,old,-0.516504854368932,0.13598393574297188,False,young_enriched
0G3,9.1,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
2V1,4.3,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
2V1,4.3,3,HIP,young,0.20873786407766992,0.40959839357429717,False,neutral
8C9,12.12,3,HIP,old,0.6922330097087379,0.0629718875502008,False,old_enriched
8I6,9.9,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
8I6,9.9,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
3R7,3.32,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
77V,16.15,3,HIP,old,0.4504854368932039,0.19072289156626507,False,neutral
3E4,11.99,3,HIP,old,-0.27475728155339807,0.33562248995983934,False,neutral
2Q0,3.21,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
1T9,4.11,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
1P5,6.21,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
2Q0,3.21,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
3R7,3.32,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
5R4,6.25,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
3E4,11.99,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
2S6,3.17,3,HIP,young,-0.7582524271844661,0.03497991967871486,True,young_enriched
2F2,11.04,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
0B9,12.11,3,HIP,old,0.9339805825242719,0.0142570281124498,True,old_enriched
5R4,6.25,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
5H6,11.03,3,HIP,old,0.9339805825242719,0.0142570281124498,True,old_enriched
3E4,11.99,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
46Z,13.97,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
77V,16.15,3,HIP,old,-0.27475728155339807,0.33562248995983934,False,neutral
2T6,5.18,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
6D9,13.11,3,HIP,old,-0.27475728155339807,0.33562248995983934,False,neutral
3E4,11.99,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
5H6,11.03,3,HIP,old,0.6922330097087379,0.0629718875502008,False,old_enriched
1G8,7.88,3,HIP,young,0.20873786407766992,0.40959839357429717,False,neutral
4S3,3.18,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
2T6,5.18,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
0B9,12.11,3,HIP,old,0.6922330097087379,0.0629718875502008,False,old_enriched
3E4,11.99,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
6L4,8.2,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
46Z,13.97,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
5H6,11.03,3,HIP,old,0.9339805825242719,0.0142570281124498,True,old_enriched
5R4,6.25,3,HIP,young,0.9339805825242719,0.0142570281124498,True,old_enriched
1G8,7.88,3,HIP,young,1.1757281553398058,0.0018473895582329317,True,old_enriched
2F2,11.04,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
2T2,4.09,3,HIP,young,0.9339805825242719,0.0142570281124498,True,old_enriched
50P,15.59,3,HIP,old,-0.27475728155339807,0.33562248995983934,False,neutral
8C9,12.12,3,HIP,old,0.9339805825242719,0.0142570281124498,True,old_enriched
3E4,11.99,3,HIP,old,-0.27475728155339807,0.33562248995983934,False,neutral
5H6,11.03,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
2S6,3.17,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
7F0,11.2,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
8I6,9.9,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
2T2,4.09,3,HIP,young,-0.03300970873786406,0.33562248995983934,False,neutral
8I6,9.9,3,HIP,young,-0.27475728155339807,0.33562248995983934,False,neutral
8H2,10.13,3,HIP,old,0.20873786407766992,0.40959839357429717,False,neutral
2V1,4.3,3,HIP,young,0.4504854368932039,0.19072289156626507,False,neutral
2F2,11.04,3,HIP,old,0.4504854368932039,0.19072289156626507,False,neutral
46Z,13.97,3,HIP,old,0.9339805825242719,0.0142570281124498,True,old_enriched
2Q0,3.21,3,HIP,young,-0.516504854368932,0.13598393574297188,False,young_enriched
2V1,4.3,3,HIP,young,-0.7582524271844661,0.03497991967871486,True,young_enriched
46Z,13.97,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
8I6,9.9,3,HIP,young,0.4504854368932039,0.19072289156626507,False,neutral
2Q0,3.21,3,HIP,young,-0.7582524271844661,0.03497991967871486,True,young_enriched
56K,19.93,3,HIP,old,-0.03300970873786406,0.33562248995983934,False,neutral
