animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
8M0,8.12,4,NAc,young,-0.3187614992377648,0.06519075251558738,False,neutral
8M0,8.12,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
8M0,8.12,4,NAc,young,-0.4890711244283236,0.06519075251558738,False,neutral
8M0,8.12,4,NAc,young,0.1921673763339116,0.14701987777023273,False,neutral
8M0,8.12,4,NAc,young,-0.4890711244283236,0.06519075251558738,False,neutral
2S2,6.31,4,NAc,young,0.3624770015244704,0.14701987777023273,False,neutral
3K1,9.01,4,NAc,young,-0.148451874047206,0.39994382369282055,False,neutral
3K1,9.01,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
3K1,9.01,4,NAc,young,-0.4890711244283236,0.06519075251558738,False,neutral
3K1,9.01,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
5R4,6.25,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
5R4,6.25,4,NAc,young,0.3624770015244704,0.14701987777023273,False,neutral
5R4,6.25,4,NAc,young,-0.3187614992377648,0.06519075251558738,False,neutral
5R4,6.25,4,NAc,young,0.1921673763339116,0.14701987777023273,False,neutral
5R4,6.25,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
5R4,6.25,4,NAc,young,-0.6593807496188824,0.002208778319649361,True,young_enriched
5R4,6.25,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
2T2,4.09,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
2T2,4.09,4,NAc,young,0.1921673763339116,0.14701987777023273,False,neutral
98V,16.03,4,NAc,old,-0.148451874047206,0.39994382369282055,False,neutral
98V,16.03,4,NAc,old,-0.148451874047206,0.39994382369282055,False,neutral
98V,16.03,4,NAc,old,-0.148451874047206,0.39994382369282055,False,neutral
98V,16.03,4,NAc,old,0.0218577511433528,0.6000561763071794,False,neutral
50P,15.59,4,NAc,old,0.0218577511433528,0.6000561763071794,False,neutral
50P,15.59,4,NAc,old,0.3624770015244704,0.14701987777023273,False,neutral
50P,15.59,4,NAc,old,-0.3187614992377648,0.06519075251558738,False,neutral
50P,15.59,4,NAc,old,0.1921673763339116,0.14701987777023273,False,neutral
50P,15.59,4,NAc,old,0.703096251905588,0.0047799246867090564,True,old_enriched
50P,15.59,4,NAc,old,0.1921673763339116,0.14701987777023273,False,neutral
50P,15.59,4,NAc,old,-0.3187614992377648,0.06519075251558738,False,neutral
50P,15.59,4,NAc,old,0.1921673763339116,0.14701987777023273,False,neutral
50P,15.59,4,NAc,old,-0.3187614992377648,0.06519075251558738,False,neutral
7M4,8.15,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
7M4,8.15,4,NAc,young,-0.3187614992377648,0.06519075251558738,False,neutral
7M4,8.15,4,NAc,young,-0.3187614992377648,0.06519075251558738,False,neutral
7M4,8.15,4,NAc,young,-0.3187614992377648,0.06519075251558738,False,neutral
97R,17.93,4,NAc,old,-0.3187614992377648,0.06519075251558738,False,neutral
97R,17.93,4,NAc,old,0.5327866267150292,0.0047799246867090564,True,old_enriched
97R,17.93,4,NAc,old,-0.148451874047206,0.39994382369282055,False,neutral
97R,17.93,4,NAc,old,0.0218577511433528,0.6000561763071794,False,neutral
97R,17.93,4,NAc,old,-0.3187614992377648,0.06519075251558738,False,neutral
8B3,13.09,4,NAc,old,0.1921673763339116,0.14701987777023273,False,neutral
8B3,13.09,4,NAc,old,0.3624770015244704,0.14701987777023273,False,neutral
8B3,13.09,4,NAc,old,0.1921673763339116,0.14701987777023273,False,neutral
2T6,5.18,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
2T6,5.18,4,NAc,young,-0.3187614992377648,0.06519075251558738,False,neutral
2T6,5.18,4,NAc,young,-0.148451874047206,0.39994382369282055,False,neutral
2T6,5.18,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
2T6,5.18,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
2T6,5.18,4,NAc,young,-0.148451874047206,0.39994382369282055,False,neutral
2T6,5.18,4,NAc,young,-0.148451874047206,0.39994382369282055,False,neutral
2T6,5.18,4,NAc,young,0.0218577511433528,0.6000561763071794,False,neutral
2T6,5.18,4,NAc,young,0.3624770015244704,0.14701987777023273,False,neutral
31S,17.0,4,NAc,old,0.3624770015244704,0.14701987777023273,False,neutral
31S,17.0,4,NAc,old,0.3624770015244704,0.14701987777023273,False,neutral
31S,17.0,4,NAc,old,0.3624770015244704,0.14701987777023273,False,neutral
