animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
8M0,8.12,8,CN,young,-0.4888888888888889,0.17869565217391303,False,neutral
56R,14.95,8,CN,old,-0.4888888888888889,0.17869565217391303,False,neutral
5H6,11.03,8,CN,old,0.5333333333333333,0.13869565217391305,False,old_enriched
97R,17.93,8,CN,old,0.022222222222222206,0.6018260869565217,False,neutral
7M4,8.15,8,CN,young,0.5333333333333333,0.13869565217391305,False,old_enriched
3T5,5.12,8,CN,young,0.5333333333333333,0.13869565217391305,False,old_enriched
3E4,11.99,8,CN,old,0.022222222222222206,0.6018260869565217,False,neutral
3E4,11.99,8,CN,old,-0.23333333333333334,0.39817391304347827,False,neutral
6D9,13.11,8,CN,old,0.022222222222222206,0.6018260869565217,False,neutral
3D1,13.11,8,CN,old,0.27777777777777773,0.3396521739130435,False,neutral
97R,17.93,8,CN,old,0.022222222222222206,0.6018260869565217,False,neutral
3E4,11.99,8,CN,old,0.27777777777777773,0.3396521739130435,False,neutral
8M0,8.12,8,CN,young,-0.4888888888888889,0.17869565217391303,False,neutral
2Q0,3.21,8,CN,young,0.27777777777777773,0.3396521739130435,False,neutral
8I6,9.9,8,CN,young,0.022222222222222206,0.6018260869565217,False,neutral
7F0,11.2,8,CN,old,-0.23333333333333334,0.39817391304347827,False,neutral
2Q0,3.21,8,CN,young,0.022222222222222206,0.6018260869565217,False,neutral
2T6,5.18,8,CN,young,0.27777777777777773,0.3396521739130435,False,neutral
50P,15.59,8,CN,old,0.022222222222222206,0.6018260869565217,False,neutral
2T6,5.18,8,CN,young,0.5333333333333333,0.13869565217391305,False,old_enriched
97R,17.93,8,CN,old,-0.23333333333333334,0.39817391304347827,False,neutral
41N,16.74,8,CN,old,-0.7444444444444445,0.006260869565217392,True,young_enriched
8M0,8.12,8,CN,young,-0.4888888888888889,0.17869565217391303,False,neutral
3K1,9.01,8,CN,young,0.27777777777777773,0.3396521739130435,False,neutral
6L4,8.2,8,CN,young,0.5333333333333333,0.13869565217391305,False,old_enriched
2Q0,3.21,8,CN,young,0.022222222222222206,0.6018260869565217,False,neutral
8M0,8.12,8,CN,young,-0.4888888888888889,0.17869565217391303,False,neutral
8M0,8.12,8,CN,young,-0.23333333333333334,0.39817391304347827,False,neutral
1V8,4.31,8,CN,young,0.5333333333333333,0.13869565217391305,False,old_enriched
8I6,9.9,8,CN,young,0.022222222222222206,0.6018260869565217,False,neutral
3E4,11.99,8,CN,old,0.5333333333333333,0.13869565217391305,False,old_enriched
2V1,4.3,8,CN,young,0.27777777777777773,0.3396521739130435,False,neutral
2C6,14.03,8,CN,old,0.27777777777777773,0.3396521739130435,False,neutral
3K1,9.01,8,CN,young,0.27777777777777773,0.3396521739130435,False,neutral
8M0,8.12,8,CN,young,-0.23333333333333334,0.39817391304347827,False,neutral
3E4,11.99,8,CN,old,0.5333333333333333,0.13869565217391305,False,old_enriched
1P5,6.21,8,CN,young,0.27777777777777773,0.3396521739130435,False,neutral
56R,14.95,8,CN,old,-0.23333333333333334,0.39817391304347827,False,neutral
8M0,8.12,8,CN,young,-0.7444444444444445,0.006260869565217392,True,young_enriched
41N,16.74,8,CN,old,-0.4888888888888889,0.17869565217391303,False,neutral
31S,17.0,8,CN,old,0.27777777777777773,0.3396521739130435,False,neutral
55R,14.97,8,CN,old,0.5333333333333333,0.13869565217391305,False,old_enriched
2I1,10.27,8,CN,old,-0.4888888888888889,0.17869565217391303,False,neutral
2V1,4.3,8,CN,young,0.27777777777777773,0.3396521739130435,False,neutral
8M0,8.12,8,CN,young,-0.7444444444444445,0.006260869565217392,True,young_enriched
3T5,5.12,8,CN,young,0.5333333333333333,0.13869565217391305,False,old_enriched
4J6,7.15,8,CN,young,0.5333333333333333,0.13869565217391305,False,old_enriched
8M0,8.12,8,CN,young,-0.4888888888888889,0.17869565217391303,False,neutral
46Z,13.97,8,CN,old,0.27777777777777773,0.3396521739130435,False,neutral
77V,16.15,8,CN,old,0.022222222222222206,0.6018260869565217,False,neutral
5R4,6.25,8,CN,young,-0.23333333333333334,0.39817391304347827,False,neutral
